year,frac_wali_ww_industrial_treatment_path_advanced_anaerobic,frac_wali_ww_industrial_treatment_path_secondary_anaerobic,frac_wali_ww_industrial_treatment_path_untreated_with_sewerage,frac_wali_ww_domestic_rural_treatment_path_septic,frac_wali_ww_domestic_rural_treatment_path_latrine_improved,frac_wali_ww_domestic_rural_treatment_path_latrine_unimproved,frac_wali_ww_domestic_urban_treatment_path_advanced_anaerobic,frac_wali_ww_domestic_urban_treatment_path_secondary_anaerobic,frac_wali_ww_domestic_urban_treatment_path_latrine_improved,frac_wali_ww_domestic_urban_treatment_path_latrine_unimproved,frac_wali_ww_industrial_treatment_path_untreated_no_sewerage,frac_wali_ww_domestic_rural_treatment_path_untreated_no_sewerage,frac_wali_ww_domestic_urban_treatment_path_untreated_no_sewerage,frac_wali_ww_industrial_treatment_path_advanced_aerobic,frac_wali_ww_industrial_treatment_path_latrine_improved,frac_wali_ww_industrial_treatment_path_latrine_unimproved,frac_wali_ww_industrial_treatment_path_primary,frac_wali_ww_industrial_treatment_path_secondary_aerobic,frac_wali_ww_industrial_treatment_path_septic,frac_wali_ww_domestic_rural_treatment_path_advanced_aerobic,frac_wali_ww_domestic_rural_treatment_path_advanced_anaerobic,frac_wali_ww_domestic_rural_treatment_path_primary,frac_wali_ww_domestic_rural_treatment_path_secondary_aerobic,frac_wali_ww_domestic_rural_treatment_path_secondary_anaerobic,frac_wali_ww_domestic_rural_treatment_path_untreated_with_sewerage,frac_wali_ww_domestic_urban_treatment_path_advanced_aerobic,frac_wali_ww_domestic_urban_treatment_path_primary,frac_wali_ww_domestic_urban_treatment_path_secondary_aerobic,frac_wali_ww_domestic_urban_treatment_path_septic,frac_wali_ww_domestic_urban_treatment_path_untreated_with_sewerage
2000,0.039,0.11699999999999999,0.47125,0.11699999999999999,0.13,0.36400000000000005,0.039,0.11699999999999999,0.20800000000000002,0.26325000000000004,0.37275,0.389,0.3727499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,0.039875,0.11962500000000001,0.4818229166666667,0.11962500000000001,0.13291666666666668,0.37216666666666676,0.039875,0.11962500000000001,0.2126666666666667,0.26915625000000004,0.35867708333333326,0.3752916666666666,0.35867708333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,0.040749999999999995,0.12224999999999998,0.49239583333333325,0.12224999999999998,0.13583333333333333,0.3803333333333333,0.040749999999999995,0.12224999999999998,0.21733333333333332,0.2750625,0.3446041666666668,0.36158333333333337,0.3446041666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,0.041624999999999995,0.12487499999999999,0.50296875,0.12487499999999999,0.13875,0.3885,0.041624999999999995,0.12487499999999999,0.222,0.28096875,0.33053125000000005,0.34787499999999993,0.33053125000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,0.042499999999999996,0.12749999999999997,0.5135416666666666,0.12749999999999997,0.14166666666666666,0.39666666666666667,0.042499999999999996,0.12749999999999997,0.22666666666666666,0.286875,0.3164583333333335,0.3341666666666667,0.3164583333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,0.043375,0.130125,0.5241145833333333,0.130125,0.14458333333333334,0.4048333333333334,0.043375,0.130125,0.23133333333333334,0.29278125,0.30238541666666674,0.3204583333333333,0.30238541666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,0.04425,0.13275,0.5346875,0.13275,0.14750000000000002,0.4130000000000001,0.04425,0.13275,0.23600000000000002,0.29868750000000005,0.28831249999999997,0.30674999999999986,0.28831249999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,0.045125,0.135375,0.5452604166666667,0.135375,0.15041666666666667,0.4211666666666667,0.045125,0.135375,0.24066666666666667,0.30459375,0.2742395833333333,0.29304166666666664,0.2742395833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,0.046,0.138,0.5558333333333334,0.138,0.15333333333333335,0.4293333333333334,0.046,0.138,0.24533333333333335,0.31050000000000005,0.26016666666666666,0.2793333333333332,0.26016666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,0.046875,0.140625,0.56640625,0.140625,0.15625,0.43750000000000006,0.046875,0.140625,0.25,0.31640625,0.24609375,0.265625,0.24609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
