year,pop_lvst_initial_buffalo,pop_lvst_initial_cattle_dairy,pop_lvst_initial_cattle_nondairy,pop_lvst_initial_chickens,pop_lvst_initial_goats,pop_lvst_initial_horses,pop_lvst_initial_mules,pop_lvst_initial_pigs,pop_lvst_initial_sheep
2015,0.0,8313181.374864595,5717818.625135405,46039000.0,15312000.0,12327.0,62369.0,3916000.0,3842000.0
2016,0.0,8512849.404465433,5855150.595534566,46291000.0,15725000.0,12344.0,62457.0,4037000.0,4198000.0
2017,0.0,8406794.27895045,5782205.721049552,47578000.0,16034000.0,12364.0,62554.0,4109000.0,4445000.0
2018,0.0,8633716.698348435,5938283.301651566,48901000.0,16419000.0,12385.0,62661.0,4245000.0,4584000.0
2019,0.0,8759916.37284392,6025083.627156081,43121000.0,16945000.0,12406.0,62768.0,4411000.0,4660000.0
2020,0.0,8668920.18642196,5962496.31357804,50482955.0,17151677.5,12419.0,62836.0,5747471.5,4511878.0
2021,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2022,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2023,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2024,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2025,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2026,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2027,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2028,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2029,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2030,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2031,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2032,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2033,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2034,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2035,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2036,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2037,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2038,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2039,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2040,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2041,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2042,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2043,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2044,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2045,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2046,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2047,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2048,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2049,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2050,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2051,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2052,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2053,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2054,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2055,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2056,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2057,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2058,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2059,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2060,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2061,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2062,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2063,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2064,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
2065,0.0,8577924.0,5899909.0,57844910.0,17358355.0,12418.0,62827.0,7083943.0,4363756.0
