year,frac_frst_forest_conversions_available_for_fuelwood
2015,0.9581276657173116
2016,0.9409296845318861
2017,0.9725084568181818
2018,0.9611280280126849
2019,0.9579444935064935
2020,0.9581276657173117
2021,0.9581276657173117
2022,0.9581276657173117
2023,0.9581276657173117
2024,0.9581276657173117
2025,0.9581276657173117
2026,0.9581276657173117
2027,0.9564998012276973
2028,0.9543269476874805
2029,0.951431879668
2030,0.9475838096327941
2031,0.9424853394455006
2032,0.9357586761696739
2033,0.9269332165410141
2034,0.9154384585450908
2035,0.9006087913241179
2036,0.8817097016020623
2037,0.8579971019819124
2038,0.828820252520262
2039,0.7937702600691604
2040,0.7528571787642598
2041,0.7066713350032761
2042,0.6564612915690939
2043,0.6040638328586558
2044,0.5516663741482178
2045,0.5014563307140358
2046,0.455270486953052
2047,0.4143574056481514
2048,0.37930741319704964
2049,0.35013056373539925
2050,0.32641796411524937
2051,0.3075188743931939
2052,0.2926892071722211
2053,0.2811944491762977
2054,0.27236898954763783
2055,0.2656423262718112
2056,0.2605438560845177
2057,0.2566957860493117
2058,0.2538007180298312
2059,0.25162786448961444
2060,0.25
2061,0.25
2062,0.25
2063,0.25
2064,0.25
2065,0.25
2066,0.25
2067,0.25
2068,0.25
2069,0.25
2070,0.25
2071,0.25
2072,0.25
2073,0.25
2074,0.25
2075,0.25
2076,0.25
2077,0.25
2078,0.25
2079,0.25
2080,0.25
2081,0.25
2082,0.25
2083,0.25
2084,0.25
2085,0.25
2086,0.25
2087,0.25
2088,0.25
2089,0.25
2090,0.25
2091,0.25
2092,0.25
2093,0.25
2094,0.25
2095,0.25
2096,0.25
2097,0.25
2098,0.25
2099,0.25
2100,0.25
