year,frac_trns_fuelmix_public_biofuels,frac_trns_fuelmix_public_diesel,frac_trns_fuelmix_public_electricity,frac_trns_fuelmix_public_gasoline,frac_trns_fuelmix_public_hydrocarbon_gas_liquids,frac_trns_fuelmix_public_hydrogen,frac_trns_fuelmix_public_natural_gas
2084,0.0,0.17860941723301635,0.46417174830095104,0.17860941723301635,0.17860941723301635,0.0,0.0
2085,0.0,0.1770450227914796,0.4688649316255611,0.1770450227914796,0.1770450227914796,0.0,0.0
2086,0.0,0.17546574659807718,0.4736027602057684,0.17546574659807718,0.17546574659807718,0.0,0.0
2087,0.0,0.1738720854647216,0.4783837436058352,0.1738720854647216,0.1738720854647216,0.0,0.0
2088,0.0,0.17226475338915523,0.48320573983253434,0.17226475338915523,0.17226475338915523,0.0,0.0
2089,0.0,0.17064457033011568,0.488066289009653,0.17064457033011568,0.17064457033011568,0.0,0.0
2090,0.0,0.16901239778807928,0.49296280663576225,0.16901239778807928,0.16901239778807928,0.0,0.0
2091,0.0,0.16736911223437848,0.4978926632968645,0.16736911223437848,0.16736911223437848,0.0,0.0
2092,0.0,0.16571560700753551,0.5028531789773937,0.16571560700753551,0.16571560700753551,0.0,0.0
2093,0.0,0.1640528131372879,0.5078415605881363,0.1640528131372879,0.1640528131372879,0.0,0.0
2094,0.0,0.16238172937933196,0.5128548118620042,0.16238172937933196,0.16238172937933196,0.0,0.0
2095,0.0,0.16070345135799102,0.5178896459260269,0.16070345135799102,0.16070345135799102,0.0,0.0
2096,0.0,0.15901918902772683,0.5229424329168194,0.15901918902772683,0.15901918902772683,0.0,0.0
2097,0.0,0.15733026068656403,0.5280092179403079,0.15733026068656403,0.15733026068656403,0.0,0.0
2098,0.0,0.15563805062190614,0.5330858481342815,0.15563805062190614,0.15563805062190614,0.0,0.0
2099,0.0,0.15394391637636004,0.5381682508709198,0.15394391637636004,0.15394391637636004,0.0,0.0
2100,0.0,0.15224903095173145,0.5432529071448058,0.15224903095173145,0.15224903095173145,0.0,0.0
