year,frac_trns_fuelmix_public_biofuels,frac_trns_fuelmix_public_diesel,frac_trns_fuelmix_public_electricity,frac_trns_fuelmix_public_gasoline,frac_trns_fuelmix_public_hydrocarbon_gas_liquids,frac_trns_fuelmix_public_hydrogen,frac_trns_fuelmix_public_natural_gas
2015,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
2016,0.0,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.0,0.0
2017,0.0,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.0,0.0
2018,0.0,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.0,0.0
2019,0.0,0.3330523956636403,0.000842813009079184,0.3330523956636403,0.3330523956636403,0.0,0.0
2020,0.0,0.33235746062813665,0.002927618115590132,0.33235746062813665,0.33235746062813665,0.0,0.0
2021,0.0,0.33150394739070194,0.00548815782789427,0.33150394739070194,0.33150394739070194,0.0,0.0
2022,0.0,0.33046480245548926,0.008605592633532316,0.33046480245548926,0.33046480245548926,0.0,0.0
2023,0.0,0.329231266186078,0.01230620144176604,0.329231266186078,0.329231266186078,0.0,0.0
2024,0.0,0.3278010420326038,0.016596873902188544,0.3278010420326038,0.3278010420326038,0.0,0.0
2025,0.0,0.32617011907393983,0.021489642778180402,0.32617011907393983,0.32617011907393983,0.0,0.0
2026,0.0,0.32432808090690485,0.0270157572792855,0.32432808090690485,0.32432808090690485,0.0,0.0
2027,0.0,0.32225677819154624,0.03322966542536114,0.32225677819154624,0.32225677819154624,0.0,0.0
2028,0.0,0.31993232867156307,0.040203013985310856,0.31993232867156307,0.31993232867156307,0.0,0.0
2029,0.0,0.31733050453096073,0.048008486407117905,0.31733050453096073,0.31733050453096073,0.0,0.0
2030,0.0,0.3144356399716887,0.056693080084933914,0.3144356399716887,0.3144356399716887,0.0,0.0
2031,0.0,0.31125320859483135,0.06624037421550606,0.31125320859483135,0.31125320859483135,0.0,0.0
2032,0.0,0.30782614578357415,0.07652156264927759,0.30782614578357415,0.30782614578357415,0.0,0.0
2033,0.0,0.3042167634571146,0.0873497096286561,0.3042167634571146,0.3042167634571146,0.0,0.0
2034,0.0,0.3004937605703583,0.09851871828892514,0.3004937605703583,0.3004937605703583,0.0,0.0
2035,0.0,0.29672350072875475,0.1098294978137358,0.29672350072875475,0.29672350072875475,0.0,0.0
2036,0.0,0.2929646851364097,0.12110594459077087,0.2929646851364097,0.2929646851364097,0.0,0.0
2037,0.0,0.28926559062137064,0.13220322813588803,0.28926559062137064,0.28926559062137064,0.0,0.0
2038,0.0,0.2856631350980641,0.14301059470580768,0.2856631350980641,0.2856631350980641,0.0,0.0
2039,0.0,0.28218315118901577,0.15345054643295272,0.28218315118901577,0.28218315118901577,0.0,0.0
2040,0.0,0.27884137481923604,0.16347587554229198,0.27884137481923604,0.27884137481923604,0.0,0.0
2041,0.0,0.2756447775524803,0.1730656673425591,0.2756447775524803,0.2756447775524803,0.0,0.0
2042,0.0,0.2725929822930691,0.18222105312079268,0.2725929822930691,0.2725929822930691,0.0,0.0
2043,0.0,0.26967959844889483,0.19096120465331565,0.26967959844889483,0.26967959844889483,0.0,0.0
2044,0.0,0.2668933940402931,0.19931981787912045,0.2668933940402931,0.2668933940402931,0.0,0.0
2045,0.0,0.26421928946513223,0.20734213160460335,0.26421928946513223,0.26421928946513223,0.0,0.0
2046,0.0,0.26163921242135574,0.21508236273593276,0.26163921242135574,0.26163921242135574,0.0,0.0
2047,0.0,0.2591328977122562,0.22260130686323118,0.2591328977122562,0.2591328977122562,0.0,0.0
2048,0.0,0.256678750778419,0.22996374766474298,0.256678750778419,0.256678750778419,0.0,0.0
2049,0.0,0.2542549204280988,0.23723523871570354,0.2542549204280988,0.2542549204280988,0.0,0.0
2050,0.0,0.2518407437925821,0.2444777686222538,0.2518407437925821,0.2518407437925821,0.0,0.0
2051,0.0,0.24941873297089598,0.25174380108731215,0.24941873297089598,0.24941873297089598,0.0,0.0
2052,0.0,0.24697726446880197,0.2590682065935941,0.24697726446880197,0.24697726446880197,0.0,0.0
2053,0.0,0.2445093121001748,0.2664720636994757,0.2445093121001748,0.2445093121001748,0.0,0.0
2054,0.0,0.24201130001375307,0.27396609995874077,0.24201130001375307,0.24201130001375307,0.0,0.0
2055,0.0,0.23948214578042354,0.2815535626587294,0.23948214578042354,0.23948214578042354,0.0,0.0
2056,0.0,0.23692252897093524,0.2892324130871943,0.23692252897093524,0.23692252897093524,0.0,0.0
2057,0.0,0.234334395717793,0.296996812846621,0.234334395717793,0.234334395717793,0.0,0.0
2058,0.0,0.23172069213313598,0.304837923600592,0.23172069213313598,0.23172069213313598,0.0,0.0
2059,0.0,0.22908530678683472,0.3127440796394957,0.22908530678683472,0.22908530678683472,0.0,0.0
2060,0.0,0.22643319244727128,0.32070042265818616,0.22643319244727128,0.22643319244727128,0.0,0.0
2061,0.0,0.22377062786070442,0.3286881164178868,0.22377062786070442,0.22377062786070442,0.0,0.0
2062,0.0,0.221105569701137,0.3366832908965889,0.221105569701137,0.221105569701137,0.0,0.0
2063,0.0,0.2184480315608076,0.34465590531757706,0.2184480315608076,0.2184480315608076,0.0,0.0
2064,0.0,0.21581041007012122,0.3525687697896364,0.21581041007012122,0.21581041007012122,0.0,0.0
2065,0.0,0.21320765766460695,0.36037702700617924,0.21320765766460695,0.21320765766460695,0.0,0.0
2066,0.0,0.21065717768404824,0.3680284669478553,0.21065717768404824,0.21065717768404824,0.0,0.0
2067,0.0,0.20817829192880336,0.37546512421358996,0.20817829192880336,0.20817829192880336,0.0,0.0
2068,0.0,0.20579110628720115,0.38262668113839654,0.20579110628720115,0.20579110628720115,0.0,0.0
2069,0.0,0.20351458086118443,0.38945625741644674,0.20351458086118443,0.20351458086118443,0.0,0.0
2070,0.0,0.20136360317437021,0.39590919047688927,0.20136360317437021,0.20136360317437021,0.0,0.0
2071,0.0,0.1993448745024229,0.4019653764927314,0.1993448745024229,0.1993448745024229,0.0,0.0
2072,0.0,0.19745146008926287,0.4076456197322113,0.19745146008926287,0.19745146008926287,0.0,0.0
2073,0.0,0.19566827055143377,0.41299518834569887,0.19566827055143377,0.19566827055143377,0.0,0.0
2074,0.0,0.19397621128796413,0.41807136613610757,0.19397621128796413,0.19397621128796413,0.0,0.0
2075,0.0,0.1923551501536589,0.42293454953902326,0.1923551501536589,0.1923551501536589,0.0,0.0
2076,0.0,0.19078589369906848,0.4276423189027945,0.19078589369906848,0.19078589369906848,0.0,0.0
2077,0.0,0.18925137264888245,0.43224588205335257,0.18925137264888245,0.18925137264888245,0.0,0.0
2078,0.0,0.18773722789649078,0.4367883163105277,0.18773722789649078,0.18773722789649078,0.0,0.0
2079,0.0,0.1862319670435771,0.44130409886926875,0.1862319670435771,0.1862319670435771,0.0,0.0
2080,0.0,0.18472683440468587,0.44581949678594235,0.18472683440468587,0.18472683440468587,0.0,0.0
2081,0.0,0.1832155087222864,0.4503534738331408,0.1832155087222864,0.1832155087222864,0.0,0.0
2082,0.0,0.18169371546329424,0.45491885361011736,0.18169371546329424,0.18169371546329424,0.0,0.0
2083,0.0,0.18015881621619326,0.45952355135142015,0.18015881621619326,0.18015881621619326,0.0,0.0
