area_lndu_supremum_croplands_ha,area_lndu_supremum_flooded_ha,area_lndu_supremum_forests_mangroves_ha,area_lndu_supremum_forests_primary_ha,area_lndu_supremum_forests_secondary_ha,area_lndu_supremum_grasslands_ha,area_lndu_supremum_other_ha,area_lndu_supremum_pastures_ha,area_lndu_supremum_settlements_ha,area_lndu_supremum_shrublands_ha,area_lndu_supremum_wetlands_ha,year
20354280.0,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2061
20354426.666666668,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2062
20354573.333333332,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2063
20354720.0,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2064
20354866.666666668,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2065
20355013.333333332,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2066
20355160.0,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2067
20355306.666666664,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2068
20355453.333333332,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2069
20355600.0,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2070
