area_lndu_infimum_croplands_ha,area_lndu_infimum_flooded_ha,area_lndu_infimum_forests_mangroves_ha,area_lndu_infimum_forests_primary_ha,area_lndu_infimum_forests_secondary_ha,area_lndu_infimum_grasslands_ha,area_lndu_infimum_other_ha,area_lndu_infimum_pastures_ha,area_lndu_infimum_settlements_ha,area_lndu_infimum_shrublands_ha,area_lndu_infimum_wetlands_ha,year
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2032
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2033
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2034
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2035
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2036
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2037
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2038
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2039
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2040
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2041
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2042
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2043
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2044
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2045
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2046
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2047
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2048
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2049
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2050
-999.0,3526779.9999999995,-999.0,146461.0121335986,383133.98786640144,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2051
