year,population_gnrl_rural,population_gnrl_urban
1950,5313022,154174
1951,5453069,166473
1952,5597863,179371
1953,5748204,192920
1954,5904093,207146
1955,6065411,222073
1956,6229756,239961
1957,6399610,258743
1958,6575589,278480
1959,6757973,299225
1960,6943161,320851
1961,7127876,346465
1962,7319605,373403
1963,7520682,401846
1964,7730903,431859
1965,7949184,463452
1966,8174978,497818
1967,8410652,534090
1968,8657242,572423
1969,8908312,612472
1970,9158499,653898
1971,9414087,680279
1972,9643550,705205
1973,9864530,729914
1974,10104750,756461
1975,10362052,784733
1976,10626521,816924
1977,10899504,850411
1978,11180752,885207
1979,11441669,919043
1980,11669944,950850
1981,11874997,1012660
1982,12110154,1079033
1983,12370387,1149870
1984,12661020,1226001
1985,12975367,1307134
1986,13302162,1402338
1987,13662268,1504817
1988,14044159,1613768
1989,14442565,1728926
1990,14853067,1850035
1991,15287357,1972840
1992,15753869,2104420
1993,16242039,2243812
1994,16728688,2388064
1995,17122402,2523744
1996,17512946,2671165
1997,17947447,2830351
1998,18406169,2998842
1999,18926521,3183384
2000,19442533,3373592
2001,19944197,3580673
2002,20473110,3800119
2003,21021089,4030977
2004,21548913,4265959
2005,22075143,4508603
2006,22598285,4775193
2007,23136174,5054332
2008,23686850,5346062
2009,24249004,5650534
2010,24824258,5968574
2011,25378542,6330487
2012,25936640,6706792
2013,26496405,7097317
2014,27088955,7511044
2015,27658870,7933333
2016,28190888,8421971
2017,28730674,8932111
2018,29278236,9464583
2019,29833576,10020248
2020,30396690,10600000
2021,29782795,12389532
2022,29108697,14272982
2023,28371445,16254265
2024,27567973,18337443
2025,26695088,20526731
2026,27144192,21418585
2027,27589779,22338468
2028,28031343,23286817
2029,28468369,24264058
2030,28900334,25270602
2031,29319581,26313971
2032,29731712,27387256
2033,30136140,28490768
2034,30532274,29624796
2035,30919515,30789608
2036,31299409,31983296
2037,31669306,33208124
2038,32028593,34464285
2039,32376659,35751944
2040,32712885,37071243
2041,33040657,38418290
2042,33292065,39721241
2043,33530248,41052256
2044,33752950,42409142
2045,33957313,43788670
2046,34131767,45205953
2047,34291200,46652125
2048,34434227,48125905
2049,34557163,49622540
2050,34659707,51141720
2051,34744662,52684229
2052,34811457,54252964
2053,34860383,55848803
2054,34888823,57467914
2055,34894988,59107416
2056,34880806,60766424
2057,34845998,62448465
2058,34790430,64153424
2059,34712361,65878121
2060,34609842,67618588
2061,34487747,69379317
2062,34345195,71163265
2063,34178397,72962516
2064,33988521,74779078
2065,33774814,76610878
2066,33539166,78456193
2067,33280836,80318217
2068,32998979,82194435
2069,32693415,84083731
2070,32366147,85990676
2071,32018155,87911158
2072,31647030,89844293
2073,31253266,91790723
2074,30836973,93750051
2075,30399975,95727242
2076,29943611,97718797
2077,29464159,99719357
2078,28962448,101730597
2079,28438276,103750732
2080,27892666,105782383
2081,27327944,107824700
2082,26741576,109875600
2083,26134911,111939523
2084,25506355,114008582
2085,24855819,116080508
2086,24186443,118157471
2087,23498058,120248175
2088,22790415,122350635
2089,22063107,124461592
2090,21316057,126579093
2091,20550534,128695475
2092,19766097,130819095
2093,18963094,132950604
2094,18140602,135081377
2095,17300373,137221829
2096,16443862,139364730
2097,15568763,141505381
2098,14676483,143653200
2099,13767584,145811913
2100,12841639,147975213
