frac_trns_pkm_dem_regional_aviation,frac_trns_pkm_dem_regional_rail_passenger,frac_trns_pkm_dem_regional_road_heavy_regional,frac_trns_pkm_dem_regional_road_light,frac_trns_pkm_dem_regional_water_borne,year
0.05,0.3,0.55,0.07,0.03,2015
0.05,0.3,0.55,0.07,0.03,2016
0.05,0.3,0.55,0.07,0.03,2017
0.05,0.3,0.55,0.07,0.03,2018
0.05,0.3,0.55,0.07,0.03,2019
0.05,0.3,0.55,0.07,0.03,2020
0.04933333333333333,0.305,0.5466666666666667,0.06933333333333334,0.029666666666666664,2021
0.04866666666666667,0.31,0.5433333333333333,0.06866666666666667,0.029333333333333333,2022
0.048,0.315,0.54,0.068,0.028999999999999998,2023
0.04733333333333334,0.32,0.5366666666666667,0.06733333333333334,0.028666666666666667,2024
0.04666666666666667,0.325,0.5333333333333333,0.06666666666666668,0.028333333333333332,2025
0.046,0.33,0.53,0.066,0.028,2026
0.04533333333333334,0.33499999999999996,0.5266666666666667,0.06533333333333334,0.027666666666666666,2027
0.04466666666666667,0.33999999999999997,0.5233333333333333,0.06466666666666668,0.027333333333333334,2028
0.044000000000000004,0.345,0.52,0.064,0.027,2029
0.043333333333333335,0.35,0.5166666666666667,0.06333333333333334,0.026666666666666665,2030
0.04266666666666667,0.355,0.5133333333333334,0.06266666666666668,0.026333333333333334,2031
0.042,0.36,0.51,0.062000000000000006,0.026,2032
0.04133333333333333,0.365,0.5066666666666667,0.06133333333333334,0.025666666666666667,2033
0.04066666666666667,0.37,0.5033333333333334,0.060666666666666674,0.025333333333333333,2034
0.04,0.375,0.5,0.060000000000000005,0.025,2035
0.03933333333333333,0.38,0.4966666666666667,0.059333333333333335,0.024666666666666667,2036
0.03866666666666667,0.385,0.49333333333333335,0.05866666666666667,0.024333333333333332,2037
0.038,0.39,0.49000000000000005,0.058,0.024,2038
0.037333333333333336,0.395,0.4866666666666667,0.05733333333333334,0.023666666666666666,2039
0.03666666666666667,0.4,0.48333333333333334,0.05666666666666667,0.023333333333333334,2040
0.036000000000000004,0.405,0.48000000000000004,0.05600000000000001,0.023,2041
0.035333333333333335,0.41000000000000003,0.4766666666666667,0.05533333333333334,0.02266666666666667,2042
0.034666666666666665,0.41500000000000004,0.4733333333333334,0.05466666666666667,0.022333333333333334,2043
0.034,0.42000000000000004,0.47000000000000003,0.054000000000000006,0.022,2044
0.03333333333333333,0.42500000000000004,0.4666666666666667,0.05333333333333334,0.021666666666666667,2045
0.03266666666666666,0.43000000000000005,0.4633333333333334,0.05266666666666667,0.021333333333333336,2046
0.032,0.43500000000000005,0.46,0.052000000000000005,0.021,2047
0.03133333333333334,0.44,0.45666666666666667,0.05133333333333334,0.020666666666666667,2048
0.03066666666666667,0.445,0.45333333333333337,0.05066666666666667,0.020333333333333335,2049
0.03,0.45,0.45,0.05,0.02,2050
0.03,0.45,0.45,0.05,0.02,2051
0.03,0.45,0.45,0.05,0.02,2052
0.03,0.45,0.45,0.05,0.02,2053
0.03,0.45,0.45,0.05,0.02,2054
0.03,0.45,0.45,0.05,0.02,2055
0.03,0.45,0.45,0.05,0.02,2056
0.03,0.45,0.45,0.05,0.02,2057
0.03,0.45,0.45,0.05,0.02,2058
0.03,0.45,0.45,0.05,0.02,2059
0.03,0.45,0.45,0.05,0.02,2060
0.03,0.45,0.45,0.05,0.02,2061
0.03,0.45,0.45,0.05,0.02,2062
0.03,0.45,0.45,0.05,0.02,2063
0.03,0.45,0.45,0.05,0.02,2064
0.03,0.45,0.45,0.05,0.02,2065
0.03,0.45,0.45,0.05,0.02,2066
0.03,0.45,0.45,0.05,0.02,2067
0.03,0.45,0.45,0.05,0.02,2068
0.03,0.45,0.45,0.05,0.02,2069
0.03,0.45,0.45,0.05,0.02,2070
0.03,0.45,0.45,0.05,0.02,2071
0.03,0.45,0.45,0.05,0.02,2072
0.03,0.45,0.45,0.05,0.02,2073
0.03,0.45,0.45,0.05,0.02,2074
0.03,0.45,0.45,0.05,0.02,2075
0.03,0.45,0.45,0.05,0.02,2076
0.03,0.45,0.45,0.05,0.02,2077
0.03,0.45,0.45,0.05,0.02,2078
0.03,0.45,0.45,0.05,0.02,2079
0.03,0.45,0.45,0.05,0.02,2080
0.03,0.45,0.45,0.05,0.02,2081
0.03,0.45,0.45,0.05,0.02,2082
0.03,0.45,0.45,0.05,0.02,2083
0.03,0.45,0.45,0.05,0.02,2084
0.03,0.45,0.45,0.05,0.02,2085
0.03,0.45,0.45,0.05,0.02,2086
0.03,0.45,0.45,0.05,0.02,2087
0.03,0.45,0.45,0.05,0.02,2088
0.03,0.45,0.45,0.05,0.02,2089
0.03,0.45,0.45,0.05,0.02,2090
0.03,0.45,0.45,0.05,0.02,2091
0.03,0.45,0.45,0.05,0.02,2092
0.03,0.45,0.45,0.05,0.02,2093
0.03,0.45,0.45,0.05,0.02,2094
0.03,0.45,0.45,0.05,0.02,2095
0.03,0.45,0.45,0.05,0.02,2096
0.03,0.45,0.45,0.05,0.02,2097
0.03,0.45,0.45,0.05,0.02,2098
0.03,0.45,0.45,0.05,0.02,2099
0.03,0.45,0.45,0.05,0.02,2100
