year,cost_enfu_fuel_biogas_usd_per_mmbtu,cost_enfu_fuel_electricity_usd_per_mmbtu,cost_enfu_fuel_hydrocarbon_gas_liquids_usd_per_mmbtu,cost_enfu_fuel_hydrogen_usd_per_mmbtu,cost_enfu_fuel_natural_gas_usd_per_mmbtu,cost_enfu_fuel_waste_usd_per_mmbtu
2015,22.0,60.60995530404836,186.70826958249475,120.88288860820231,8.251805479179808,9380.0
2016,22.0,60.60995530404836,186.70826958249475,120.88288860820231,8.251805479179808,9380.0
2017,22.0,60.60995530404836,186.70826958249475,120.88288860820231,8.251805479179808,9380.0
2018,22.0,60.60995530404836,186.70826958249475,120.88288860820231,8.251805479179808,9380.0
2019,22.0,60.60995530404836,186.70826958249475,120.88288860820231,8.251805479179808,9380.0
2020,22.0,60.60995530404836,186.70826958249475,120.88288860820231,8.251805479179808,9380.0
2021,21.98428571428571,60.523369653614004,186.7882874123158,120.36481908559573,8.263593772721492,9369.279999999999
2022,21.95287959183673,60.35044574031796,186.9483916586692,119.3331206362906,8.287204040643552,9347.86450285714
2023,21.90583770699708,60.09180097285945,187.18875387651605,117.79883765668116,8.322720629389167,9315.814681704487
2024,21.8432495992628,59.74841925301454,187.50964888316147,115.77942901113803,8.370279032985675,9273.228100302409
2025,21.765237993551146,59.32164482977871,187.91145527362536,113.29844124661363,8.430066740364145,9220.238225443536
2026,21.67195840215021,58.81317358838061,188.39465615861465,110.385052757415,8.50232445528155,9157.01373475478
2027,21.56359861013946,58.2250418524968,188.95984012709047,107.07350117469254,8.587347699834364,9083.757624876742
2028,21.443800840083128,57.62985253578238,189.5687107230555,103.74232558259098,8.671312877343857,9009.0689510722
2029,21.312755390504837,57.027940742630875,190.221669615546,100.39951731381858,8.75417208928292,8932.9923688187
2030,21.170670354568138,56.4196427080428,190.919149070803,97.05286673669129,8.835877695449561,8855.57310162227
2031,21.017771068674037,55.80529548744412,191.66161242830057,93.70993466020526,8.916382358896989,8776.856896274516
2032,20.85429951591768,55.18523664869474,192.44955461272798,90.37802587228684,8.995639090976075,8696.889977886238
2033,20.680513686618365,54.55980396667619,193.28350268271643,87.06416492363633,9.073601296431201,8615.7190047593
2034,20.496686898292868,53.929335120839035,194.1640164171599,83.77507424874338,9.150222818489953,8533.391023158265
2035,20.303107077586766,53.294167396082486,195.09168894004185,80.51715469462557,9.225457983886423,8449.95342204294
2036,20.100076006810898,52.65463738732949,196.06714738474201,77.29646850684055,9.299261647757517,8365.45388782251
2037,19.889025208739387,52.00698534746533,197.08669655114264,74.16596153231352,9.370865962445249,8281.799348944283
2038,19.670245931443255,51.35169733208727,198.1509647125188,71.12515710948865,9.440210370567344,8198.98135545484
2039,19.444038103231655,50.689260436503346,199.2606101149089,68.17346308944488,9.507235864198373,8116.991541900293
2040,19.21070964599288,50.02016219874151,200.41632165357538,65.3101776396882,9.571885068074923,8035.821626481291
2041,18.970575775417966,49.3448900090585,201.6188195834968,62.53449509000146,9.63410232101741,7955.463410216478
2042,18.723958290337535,48.6639305269335,202.86885626491448,59.845511801131394,9.69383375540772,7875.908776114314
2043,18.471184853417977,47.977769106503736,204.16721694500995,57.24223203778218,9.751027374564625,7797.149688353172
2044,18.212588265470124,47.28688923137008,205.514720576847,54.72357382811976,9.805633127862187,7719.178191469639
2045,17.94850573562081,46.59177195966894,206.91222067676952,52.28837479276843,9.857602983439854,7641.986409554943
2046,17.679278149586498,45.892895380273906,208.36060622150688,49.935397927093845,9.906890998357053,7565.566545459394
2047,17.414088977342697,45.204501949569796,209.8191304650574,47.68830502037463,9.956425453348837,7489.9108800048
2048,17.152877642682554,44.52643442032625,211.28786437831278,45.54233129445777,10.00620758061558,7415.011771204751
