year,frac_trns_fuelmix_road_heavy_regional_biofuels,frac_trns_fuelmix_road_heavy_regional_diesel,frac_trns_fuelmix_road_heavy_regional_electricity,frac_trns_fuelmix_road_heavy_regional_gasoline,frac_trns_fuelmix_road_heavy_regional_hydrocarbon_gas_liquids,frac_trns_fuelmix_road_heavy_regional_hydrogen,frac_trns_fuelmix_road_heavy_regional_natural_gas
2015,0.0,0.5,0.0,0.5,0.0,0.0,0.0
2016,0.0,0.5,0.0,0.5,0.0,0.0,0.0
2017,0.0,0.5,0.0,0.5,0.0,0.0,0.0
2018,0.0004903277331767164,0.4997548361334116,0.0,0.4997548361334116,0.0,0.0,0.0
2019,0.003456507220573371,0.4981549203009512,0.00023365217752434754,0.4981549203009512,0.0,0.0,0.0
2020,0.006878757026828934,0.4961430368037713,0.0008351693656283876,0.4961430368037713,0.0,0.0,0.0
2021,0.01085529336569392,0.4937848591080089,0.0015749884182883996,0.4937848591080089,0.0,0.0,0.0
2022,0.015415416508492758,0.4910537900546471,0.0024770033822131146,0.4910537900546471,0.0,0.0,0.0
2023,0.020479873792892952,0.48798538389358936,0.003549358419928383,0.48798538389358936,0.0,0.0,0.0
2024,0.025908158192406064,0.48464825352362845,0.004795334760336993,0.48464825352362845,0.0,0.0,0.0
2025,0.0315328546668841,0.4811231529220293,0.006220839489057316,0.4811231529220293,0.0,0.0,0.0
2026,0.03718340809334091,0.47748896047780387,0.007838670951051332,0.47748896047780387,0.0,0.0,0.0
2027,0.04270180365458052,0.4738142598188939,0.009669676707631664,0.4738142598188939,0.0,0.0,0.0
2028,0.04795255864965661,0.4701533083487447,0.011740824652853943,0.4701533083487447,0.0,0.0,0.0
2029,0.05282919839970904,0.4665453479084433,0.014080105783404328,0.4665453479084433,0.0,0.0,0.0
2030,0.057259080418322894,0.46301640574694597,0.016708108087785112,0.46301640574694597,0.0,0.0,0.0
2031,0.06120807185451942,0.4595829260794687,0.019626075986543094,0.4595829260794687,0.0,0.0,0.0
2032,0.06468618914124233,0.45625673972455105,0.022800331409655594,0.45625673972455105,0.0,0.0,0.0
2033,0.06773095312685731,0.4530454644888573,0.026178117895428114,0.4530454644888573,0.0,0.0,0.0
2034,0.07039460037646013,0.4499530990430448,0.029699201537450412,0.4499530990430448,0.0,0.0,0.0
2035,0.07273482228690872,0.4469806645152967,0.03330384868249784,0.4469806645152967,0.0,0.0,0.0
2036,0.07480855313110031,0.44412678922815757,0.03693786841258453,0.44412678922815757,0.0,0.0,0.0
2037,0.076668270525328,0.4413881663449625,0.04055539678474697,0.4413881663449625,0.0,0.0,0.0
2038,0.07836027657825191,0.4387598422890934,0.0441200388435612,0.4387598422890934,0.0,0.0,0.0
2039,0.07992446997954727,0.4362353169640048,0.047604896092443096,0.4362353169640048,0.0,0.0,0.0
2040,0.08139517868972011,0.43380645676254076,0.05099190778519829,0.43380645676254076,0.0,0.0,0.0
2041,0.0828026847691809,0.43146324002418457,0.0542708351824499,0.43146324002418457,0.0,0.0,0.0
2042,0.08417512660952407,0.42919337387872764,0.05743812563302074,0.42919337387872764,0.0,0.0,0.0
2043,0.08554050246489191,0.42698184300488423,0.06049581152533975,0.42698184300488423,0.0,0.0,0.0
2044,0.08692851893734145,0.42481047604093736,0.06345052898078375,0.42481047604093736,0.0,0.0,0.0
2045,0.08837202792095929,0.42265764491222213,0.06631268225459655,0.42265764491222213,0.0,0.0,0.0
2046,0.08990777699363937,0.42049824602829294,0.06909573094977463,0.42049824602829294,0.0,0.0,0.0
2047,0.09157616546771802,0.41830414883763717,0.07181553685700759,0.41830414883763717,0.0,0.0,0.0
2048,0.09341965812702077,0.4160453338052578,0.07448967426246358,0.4160453338052578,0.0,0.0,0.0
2049,0.09547947102316123,0.41369197383753636,0.07713658130176597,0.41369197383753636,0.0,0.0,0.0
2050,0.09779012199356316,0.41121773363670133,0.07977441073303429,0.41121773363670133,0.0,0.0,0.0
2051,0.1003714500701192,0.40860456099983156,0.08241942793021774,0.40860456099983156,0.0,0.0,0.0
2052,0.1032177740171674,0.40584921051462325,0.08508380495358604,0.40584921051462325,0.0,0.0,0.0
2053,0.1063077459071095,0.4029580086886549,0.08777623671558082,0.4029580086886549,0.0,0.0,0.0
2054,0.1096118400721755,0.3999427899243583,0.09050258007910783,0.3999427899243583,0.0,0.0,0.0
2055,0.11309769434937991,0.3968179370513355,0.0932664315479492,0.3968179370513355,0.0,0.0,0.0
2056,0.11673360236856369,0.3935984049999444,0.09606958763154748,0.3935984049999444,0.0,0.0,0.0
2057,0.12049048405494048,0.3902985806660624,0.09891235461293464,0.3902985806660624,0.0,0.0,0.0
2058,0.12434265501735542,0.3869318262451607,0.10179369249232315,0.3869318262451607,0.0,0.0,0.0
2059,0.1282676892894103,0.38351055894237646,0.10471119282583685,0.38351055894237646,0.0,0.0,0.0
2060,0.1322456359938776,0.38004673015941154,0.10766090368729936,0.38004673015941154,0.0,0.0,0.0
2061,0.13625781797791967,0.3765525766550462,0.11063702871198784,0.3765525766550462,0.0,0.0,0.0
2062,0.14028541577834694,0.37304152077902863,0.11363154266359582,0.37304152077902863,0.0,0.0,0.0
2063,0.14430802760281292,0.36952909396932815,0.11663378445853079,0.36952909396932815,0.0,0.0,0.0
2064,0.14830239750118773,0.36603374578945724,0.11963011091989777,0.36603374578945724,0.0,0.0,0.0
2065,0.15224151979124637,0.3625773796331097,0.12260372094253437,0.3625773796331097,0.0,0.0,0.0
2066,0.15609435641239053,0.359185426982303,0.12553478962300357,0.359185426982303,0.0,0.0,0.0
2067,0.15982644144788172,0.355886237505846,0.1284010835404262,0.355886237505846,0.0,0.0,0.0
2068,0.1634016874507559,0.3527095269417077,0.13117925866582866,0.3527095269417077,0.0,0.0,0.0
2069,0.16678574255957007,0.34968359546130906,0.13384706651781175,0.34968359546130906,0.0,0.0,0.0
2070,0.16995126367939944,0.3468310154880216,0.13638670534455732,0.3468310154880216,0.0,0.0,0.0
2071,0.17288545372319983,0.34416250203137627,0.13878954221404768,0.34416250203137627,0.0,0.0,0.0
2072,0.17560014089816753,0.3416687358080927,0.1410623874856471,0.3416687358080927,0.0,0.0,0.0
2073,0.1781219478350059,0.3393283337155006,0.1432213847339928,0.3393283337155006,0.0,0.0,0.0
2074,0.18048483682272204,0.3371138981466772,0.14528736688392355,0.3371138981466772,0.0,0.0,0.0
2075,0.18272476745518976,0.33499635654915283,0.14728251944650458,0.33499635654915283,0.0,0.0,0.0
2076,0.1848761296465802,0.3329478627285697,0.1492281448962804,0.3329478627285697,0.0,0.0,0.0
2077,0.18696959504827737,0.3309435481015491,0.15114330874862458,0.3309435481015491,0.0,0.0,0.0
2078,0.18903104564640508,0.32896239879075967,0.15304415677207556,0.32896239879075967,0.0,0.0,0.0
2079,0.191081275552614,0.32698750463025406,0.15494371518687794,0.32698750463025406,0.0,0.0,0.0
2080,0.19313620994953692,0.32500588755209575,0.15685201494627143,0.32500588755209575,0.0,0.0,0.0
