year,frac_trns_fuelmix_road_heavy_regional_biofuels,frac_trns_fuelmix_road_heavy_regional_diesel,frac_trns_fuelmix_road_heavy_regional_electricity,frac_trns_fuelmix_road_heavy_regional_gasoline,frac_trns_fuelmix_road_heavy_regional_hydrocarbon_gas_liquids,frac_trns_fuelmix_road_heavy_regional_hydrogen,frac_trns_fuelmix_road_heavy_regional_natural_gas
2081,0.1952074360844245,0.3230080757370102,0.15877641244155521,0.3230080757370102,0.0,0.0,0.0
2082,0.19730288994840534,0.3209875505383941,0.1607220089748065,0.3209875505383941,0.0,0.0,0.0
2083,0.19942758571413677,0.3189401580728556,0.16269209814015198,0.3189401580728556,0.0,0.0,0.0
2084,0.20158431157450013,0.31686354778373554,0.1646885928580286,0.31686354778373554,0.0,0.0,0.0
2085,0.2037742449019102,0.31475667658010115,0.16671240193788753,0.31475667658010115,0.0,0.0,0.0
2086,0.20599746196777877,0.31261939906271513,0.16876373990679114,0.31261939906271513,0.0,0.0,0.0
2087,0.20825333363153545,0.3104521512146875,0.17084236393908964,0.3104521512146875,0.0,0.0,0.0
2088,0.21054080948280815,0.3082557258969875,0.17294773872321675,0.3082557258969875,0.0,0.0,0.0
2089,0.2128586000392486,0.3060311326130511,0.17507913473464926,0.3060311326130511,0.0,0.0,0.0
2090,0.21520527088157507,0.3037795303742614,0.1772356683699023,0.3037795303742614,0.0,0.0,0.0
2091,0.21757926506618383,0.30150222026637485,0.17941629440106646,0.30150222026637485,0.0,0.0,0.0
2092,0.2199788716748328,0.2992006827549497,0.18161976281526765,0.2992006827549497,0.0,0.0,0.0
2093,0.2224021596577019,0.2968766432784531,0.18384455378539202,0.2968766432784531,0.0,0.0,0.0
2094,0.22484689773927125,0.2945321478135311,0.18608880663366656,0.2945321478135311,0.0,0.0,0.0
2095,0.22731048343304822,0.29216962757499687,0.18835026141695807,0.29216962757499687,0.0,0.0,0.0
2096,0.22978990729065116,0.2897919287336366,0.1906262352420757,0.2897919287336366,0.0,0.0,0.0
2097,0.23228178230209542,0.28740227910656435,0.1929136594847759,0.28740227910656435,0.0,0.0,0.0
2098,0.23478247251503806,0.2850041595473178,0.19520920839032643,0.2850041595473178,0.0,0.0,0.0
2099,0.23728835879978433,0.2826010438664003,0.19750955346741508,0.2826010438664003,0.0,0.0,0.0
2100,0.23979628226191155,0.28019596850047807,0.19981178073713243,0.28019596850047807,0.0,0.0,0.0
