year,scalar_lvst_carrying_capacity
2015,1.0
2016,1.0
2017,1.0
2018,1.0
2019,1.0
2020,1.0
2021,1.0
2022,1.0
2023,1.0
2024,1.036746918140984
2025,1.0795030613127239
2026,1.1286574752835326
2027,1.1843937688974802
2028,1.2466137075433643
2029,1.3148718817634566
2030,1.3883378196420764
2031,1.4658013600938653
2032,1.54573110937344
2033,1.6263846419357635
2034,1.7059557402216734
2035,1.782733276784243
2036,1.8552428163831092
2037,1.9223472215982866
2038,1.9832941842324492
2039,2.037711884975244
2040,2.085564262165268
2041,2.127082219203059
2042,2.1626867229992945
2043,2.1929160173166222
2044,2.2183643015965315
2045,2.2396348338745935
2046,2.257307281270582
2047,2.271917358104587
2048,2.283946086800362
2049,2.293816012001719
2050,2.301892060260469
2051,2.308485231650714
2052,2.3138577978336867
2053,2.3182290978458826
2054,2.321781348024983
2055,2.3246651200808937
2056,2.3270043057617156
2057,2.3289004946814083
2058,2.3304367590697104
2059,2.331680878019911
2060,2.332688053754954
2061,2.333503180358367
2062,2.334162726066204
2063,2.334696286759813
2064,2.335127862784134
2065,2.3354769049156023
2066,2.3357591689718546
2067,2.335987412609154
2068,2.336171962495739
2069,2.336321175353083
2070,2.3364418123193746
