year,yf_agrc_bevs_and_spices_tonne_ha,yf_agrc_cereals_tonne_ha,yf_agrc_fibers_tonne_ha,yf_agrc_fruits_tonne_ha,yf_agrc_herbs_and_other_perennial_crops_tonne_ha,yf_agrc_nuts_tonne_ha,yf_agrc_other_annual_tonne_ha,yf_agrc_other_woody_perennial_tonne_ha,yf_agrc_pulses_tonne_ha,yf_agrc_rice_tonne_ha,yf_agrc_sugar_cane_tonne_ha,yf_agrc_tubers_tonne_ha,yf_agrc_vegetables_and_vines_tonne_ha
2015,3.056540284,1.805032625,1.076846639,7.373498565,2.123306266,0.762026903,0.982736923,0.367399923,0.784491981,2.755775,76.79430008,4.44602041,4.002223056
2016,3.092420474,1.832342355,1.276585211,7.20980553,2.171183263,0.716170807,0.984473061,0.367399923,0.803826498,2.82632284,77.45965439,4.558345799,4.070985153
2017,3.084869651,1.827437076,1.366423476,7.187318406,2.13668096,0.771065845,0.99979517,0.367399923,0.808390062,2.908775628,77.26322275,5.202682738,4.007029127
2018,3.062740777,1.935353225,1.51567625,7.173245581,2.134035416,0.744830867,1.441325441,0.367399923,0.804774485,2.961355815,76.78493044,5.605283094,4.014348466
2019,3.18016435,2.003586214,1.469709923,7.219285396,2.172065111,0.458120036,1.528325257,0.367399923,0.79981409,2.970174295,77.72696457,4.805887882,4.035314402
2020,3.163161218,2.076421347,1.52449473,7.202420053,2.196793599,0.611230895,1.681739252,0.367399923,0.805568148,3.032344579,78.02370642,4.44010468,4.013003647
2021,3.177518806,2.758778795,1.503109916,7.196945246,2.210866423,0.841393223,2.29390711,0.367399923,0.807397983,3.080625757,61.43041353,4.911305461,4.023409454
2022,3.191848836,1.799328171,1.503109916,7.19147044,2.225269941,0.400799916,2.699336728,0.367399923,0.810043527,3.094955787,77.25594751,4.924275976,4.030111499
2023,3.191848836,1.799328171,1.503109916,7.19147044,2.225269941,0.400799916,2.699336728,0.367399923,0.810043527,3.094955787,77.25594751,4.924275976,4.030111499
2024,3.3091394438948876,1.8654479360085037,1.5583445730401535,7.4557348155719865,2.3070417533635195,0.4155280777041653,2.7985290337787676,0.38090073789548484,0.8398101301773031,3.208685873954854,80.09486548905413,5.105227942193686,4.178205676352792
2025,3.445610589709454,1.9423802689007241,1.6226117558115112,7.763214355319961,2.4021857135566846,0.43266473629588253,2.913942261389871,0.3966093416045591,0.8744444671930561,3.34101424669403,83.3980318416601,5.315770990840701,4.3505177006021105
2026,3.602504048726442,2.030825190687396,1.6964962428662027,8.116706870386555,2.5115675534333954,0.4523658212864119,3.0466265763645914,0.4146686695125443,0.914261682053588,3.4931449846695783,87.19550266727371,5.557820890671512,4.548615469572473
2027,3.7804058726210754,2.1311130739340998,1.780274018478415,8.51753277834642,2.635595852235263,0.4747049230850334,3.1970776007993127,0.435146179494614,0.9594105059145377,3.6656463491359967,91.5014628411148,5.832281782305957,4.773238947377684
2028,3.9790025113639316,2.2430671623375305,1.873797425229955,8.964985627896908,2.7740520114348133,0.49964266926782896,3.3650301664000537,0.4580057801621766,1.0098113644649733,3.85821430831486,96.30832315521664,6.138669931408078,5.023992237581535
2029,4.196872285295819,2.3658860181127688,1.9763969637482313,9.455862270089074,2.925944874754326,0.5270005397615554,3.549281963058572,0.4830838281147591,1.0651034566567974,4.06947033962739,101.58167307989254,6.474792018885701,5.299080290406676
2030,4.43136445359934,2.4980753497467045,2.0868243434618243,9.984190390690042,3.089426418002992,0.5564456814921672,3.747591267431296,0.5100752080344867,1.1246140640903575,4.296844169212206,107.25735372041609,6.836558571835696,5.5951562114361195
2031,4.678616365022821,2.6374576803070067,2.203260559243376,10.541267152026826,3.2618037060937954,0.587493061998307,3.956691447253724,0.5385353068317814,1.1873629036118318,4.536590402014979,113.24187293549826,7.218010423098345,5.907342916564126
2032,4.933740042222603,2.7812775298867125,2.323403757968898,11.1160795812475,3.4396689745573,0.6195288987954616,4.172448755143911,0.5679014905625065,1.2521094796304841,4.783969442101258,119.41692145032854,7.6116065672434585,6.229468718247928
2033,5.191173926250944,2.926399703116767,2.444634882523756,11.696097076551027,3.619144856203703,0.651854827871544,4.390159797832336,0.5975335922155821,1.3174423516122782,5.033588559447014,125.64788652845951,8.008766820019641,6.554511447262319
2034,5.445152843694067,3.069574221860014,2.564238989384317,12.268330277752483,3.796212029391695,0.6837469173805645,4.60494898592279,0.6267680075988508,1.3818984047150602,5.279857590564936,131.7952271209488,8.400596867692883,6.875191845452423
2035,5.690215134402252,3.2077222062970288,2.6796440659175684,12.820473662398221,3.967062773648409,0.7145193475855293,4.812197410251497,0.6549760686200685,1.4440915512265755,5.5174806716608655,137.72674845557378,8.778670646484406,7.184613878418127
2036,5.921654623969788,3.3381906635635077,2.788633873893218,13.341923873041475,4.128416072553515,0.7435811649659535,5.007925073621086,0.6816160678854574,1.502827434424387,5.741894490855081,143.32854164079805,9.135727630361922,7.476835407742713
2037,6.135841741646325,3.458933510265376,2.889499170779434,13.824503219540206,4.277741488387533,0.7704766049394265,5.18906245922901,0.7062702211944745,1.5571849235021267,5.949579658108988,148.51275604779156,9.46616824084679,7.747273642833955
2038,6.330375233387913,3.568597097069909,2.9811091546649253,14.262801499731571,4.413364932332586,0.794904142443654,5.353578833927449,0.7286621305733497,1.606554616074241,6.138207812813662,153.22127139395036,9.766287904756366,7.992896697775017
2039,6.5040683081615995,3.666512399017468,3.0629049402573414,14.654144786036149,4.534459006053861,0.8167147523302795,5.500470532195788,0.7486551896360897,1.6506353223151653,6.306628190642811,157.42536242615063,10.034255681193269,8.212206099287696
2040,6.6568058625954105,3.752614529344796,3.134832322915838,14.998273742081933,4.640943462620215,0.8358939810884413,5.629640211466929,0.7662361493310713,1.6893978307095063,6.454729182348781,161.12224316657182,10.269893992584594,8.405056514855698
2041,6.789324905439582,3.827318959045261,3.1972383758314042,15.2968489028484,4.7333321244281406,0.8525343747816796,5.741711157770565,0.7814898435498732,1.7230291830622333,6.583225423747311,164.32975227620585,10.47433987099839,8.572378510928688
2042,6.902969099437953,3.8913831457403036,3.250755858541785,15.552897639429894,4.8125617564901235,0.8668046569124325,5.837819702549958,0.7945709355030631,1.7518703808944207,6.693419788814732,167.08041195260742,10.64966627367959,8.715868631094084
2043,6.999456437317818,3.9457755665949223,3.2961938105838438,15.770290715935019,4.879830096472117,0.8789205555355568,5.9194187469622435,0.8056771759075939,1.7763574250819503,6.786978118199073,169.41580472765128,10.798523661457844,8.837696057729005
2044,7.080683513874843,3.991565381403379,3.334445379030161,15.9533013000827,4.9364593985302205,0.8891202257372884,5.988112235383587,0.8150268735925145,1.7969716430361462,6.865739432900398,171.38183604219944,10.923838036367819,8.940255480835287
2045,7.148575837567675,4.029838049343461,3.366417327015914,16.10626770420345,4.983792074637662,0.8976454532876109,6.045528564385869,0.8228416655136435,1.8142017000238349,6.931570789866956,173.02511116738316,11.02858000746141,9.025978097558955
2046,7.204983618217832,4.061636581793579,3.392980957936813,16.233358587254155,5.023118040611859,0.9047285687194375,6.093232450715509,0.8293345213261512,1.8285171516432035,6.986266233205623,174.39041283578092,11.1156040156106,9.097200031024999
2047,7.251616774954322,4.087924904621478,3.414941509299528,16.338426522932032,5.055629405426271,0.9105842862872604,6.132669967712441,0.8347022624299888,1.840351949811562,7.031483775051543,175.51912816478588,11.187548065971807,9.156080269674998
2048,7.29001065864049,4.109568535025102,3.4330220106790206,16.424930769778474,5.0823965738214225,0.9154053997381136,6.165139556872092,0.8391216164266042,1.8500957436296133,7.0687121585387835,176.44841899751867,11.24678084571023,9.204557387510189
2049,7.321513967905849,4.127327769485566,3.4478575931193585,16.495910045109046,5.10435982169192,0.9193612649297438,6.191781808470728,0.8427478261855986,1.8580908126509468,7.09925914065798,177.21092942080233,11.295383081264191,9.244334286558448
2050,7.347291493140021,4.141859230627891,3.4599967813391808,16.55398870743386,5.122331209124183,0.9225981443934629,6.213581782152674,0.8457149656940077,1.864632763266687,7.124254152952491,177.83485218116854,11.335151771685771,9.276881661512517
2051,7.368335899567521,4.153722509646589,3.469907042633745,16.601403304592658,5.137002795234756,0.9252406869328466,6.23137897184036,0.8481372963551095,1.8699735190737563,7.144659726901411,178.34421388401773,11.367618367168403,9.30345287734722
2052,7.385484318684977,4.163389519330175,3.4779826001377376,16.640039955484454,5.148958205267758,0.9273940110076865,6.245881337061669,0.8501111767570461,1.8743255315336527,7.161287581700444,178.7592765750435,11.394074365752687,9.325104918100358
2053,7.399436847540711,4.171254922586011,3.4845531445318803,16.67147603030653,5.15868552778799,0.9291460276853853,6.2576809477336965,0.8517171920449368,1.8778664748131069,7.174816561969903,179.09698549933614,11.415599853386631,9.342721744545088
2054,7.410775093140054,4.177646586403707,3.4898925670001995,16.69702193246502,5.166590243334455,0.93056976925878,6.267269667109187,0.8530222884872151,1.8807439520769722,7.185810619218582,179.37141795271515,11.433092113604317,9.357037708839206
2055,7.419979657620002,4.182835438702649,3.4942271933729225,16.717760493960796,5.173007414607168,0.9317255848565521,6.275053938934887,0.8540817861185062,1.8830799329642058,7.194735766231411,179.59420649529739,11.447292603059498,9.368659631762226
2056,7.427445984712521,4.187044401395352,3.4977432465651312,16.7345826786381,5.1782127341891195,0.9326631302809338,6.281368188756741,0.8549412027575228,1.8849747751834067,7.201975442491139,179.77492250147108,11.458811398910974,9.378086810872803
2057,7.433498333108678,4.190456267536093,3.50059342693293,16.748219065202722,5.182432266394569,0.9334231226406667,6.286486641150894,0.8556378624206114,1.886510770743773,7.207844063361387,179.92141437311992,11.468148756454172,9.38572866364233
2058,7.438401856808269,4.193220511328069,3.5029026011685853,16.759267065139223,5.185850869359286,0.9340388572784522,6.290633536038157,0.8562022858385813,1.8877552117672778,7.212598733720324,180.0400999340641,11.475713746274275,9.391919980419132
2059,7.442372896431311,4.195459089603239,3.5047726486993147,16.76821410979343,5.188619369862196,0.9345375000491863,6.293991832014433,0.8566593750450876,1.8887630022697053,7.216449226864964,180.13621552237694,11.481840131332032,9.396933918506457
2060,7.445587649128855,4.19727132927645,3.506286544533812,16.77545718431988,5.190860607750691,0.9349411759991888,6.296710538467585,0.8570294113325899,1.8895788584544284,7.21956639123466,180.21402583809677,11.486799742607714,9.40099294901777
2061,7.448189410029151,4.1987380095369025,3.5075117694141977,16.781319143193183,5.192674484479376,0.9352678786733662,6.298910839646148,0.8573288887839191,1.890239146483209,7.222089172033032,180.27699921618407,11.4908136509583,9.404278000115324
2062,7.450294580229001,4.199924748709077,3.5085031391077033,16.78606224665492,5.194142151717742,0.9355322245376656,6.300691175599108,0.8575712058261936,1.890773407214603,7.224130436838293,180.3279530447692,11.494061436042477,9.406936042856596
2063,7.451997625307831,4.200884799496024,3.5093051394770542,16.789899332610954,5.195329468290929,0.9357460756188448,6.302131435575983,0.8577672359839412,1.8912056146007223,7.225781783594694,180.36917378170799,11.49668883614775,9.409086351943323
2064,7.453375150738706,4.201661346394514,3.5099538456787194,16.793002998832474,5.196289841445107,0.9359190512531403,6.303296404589357,0.8579257969820455,1.8915552099656323,7.227117492308697,180.40251559638955,11.498814035596135,9.410825651441632
2065,7.454489240459749,4.202289387734531,3.5104784943676313,16.795513125003247,5.197066554408406,0.9360589473101134,6.304238586834449,0.8580540350342707,1.8918379492848785,7.228197762273392,180.42948117697705,11.500532815378735,9.4122323301493
2066,7.455390184659143,4.202797273402607,3.510902768269515,16.797543018620054,5.197694668128209,0.9361720787201491,6.305000512568486,0.8581577388268035,1.8920665954565503,7.2290713570477525,180.45128775409086,11.501922761489828,9.413369885768155
2067,7.4561187038471815,4.203207958609052,3.5112458435440033,16.799184425990816,5.198202571833516,0.9362635587508064,6.30561661900158,0.8582415955215725,1.8922514827375239,7.2297777610138585,180.46892093255354,11.503046696149656,9.41428973307541
2068,7.45670775918786,4.203540024418938,3.511523242308525,16.800511611044893,5.1986132451487475,0.9363375263298472,6.306114781288587,0.8583093991356934,1.8924009761785603,7.230348934753334,180.4831785089045,11.50395547072254,9.415033489695475
2069,7.457184024072891,4.203808507316633,3.5117475256339943,16.801584670897753,5.198945284035006,0.9363973308305369,6.306517557034706,0.8583642199279923,1.892521845087797,7.230810741949665,180.4947060895793,11.50469023601127,9.415634834147655
2070,7.457569079033327,4.204025572808545,3.511928856254263,16.80245222807481,5.199213733849868,0.936445682116493,6.306843196828571,0.8584085419401187,1.8926195662814584,7.231184108026616,180.5040260127149,11.505284285726196,9.416121014572711
