year,frac_inen_energy_other_product_manufacturing_diesel,frac_inen_energy_other_product_manufacturing_kerosene,frac_inen_energy_other_product_manufacturing_oil,frac_inen_energy_other_product_manufacturing_gasoline,frac_inen_energy_other_product_manufacturing_hydrocarbon_gas_liquids,frac_inen_energy_other_product_manufacturing_electricity,frac_inen_energy_other_product_manufacturing_solar,frac_inen_energy_other_product_manufacturing_solid_biomass,frac_inen_energy_other_product_manufacturing_coal,frac_inen_energy_other_product_manufacturing_coke,frac_inen_energy_other_product_manufacturing_natural_gas,frac_inen_energy_other_product_manufacturing_furnace_gas,frac_inen_energy_other_product_manufacturing_hydrogen
2015,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.9876543209876543,0.0,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.9876543209876543,0.0,0.0,0.0,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.9876543209876543,0.0,0.0,0.0,0.0,0.0
2018,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.9876543209876543,0.0,0.0,0.0,0.0,0.0
2019,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.9876543209876543,0.0,0.0,0.0,0.0,0.0
2020,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.9876543209876543,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.9876543209876543,0.0,0.0,0.0,0.0,0.0
2022,0.025577234060876305,0.0,0.0,0.0092816749117284,0.0,0.0603213181892122,0.0,0.904819772838183,0.0,0.0,0.0,0.0,0.0
2023,0.04719612967017445,0.0,0.0,0.01712691574263719,0.0,0.10087223673988276,0.0,0.8348047178473056,0.0,0.0,0.0,0.0,0.0
2024,0.06570957988151134,0.0,0.0,0.023845227267140293,0.0,0.13559822021190296,0.0,0.7748469726394454,0.0,0.0,0.0,0.0,0.0
