year,frac_trns_fuelmix_road_light_biofuels,frac_trns_fuelmix_road_light_diesel,frac_trns_fuelmix_road_light_electricity,frac_trns_fuelmix_road_light_gasoline,frac_trns_fuelmix_road_light_hydrocarbon_gas_liquids,frac_trns_fuelmix_road_light_hydrogen
2049,0.09547947102316144,0.3583158828514096,0.07713658130176615,0.46906806482366287,0.0,0.0
2050,0.09779012199356335,0.3561728401577727,0.07977441073303446,0.4662626271156295,0.0,0.0
2051,0.1003714500701194,0.3539094622833184,0.0824194279302179,0.46329965971634424,0.0,0.0
2052,0.10321777401716759,0.35152293824101194,0.0850838049535862,0.4601754827882343,0.0,0.0
2053,0.10630774590710963,0.3490187476830864,0.08777623671558095,0.45689726969422295,0.0,0.0
2054,0.10961184007217564,0.34640714087936497,0.09050258007910796,0.45347843896935147,0.0,0.0
2055,0.11309769434938001,0.34370057539879395,0.09326643154794928,0.44993529870387683,0.0,0.0
2056,0.11673360236856375,0.34091200433065993,0.09606958763154755,0.4462848056692288,0.0,0.0
2057,0.12049048405494056,0.3380538887658803,0.09891235461293471,0.44254327256624454,0.0,0.0
2058,0.12434265501735547,0.3351378022595874,0.10179369249232319,0.4387258502307339,0.0,0.0
2059,0.12826768928941035,0.3321744998713491,0.1047111928258369,0.4348466180134037,0.0,0.0
2060,0.13224563599387767,0.3291743332089386,0.10766090368729943,0.4309191271098844,0.0,0.0
2061,0.13625781797791978,0.32614790103980323,0.11063702871198794,0.42695725227028897,0.0,0.0
2062,0.14028541577834708,0.32310682902120536,0.11363154266359592,0.42297621253685164,0.0,0.0
2063,0.14430802760281308,0.3200645695797325,0.11663378445853093,0.4189936183589235,0.0,0.0
2064,0.1483023975011879,0.3170371026522853,0.1196301109198979,0.4150303889266289,0.0,0.0
2065,0.1522415197912465,0.31404339968222045,0.12260372094253448,0.4111113595839985,0.0,0.0
2066,0.15609435641239067,0.3111054879374273,0.12553478962300368,0.4072653660271783,0.0,0.0
2067,0.15982644144788188,0.30824792224915754,0.12840108354042634,0.4035245527625343,0.0,0.0
2068,0.1634016874507561,0.3054964406581716,0.1311792586658288,0.3999226132252437,0.0,0.0
2069,0.16678574255957024,0.3028755551239681,0.13384706651781186,0.39649163579864993,0.0,0.0
2070,0.16995126367939956,0.30040481656442775,0.1363867053445574,0.3932572144116153,0.0,0.0
2071,0.1728854537231999,0.2980935056964672,0.13878954221404774,0.39023149836628523,0.0,0.0
2072,0.1756001408981676,0.2959335506999224,0.14106238748564714,0.38740392091626297,0.0,0.0
2073,0.17812194783500598,0.2939064307772048,0.14322138473399285,0.3847502366537963,0.0,0.0
2074,0.18048483682272218,0.29198841571759393,0.14528736688392363,0.38223938057576035,0.0,0.0
2075,0.1827247674551899,0.2901543245701318,0.14728251944650467,0.3798383885281736,0.0,0.0
2076,0.18487612964658037,0.2883800385838,0.14922814489628053,0.37751568687333914,0.0,0.0
2077,0.18696959504827754,0.2866440180407113,0.15114330874862472,0.3752430781623865,0.0,0.0
2078,0.18903104564640524,0.28492806194475206,0.1530441567720757,0.37299673563676683,0.0,0.0
2079,0.19108127555261417,0.28321752369549535,0.15494371518687808,0.3707574855650124,0.0,0.0
2080,0.19313620994953706,0.281501162446697,0.15685201494627155,0.36851061265749435,0.0,0.0
2081,0.1952074360844245,0.2797707742604024,0.15877641244155521,0.36624537721361766,0.0,0.0
2082,0.1973028899484053,0.27802071306475096,0.16072200897480649,0.3639543880120374,0.0,0.0
2083,0.19942758571413663,0.2762473810079854,0.16269209814015187,0.3616329351377261,0.0,0.0
2084,0.2015843115744999,0.2744487421748894,0.16468859285802842,0.3592783533925823,0.0,0.0
2085,0.20377424490190985,0.27262389310087537,0.16671240193788722,0.35688946005932753,0.0,0.0
2086,0.20599746196777832,0.27077270784959623,0.16876373990679075,0.3544660902758348,0.0,0.0
2087,0.2082533336315349,0.268895564044218,0.1708423639390892,0.35200873838515784,0.0,0.0
2088,0.21054080948280754,0.2669931484147142,0.17294773872321625,0.3495183033792619,0.0,0.0
2089,0.2128586000392479,0.2650663353341394,0.17507913473464867,0.3469959298919639,0.0,0.0
2090,0.21520527088157435,0.26311612867062084,0.17723566836990168,0.3444429320779032,0.0,0.0
2091,0.2175792650661831,0.2611436553488294,0.17941629440106585,0.3418607851839216,0.0,0.0
2092,0.2199788716748321,0.2591501976617682,0.1816197628152671,0.33925116784813253,0.0,0.0
2093,0.22240215965770127,0.2571372500837002,0.1838445537853915,0.33661603647320715,0.0,0.0
2094,0.22484689773927066,0.2551065847203818,0.18608880663366606,0.3339577109066814,0.0,0.0
2095,0.2273104834330477,0.2530603073484229,0.18835026141695765,0.33127894780157174,0.0,0.0
2096,0.22978990729065077,0.2510008831551185,0.19062623524207536,0.32858297431215533,0.0,0.0
2097,0.23228178230209517,0.24893110788757547,0.19291365948477568,0.3258734503255538,0.0,0.0
2098,0.23478247251503784,0.24685399645830658,0.19520920839032627,0.3231543226363293,0.0,0.0
2099,0.23728835879978424,0.24477255767955894,0.197509553467415,0.32042953005324176,0.0,0.0
2100,0.23979628226191155,0.24268942153584655,0.19981178073713243,0.3177025154651094,0.0,0.0
