year,frac_trns_fuelmix_road_light_biofuels,frac_trns_fuelmix_road_light_diesel,frac_trns_fuelmix_road_light_electricity,frac_trns_fuelmix_road_light_gasoline,frac_trns_fuelmix_road_light_hydrocarbon_gas_liquids,frac_trns_fuelmix_road_light_hydrogen
2015,0.0,0.43307086614173235,0.0,0.5669291338582676,0.0,0.0
2016,0.0,0.43307086614173274,0.0,0.5669291338582672,0.0,0.0
2017,0.0,0.4330708661417332,0.0,0.5669291338582668,0.0,0.0
2018,0.0004903277331767174,0.4328585194856334,0.0,0.5666511527811899,0.0,0.0
2019,0.0034565072205733805,0.43147276561499864,0.00023365217752434816,0.5648370749869035,0.0,0.0
2020,0.006878757026828961,0.4297301893575992,0.0008351693656283909,0.5625558842499435,0.0,0.0
2021,0.01085529336569397,0.4276876732431594,0.001574988418288407,0.5598820449728581,0.0,0.0
2022,0.015415416508492848,0.42532218036229497,0.002477003382213129,0.5567853997469991,0.0,0.0
2023,0.020479873792893084,0.422664505734607,0.003549358419928406,0.5533062620525715,0.0,0.0
2024,0.02590815819240624,0.419774077855113,0.004795334760337026,0.5495224291921438,0.0,0.0
2025,0.03153285466688431,0.4167208411135699,0.006220839489057358,0.5455254647304884,0.0,0.0
2026,0.03718340809334114,0.4135731153744766,0.00783867095105138,0.5414048055811308,0.0,0.0
2027,0.042701803654580754,0.4103903037801448,0.009669676707631717,0.5372382158576428,0.0,0.0
2028,0.047952558649656835,0.4072194009319838,0.011740824652853999,0.5330872157655053,0.0,0.0
2029,0.05282919839970924,0.40409439582621076,0.014080105783404382,0.5289962999906757,0.0,0.0
2030,0.05725908041832306,0.40103783174932317,0.01670810808778516,0.5249949797445687,0.0,0.0
2031,0.061208071854519555,0.39806395172237424,0.019626075986543135,0.521101900436563,0.0,0.0
2032,0.06468618914124245,0.3951830029110283,0.022800331409655636,0.5173304765380737,0.0,0.0
2033,0.0677309531268574,0.3924015834155456,0.02617811789542815,0.513689345562169,0.0,0.0
2034,0.0703946003764602,0.38972315665145596,0.029699201537450436,0.5101830414346336,0.0,0.0
2035,0.07273482228690879,0.3871486070604932,0.033303848682497875,0.5068127219701003,0.0,0.0
2036,0.07480855313110035,0.3846767465755695,0.03693786841258454,0.5035768318807455,0.0,0.0
2037,0.07666827052532801,0.3823047110074478,0.04055539678474698,0.5004716216824772,0.0,0.0
2038,0.07836027657825191,0.38002820985669505,0.0441200388435612,0.49749147472149197,0.0,0.0
2039,0.07992446997954726,0.37784161311842923,0.04760489609244309,0.49462902080958054,0.0,0.0
2040,0.08139517868972007,0.3757378759360588,0.05099190778519827,0.49187503758902296,0.0,0.0
2041,0.08280268476918085,0.3737083181311833,0.054270835182449864,0.489218161917186,0.0,0.0
2042,0.084175126609524,0.37174229233590567,0.05743812563302069,0.4866444554215496,0.0,0.0
2043,0.08554050246489185,0.36982679315383665,0.06049581152533971,0.48413689285593176,0.0,0.0
2044,0.08692851893734145,0.3679460816102608,0.06345052898078375,0.48167487047161406,0.0,0.0
2045,0.08837202792095931,0.3660814247271217,0.06631268225459656,0.4792338650973225,0.0,0.0
2046,0.08990777699363944,0.3642110792371044,0.06909573094977468,0.47678541281948145,0.0,0.0
2047,0.09157616546771813,0.36231068009559153,0.07181553685700769,0.47429761757968264,0.0,0.0
2048,0.09341965812702094,0.36035422613053847,0.07448967426246372,0.47173644147997684,0.0,0.0
