year,net_imports_cement_clinker_tonne
2015,47700.0
2016,47700.0
2017,47700.0
2018,47700.0
2019,12600.0
2020,12600.0
2021,13500.0
2022,14400.0
2023,14400.0
2024,14400.0
2025,14400.0
2026,14400.0
2027,14400.0
2028,14400.0
2029,14400.0
2030,14400.0
2031,14400.0
2032,14400.0
2033,14400.0
2034,14400.0
2035,14400.0
2036,14400.0
2037,14400.0
2038,14400.0
2039,14400.0
2040,14400.0
2041,14400.0
2042,14400.0
2043,14400.0
2044,14400.0
2045,14400.0
2046,14400.0
2047,14400.0
2048,14400.0
2049,14400.0
2050,14400.0
2051,14400.0
2052,14400.0
2053,14400.0
2054,14400.0
2055,14400.0
2056,14400.0
2057,14400.0
2058,14400.0
2059,14400.0
2060,14400.0
2061,14400.0
2062,14400.0
2063,14400.0
2064,14400.0
2065,14400.0
2066,14400.0
2067,14400.0
2068,14400.0
2069,14400.0
2070,14400.0
2071,14400.0
2072,14400.0
2073,14400.0
2074,14400.0
2075,14400.0
2076,14400.0
2077,14400.0
2078,14400.0
2079,14400.0
2080,14400.0
2081,14400.0
2082,14400.0
2083,14400.0
2084,14400.0
2085,14400.0
2086,14400.0
2087,14400.0
2088,14400.0
2089,14400.0
2090,14400.0
2091,14400.0
2092,14400.0
2093,14400.0
2094,14400.0
2095,14400.0
2096,14400.0
2097,14400.0
2098,14400.0
2099,14400.0
2100,14400.0
