year,frac_trns_fuelmix_rail_freight_diesel,frac_trns_fuelmix_rail_freight_electricity,frac_trns_fuelmix_rail_freight_hydrogen,frac_trns_fuelmix_rail_freight_natural_gas
2015,1.0,0.0,0.0,0.0
2016,1.0,0.0,0.0,0.0
2017,1.0,0.0,0.0,0.0
2018,1.0,0.0,0.0,0.0
2019,0.9989269909450145,0.0010730090549856467,0.0,0.0
2020,0.996419607674135,0.0035803923258651057,0.0,0.0
2021,0.9933465511801609,0.006653448819839089,0.0,0.0
2022,0.9896131862313119,0.010386813768688188,0.0,0.0
2023,0.9851914120840054,0.014808587915994596,0.0,0.0
2024,0.9800771026569803,0.019922897343019788,0.0,0.0
2025,0.9742607650627128,0.0257392349372873,0.0,0.0
2026,0.9677107331730873,0.03228926682691261,0.0,0.0
2027,0.9603683730197883,0.03963162698021182,0.0,0.0
2028,0.9521550861599111,0.04784491384008898,0.0,0.0
2029,0.9429912394269765,0.057008760573023516,0.0,0.0
2030,0.9328274097320736,0.06717259026792644,0.0,0.0
2031,0.9216883938234264,0.07831160617657351,0.0,0.0
2032,0.9097301738113981,0.09026982618860184,0.0,0.0
2033,0.897175377793849,0.10282462220615102,0.0,0.0
2034,0.8842672286530021,0.11573277134699794,0.0,0.0
2035,0.8712388765809047,0.12876112341909535,0.0,0.0
2036,0.8582949020471767,0.14170509795282343,0.0,0.0
2037,0.8456019606932506,0.15439803930674953,0.0,0.0
2038,0.8332859003701556,0.16671409962984454,0.0,0.0
2039,0.8214331234988288,0.17856687650117123,0.0,0.0
2040,0.8100944317937643,0.18990556820623572,0.0,0.0
2041,0.7992900338548479,0.2007099661451522,0.0,0.0
2042,0.7890147953385979,0.21098520466140203,0.0,0.0
2043,0.7792431555475433,0.22075684445245664,0.0,0.0
2044,0.7699334215788584,0.23006657842114175,0.0,0.0
2045,0.7610313855607028,0.23896861443929734,0.0,0.0
2046,0.7524733986885617,0.24752660131143833,0.0,0.0
2047,0.7441891849382579,0.25581081506174197,0.0,0.0
2048,0.7361047932638312,0.2638952067361688,0.0,0.0
2049,0.7281461726944888,0.27185382730551133,0.0,0.0
2050,0.7202439089021897,0.27975609109781047,0.0,0.0
2051,0.7123396775170232,0.2876603224829769,0.0,0.0
2052,0.7043949373022789,0.2956050626977211,0.0,0.0
2053,0.6963866391349652,0.30361336086503476,0.0,0.0
2054,0.6883033400746231,0.31169665992537693,0.0,0.0
2055,0.680141953011666,0.3198580469883341,0.0,0.0
2056,0.6719052463246501,0.32809475367534985,0.0,0.0
2057,0.6636001244175707,0.33639987558242923,0.0,0.0
2058,0.6552366614533985,0.3447633385466014,0.0,0.0
2059,0.6468278192398177,0.3531721807601823,0.0,0.0
2060,0.6383897485255338,0.36161025147446635,0.0,0.0
2061,0.6299425440890761,0.37005745591092387,0.0,0.0
2062,0.6215112921126081,0.3784887078873918,0.0,0.0
2063,0.6131272088929578,0.3868727911070422,0.0,0.0
2064,0.6048286200280489,0.39517137997195106,0.0,0.0
2065,0.5966614679157651,0.40333853208423487,0.0,0.0
2066,0.5886789643092648,0.41132103569073525,0.0,0.0
2067,0.5809399285047708,0.4190600714952291,0.0,0.0
2068,0.5735052790443028,0.4264947209556973,0.0,0.0
2069,0.5664320907403877,0.4335679092596124,0.0,0.0
2070,0.5597646078373317,0.4402353921626683,0.0,0.0
2071,0.5535216425609264,0.44647835743907355,0.0,0.0
2072,0.5476799166141455,0.45232008338585467,0.0,0.0
2073,0.5421911393559854,0.45780886064401455,0.0,0.0
2074,0.5369949049941719,0.46300509500582815,0.0,0.0
2075,0.5320278907562781,0.467972109243722,0.0,0.0
2076,0.5272299591482937,0.4727700408517064,0.0,0.0
2077,0.5225477965723841,0.4774522034276159,0.0,0.0
2078,0.5179366887156364,0.48206331128436364,0.0,0.0
2079,0.5133609648753984,0.4866390351246016,0.0,0.0
2080,0.508793557386674,0.4912064426133259,0.0,0.0
2081,0.5042150318735662,0.4957849681264339,0.0,0.0
2082,0.49961235800895243,0.5003876419910477,0.0,0.0
2083,0.49497761412618085,0.5050223858738191,0.0,0.0
2084,0.49030675497851023,0.5096932450214897,0.0,0.0
2085,0.4855985208477663,0.5144014791522337,0.0,0.0
2086,0.4808535274317694,0.5191464725682305,0.0,0.0
2087,0.47607354807700486,0.5239264519229951,0.0,0.0
2088,0.471260981160984,0.528739018839016,0.0,0.0
2089,0.4664184838443105,0.5335815161556896,0.0,0.0
2090,0.46154874715413885,0.5384512528458612,0.0,0.0
2091,0.4566543847647853,0.5433456152352147,0.0,0.0
2092,0.45173790749440923,0.5482620925055908,0.0,0.0
2093,0.4468017563019614,0.5531982436980386,0.0,0.0
2094,0.4418483675888231,0.5581516324111768,0.0,0.0
2095,0.4368802452997391,0.563119754700261,0.0,0.0
2096,0.43190001435472813,0.5680999856452719,0.0,0.0
2097,0.4269104292596471,0.5730895707403528,0.0,0.0
2098,0.42191431052466555,0.5780856894753345,0.0,0.0
2099,0.4169143802153094,0.5830856197846905,0.0,0.0
2100,0.41191296729185817,0.5880870327081419,0.0,0.0
