year,vec_ramp,nemomod_entc_frac_min_share_production_fp_hydrogen_electrolysis,nemomod_entc_frac_min_share_production_fp_hydrogen_gasification,nemomod_entc_frac_min_share_production_fp_hydrogen_reformation,nemomod_entc_frac_min_share_production_fp_hydrogen_reformation_ccs,nemomod_entc_frac_min_share_production_pp_biogas,nemomod_entc_frac_min_share_production_pp_biomass,nemomod_entc_frac_min_share_production_pp_coal,nemomod_entc_frac_min_share_production_pp_coal_ccs,nemomod_entc_frac_min_share_production_pp_gas,nemomod_entc_frac_min_share_production_pp_gas_ccs,nemomod_entc_frac_min_share_production_pp_geothermal,nemomod_entc_frac_min_share_production_pp_hydropower,nemomod_entc_frac_min_share_production_pp_nuclear,nemomod_entc_frac_min_share_production_pp_ocean,nemomod_entc_frac_min_share_production_pp_oil,nemomod_entc_frac_min_share_production_pp_solar,nemomod_entc_frac_min_share_production_pp_waste_incineration,nemomod_entc_frac_min_share_production_pp_wind,nemomod_entc_residual_capacity_pp_biogas_gw,nemomod_entc_residual_capacity_pp_coal_gw,nemomod_entc_residual_capacity_pp_coal_ccs_gw,nemomod_entc_residual_capacity_pp_gas_gw,nemomod_entc_residual_capacity_pp_gas_ccs_gw,nemomod_entc_residual_capacity_pp_ocean_gw,nemomod_entc_residual_capacity_pp_waste_incineration_gw
2015,1.0,0.0,0.0,0.0,0.0,0.0,0.03816906061109257,0.0,0.0,0.0,0.0,0.0,0.9365691267604953,0.0,0.0,0.008217274956022322,0.017044537672389705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1.0,0.0,0.0,0.0,0.0,0.0,0.03673608646374604,0.0,0.0,0.0,0.0,0.0,0.9363935710679827,0.0,0.0,0.00742796584527254,0.019442376622998664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,1.0,0.0,0.0,0.0,0.0,0.0,0.020157638231287613,0.0,0.0,0.0,0.0,0.0,0.9435108058033069,0.0,0.0,0.00692793996134624,0.029403616004059305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1.0,0.0,0.0,0.0,0.0,0.0,0.0253129979513589,0.0,0.0,0.0,0.0,0.0,0.9251333785765408,0.0,0.0,0.01826864201715579,0.03128498145494459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1.0,0.0,0.0,0.0,0.0,0.0,0.022120942763488277,0.0,0.0,0.0,0.0,0.0,0.9226595182880974,0.0,0.0,0.007369776757144946,0.04784976219126938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0208934365993313,0.0,0.0,0.0,0.0,0.0,0.9220062493566972,0.0,0.0,0.00623537055831969,0.05086494348565182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1.0,0.0,0.0,0.0,0.0,0.0,0.02595971624680669,0.0,0.0,0.0,0.0,0.0,0.9194231689030801,0.0,0.0,0.005835025911088448,0.048782088939024824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1.0,0.0,0.0,0.0,0.0,0.0,0.03276651519744997,0.0,0.0,0.0,0.0,0.0,0.9136744448833997,0.0,0.0,0.006427504503290431,0.047131535415859925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,1.0,0.0,0.0,0.0,0.0,0.0,0.03360506313031569,0.0,0.0,0.0,0.0,0.0,0.8682098954061089,0.0,0.0,0.005466027610702326,0.09271901385287304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1.0,0.0,0.0,0.0,0.0,0.0,0.030338215442359606,0.0,0.0,0.0,0.0,0.0,0.8816153466355114,0.0,0.0,0.0049016046999876715,0.08314483322214133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,1.0,0.0,0.0,0.0,0.0,0.0,0.03763926065063554,0.0,0.0,0.0,0.0,0.010456273764258554,0.7993182387995549,0.0,0.0,0.005035240925528383,0.13519357141135352,0.0,0.012357414448669201,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,1.0,0.0,0.0,0.0,0.0,0.0,0.04494030585891147,0.0,0.0,0.0,0.0,0.02091254752851711,0.7170211309635982,0.0,0.0,0.005168877151069094,0.1872423096005657,0.0,0.024714828897338403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,1.0,0.0,0.0,0.0,0.0,0.0,0.05224135106718741,0.0,0.0,0.0,0.0,0.03136882129277566,0.6347240231276416,0.0,0.0,0.005302513376609806,0.2392910477897779,0.0,0.0370722433460076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,1.0,0.0,0.0,0.0,0.0,0.0,0.05954239627546334,0.0,0.0,0.0,0.0,0.04182509505703422,0.552426915291685,0.0,0.0,0.0054361496021505164,0.2913397859789901,0.0,0.049429657794676805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,1.0,0.0,0.0,0.0,0.0,0.0,0.06684344148373927,0.0,0.0,0.0,0.0,0.05228136882129277,0.4701298074557284,0.0,0.0,0.005569785827691228,0.34338852416820226,0.0,0.06178707224334601,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,1.0,0.0,0.0,0.0,0.0,0.0,0.0741444866920152,0.0,0.0,0.0,0.0,0.06273764258555133,0.38783269961977185,0.0,0.0,0.005703422053231939,0.39543726235741444,0.0,0.0741444866920152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2031,1.0,0.0,0.0,0.0,0.0,0.0,0.07248492454847909,0.0,0.0,0.0,0.0,0.06838982295627376,0.37342153338878326,0.0095703125,0.0,0.005418250950570342,0.3950989929895437,0.0,0.07375757485741444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,1.0,0.0,0.0,0.0,0.0,0.0,0.070815411121673,0.0,0.0,0.0,0.0,0.07404200332699619,0.35901036715779466,0.019140625,0.0,0.005133079847908745,0.394760723621673,0.0,0.07337066302281368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,1.0,0.0,0.0,0.0,0.0,0.0,0.06913594641159697,0.0,0.0,0.0,0.0,0.07969418369771862,0.34459920092680607,0.028710937500000002,0.0,0.0048479087452471484,0.3944224542538023,0.0,0.07298375118821293,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,1.0,0.0,0.0,0.0,0.0,0.0,0.06744653041825095,0.0,0.0,0.0,0.0,0.08534636406844107,0.3301880346958175,0.03828125,0.0,0.0045627376425855515,0.39408418488593155,0.0,0.07259683935361216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035,1.0,0.0,0.0,0.0,0.0,0.0,0.06574716314163498,0.0,0.0,0.0,0.0,0.0909985444391635,0.3157768684648289,0.0478515625,0.0,0.0042775665399239545,0.3937459155180608,0.0,0.0722099275190114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2036,1.0,0.0,0.0,0.0,0.0,0.0,0.06403784458174903,0.0,0.0,0.0,0.0,0.09665072480988593,0.3013657022338403,0.057421875000000004,0.0,0.0039923954372623575,0.3934076461501901,0.0,0.07182301568441064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2037,1.0,0.0,0.0,0.0,0.0,0.0,0.06231857473859315,0.0,0.0,0.0,0.0,0.10230290518060836,0.2869545360028517,0.06699218750000001,0.0,0.0037072243346007606,0.3930693767823194,0.0,0.07143610384980989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2038,1.0,0.0,0.0,0.0,0.0,0.0,0.0605893536121673,0.0,0.0,0.0,0.0,0.10795508555133079,0.2725433697718631,0.0765625,0.0,0.0034220532319391636,0.39273110741444867,0.0,0.07104919201520912,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039,1.0,0.0,0.0,0.0,0.0,0.0,0.05885018120247148,0.0,0.0,0.0,0.0,0.11360726592205322,0.2581322035408745,0.0861328125,0.0,0.0031368821292775666,0.39239283804657793,0.0,0.07066228018060836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040,1.0,0.0,0.0,0.0,0.0,0.0,0.0571010575095057,0.0,0.0,0.0,0.0,0.11925944629277566,0.24372103730988592,0.095703125,0.0,0.0028517110266159697,0.39205456867870725,0.0,0.0702753683460076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2041,1.0,0.0,0.0,0.0,0.0,0.0,0.05534198253326996,0.0,0.0,0.0,0.0,0.12491162666349809,0.22930987107889733,0.10527343750000001,0.0,0.0025665399239543727,0.3917162993108365,0.0,0.06988845651140685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2042,1.0,0.0,0.0,0.0,0.0,0.0,0.05357295627376426,0.0,0.0,0.0,0.0,0.13056380703422052,0.21489870484790874,0.11484375000000001,0.0,0.0022813688212927757,0.3913780299429658,0.0,0.06950154467680608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
