year,occrateinit_gnrl_occupancy
1950,4.726403112995341
1951,4.726406538198938
1952,4.7264039741718475
1953,4.726404864413315
1954,4.72640630575969
1955,4.726406580753967
1956,4.726405630636279
1957,4.726404134011346
1958,4.726405327143212
1959,4.726406380170297
1960,4.726406380364874
1961,4.726404234331155
1962,4.726405742692917
1963,4.726405615837491
1964,4.726405039921006
1965,4.726404872979424
1966,4.726406145109993
1967,4.726404167380241
1968,4.72640573877291
1969,4.726404407651638
1970,4.726405188643229
1971,4.726404667016504
1972,4.7264044578541595
1973,4.726405265440905
1974,4.726404483027396
1975,4.726404698339415
1976,4.726404719994295
1977,4.726404136155211
1978,4.726405385822586
1979,4.7264041677380195
1980,4.726404535592559
1981,4.726405816184688
1982,4.726405570904859
1983,4.726404825135432
1984,4.7264048791434
1985,4.726405672642271
1986,4.726405655236829
1987,4.726404669730821
1988,4.726405476681527
1989,4.726405601157721
1990,4.7264045772040335
1991,4.726405401803661
1992,4.726405565074625
1993,4.726404612435339
1994,4.72640453210721
1995,4.7264047846394845
1996,4.726405112953536
1997,4.726405140310769
1998,4.7264049440296425
1999,4.726405316503781
2000,4.726404480634096
2001,4.726404802311575
2002,4.726405127039637
2003,4.726405136800575
2004,4.726404775307122
2005,4.7264049264246015
2006,4.726404874392008
2007,4.726404819251003
2008,4.726404599468033
2009,4.726404631122978
2010,4.726404947816579
2011,4.726404683011637
2012,4.726405236172771
2013,4.726405058051304
2014,4.726405002528131
2015,4.726404964757179
2016,4.71538807068269
2017,4.709694977714698
2018,4.696061507817468
2019,4.681929134768832
2020,4.663470404082042
2021,4.404917205889846
2022,4.404917110759137
2023,4.404917027149944
2024,4.4049174125373245
2025,4.404917105258405
2026,4.404917318832923
2027,4.404917320091507
2028,4.404917355163913
2029,4.404917316874851
2030,4.4049171903385975
2031,4.404917139386637
2032,4.404917343271574
2033,4.404917075213299
2034,4.40491727275292
2035,4.40491709214945
2036,4.404917267414581
2037,4.404917294386713
2038,4.4049173263134955
2039,4.404917145392295
2040,4.404917259765918
2041,4.4049172310472455
2042,4.4049171264889715
2043,4.404917246488808
2044,4.404917326770329
2045,4.4049172117741895
2046,4.404917223252347
2047,4.404917326943901
2048,4.404917260490136
2049,4.404917187136799
2050,4.404917224489512
2051,4.404917308603919
2052,4.404917261375572
2053,4.404917094106043
2054,4.404917313003255
2055,4.4049172926807705
2056,4.404917331904691
2057,4.404917155644335
2058,4.404917182775161
2059,4.4049173040462515
2060,4.4049172137277255
2061,4.404917094953384
2062,4.404917260597251
2063,4.404917270872217
2064,4.404917137671
2065,4.40491714561443
2066,4.404917163710425
2067,4.404917256738556
2068,4.404917113960361
2069,4.404917254101918
2070,4.404917206675293
2071,4.404917237941848
2072,4.404917165883087
2073,4.404917184236588
2074,4.40491725938483
2075,4.404917298476302
2076,4.4049172523461335
2077,4.404917174658434
2078,4.404917191573214
2079,4.404917197198941
2080,4.4049171560493345
2081,4.404917295227247
2082,4.404917287075263
2083,4.404917303476703
2084,4.404917114233564
2085,4.40491727363308
2086,4.404917225768394
2087,4.404917220134811
2088,4.404917152392793
2089,4.404917243608077
2090,4.404917199537525
2091,4.4049172026651515
2092,4.404917221652669
2093,4.404917305761901
2094,4.40491721947907
2095,4.4049171373214655
2096,4.40491725837952
2097,4.404917176752434
2098,4.40491721974354
2099,4.4049172523255695
2100,4.404917186108478
