year,consumpinit_scoe_tj_per_mmmgdp_commercial_municipal_elec_appliances,consumpinit_scoe_tj_per_mmmgdp_commercial_municipal_heat_energy,consumpinit_scoe_tj_per_mmmgdp_other_se_elec_appliances,consumpinit_scoe_tj_per_mmmgdp_other_se_heat_energy
2015,8.906067041533364,1224.868768478111,0.0,0.0
2016,9.332043675937971,1283.4541657303857,0.0,0.0
2017,9.625043477380292,1323.7509998192515,0.0,0.0
2018,10.231327681903252,1407.134448818521,0.0,0.0
2019,10.890577235148477,1497.8023255184694,0.0,0.0
2020,11.211750094421792,1541.9738551928033,0.0,0.0
2021,11.608426748682168,1596.5295690361916,0.0,0.0
2022,12.140334080531309,1669.6838216898254,0.0,0.0
2023,12.849093211226652,1767.1608471280883,0.0,0.0
2024,12.849093211226652,1767.1608471280883,0.0,0.0
2025,12.849093211226652,1767.1608471280883,0.0,0.0
2026,12.849093211226652,1767.1608471280883,0.0,0.0
2027,12.849093211226652,1767.1608471280883,0.0,0.0
2028,12.849093211226652,1767.1608471280883,0.0,0.0
2029,12.849093211226652,1767.1608471280883,0.0,0.0
2030,12.849093211226652,1767.1608471280883,0.0,0.0
2031,12.849093211226652,1767.1608471280883,0.0,0.0
2032,12.849093211226652,1767.1608471280883,0.0,0.0
2033,12.849093211226652,1767.1608471280883,0.0,0.0
2034,12.849093211226652,1767.1608471280883,0.0,0.0
2035,12.849093211226652,1767.1608471280883,0.0,0.0
2036,12.849093211226652,1767.1608471280883,0.0,0.0
2037,12.849093211226652,1767.1608471280883,0.0,0.0
2038,12.849093211226652,1767.1608471280883,0.0,0.0
2039,12.849093211226652,1767.1608471280883,0.0,0.0
2040,12.849093211226652,1767.1608471280883,0.0,0.0
2041,12.849093211226652,1767.1608471280883,0.0,0.0
2042,12.849093211226652,1767.1608471280883,0.0,0.0
2043,12.849093211226652,1767.1608471280883,0.0,0.0
2044,12.849093211226652,1767.1608471280883,0.0,0.0
2045,12.849093211226652,1767.1608471280883,0.0,0.0
2046,12.849093211226652,1767.1608471280883,0.0,0.0
2047,12.849093211226652,1767.1608471280883,0.0,0.0
2048,12.849093211226652,1767.1608471280883,0.0,0.0
2049,12.849093211226652,1767.1608471280883,0.0,0.0
2050,12.849093211226652,1767.1608471280883,0.0,0.0
2051,12.849093211226652,1767.1608471280883,0.0,0.0
2052,12.849093211226652,1767.1608471280883,0.0,0.0
2053,12.849093211226652,1767.1608471280883,0.0,0.0
2054,12.849093211226652,1767.1608471280883,0.0,0.0
2055,12.849093211226652,1767.1608471280883,0.0,0.0
2056,12.849093211226652,1767.1608471280883,0.0,0.0
2057,12.849093211226652,1767.1608471280883,0.0,0.0
2058,12.849093211226652,1767.1608471280883,0.0,0.0
2059,12.849093211226652,1767.1608471280883,0.0,0.0
2060,12.849093211226652,1767.1608471280883,0.0,0.0
2061,12.849093211226652,1767.1608471280883,0.0,0.0
2062,12.849093211226652,1767.1608471280883,0.0,0.0
2063,12.849093211226652,1767.1608471280883,0.0,0.0
2064,12.849093211226652,1767.1608471280883,0.0,0.0
2065,12.849093211226652,1767.1608471280883,0.0,0.0
2066,12.849093211226652,1767.1608471280883,0.0,0.0
2067,12.849093211226652,1767.1608471280883,0.0,0.0
2068,12.849093211226652,1767.1608471280883,0.0,0.0
2069,12.849093211226652,1767.1608471280883,0.0,0.0
2070,12.849093211226652,1767.1608471280883,0.0,0.0
2071,12.849093211226652,1767.1608471280883,0.0,0.0
2072,12.849093211226652,1767.1608471280883,0.0,0.0
2073,12.849093211226652,1767.1608471280883,0.0,0.0
2074,12.849093211226652,1767.1608471280883,0.0,0.0
2075,12.849093211226652,1767.1608471280883,0.0,0.0
2076,12.849093211226652,1767.1608471280883,0.0,0.0
2077,12.849093211226652,1767.1608471280883,0.0,0.0
2078,12.849093211226652,1767.1608471280883,0.0,0.0
2079,12.849093211226652,1767.1608471280883,0.0,0.0
2080,12.849093211226652,1767.1608471280883,0.0,0.0
2081,12.849093211226652,1767.1608471280883,0.0,0.0
2082,12.849093211226652,1767.1608471280883,0.0,0.0
2083,12.849093211226652,1767.1608471280883,0.0,0.0
2084,12.849093211226652,1767.1608471280883,0.0,0.0
2085,12.849093211226652,1767.1608471280883,0.0,0.0
2086,12.849093211226652,1767.1608471280883,0.0,0.0
2087,12.849093211226652,1767.1608471280883,0.0,0.0
2088,12.849093211226652,1767.1608471280883,0.0,0.0
2089,12.849093211226652,1767.1608471280883,0.0,0.0
2090,12.849093211226652,1767.1608471280883,0.0,0.0
2091,12.849093211226652,1767.1608471280883,0.0,0.0
2092,12.849093211226652,1767.1608471280883,0.0,0.0
2093,12.849093211226652,1767.1608471280883,0.0,0.0
2094,12.849093211226652,1767.1608471280883,0.0,0.0
2095,12.849093211226652,1767.1608471280883,0.0,0.0
2096,12.849093211226652,1767.1608471280883,0.0,0.0
2097,12.849093211226652,1767.1608471280883,0.0,0.0
2098,12.849093211226652,1767.1608471280883,0.0,0.0
2099,12.849093211226652,1767.1608471280883,0.0,0.0
2100,12.849093211226652,1767.1608471280883,0.0,0.0
