year,consumpinit_inen_energy_tj_per_tonne_production_metals,consumpinit_inen_energy_tj_per_tonne_production_chemicals,consumpinit_inen_energy_tj_per_tonne_production_cement,consumpinit_inen_energy_tj_per_tonne_production_lime_and_carbonite,consumpinit_inen_energy_tj_per_tonne_production_glass,consumpinit_inen_energy_tj_per_tonne_production_paper,consumpinit_inen_energy_tj_per_tonne_production_recycled_rubber_and_leather,consumpinit_inen_energy_tj_per_tonne_production_recycled_paper,consumpinit_inen_energy_tj_per_tonne_production_recycled_wood,consumpinit_inen_energy_tj_per_tonne_production_recycled_textiles,consumpinit_inen_energy_tj_per_tonne_production_recycled_plastic,consumpinit_inen_energy_tj_per_tonne_production_textiles,consumpinit_inen_energy_tj_per_tonne_production_plastic,consumpinit_inen_energy_tj_per_tonne_production_recycled_glass,consumpinit_inen_energy_tj_per_tonne_production_recycled_metals,consumpinit_inen_energy_tj_per_tonne_production_mining,consumpinit_inen_energy_tj_per_tonne_production_rubber_and_leather,consumpinit_inen_energy_tj_per_tonne_production_electronics,consumpinit_inen_energy_tj_per_tonne_production_wood
2015,0.012739435472045452,0.018797525415304002,0.005098984130016874,0.024484548126553,0.11676413783462307,0.0,2.466923521,0.0,0.226213821,0.047134575,0.192137522,0.047134575,0.192137522,1.132014239,0.0,0.552247472,2.466923521,0.0,0.0
2016,0.014588810798694885,0.026122824788379472,0.005342868224809532,0.022485225718983936,0.10722958747385601,0.0,2.750623797,0.0,0.189220918,0.032943804,0.172431567,0.032943804,0.172431567,1.233531998,0.0,0.762306327,2.750623797,0.0,0.0
2017,0.016444653807109036,0.035733431923441916,0.00551061918948173,0.020325327142007472,0.09692926688605712,0.0,3.418312725,0.0,0.205677995,0.037940638,0.19738782,0.037940638,0.19738782,1.387189768,0.0,0.532490308,3.418312725,0.0,0.0
2018,0.019104379443256728,0.050377043611596256,0.005857734647149589,0.018935692580058578,0.09030225132128183,0.0,3.670825269,0.0,0.18518051,0.038391791,0.171145743,0.038391791,0.171145743,1.746664989,0.0,0.510180493,3.670825269,0.0,0.0
2019,0.0209642874674686,0.044206973328689,0.005191579527926351,0.019645031912180658,0.09368501318069307,0.0,4.848190653,0.0,0.238076734,0.043350183,0.198568826,0.043350183,0.198568826,1.988538653,0.0,0.804188707,4.848190653,0.0,0.0
2020,0.01991009506253714,0.03964344642416616,0.004390990931615133,0.015751075908652643,0.0751151619762586,0.0,4.006998666,0.0,0.316212233,0.046649766,0.203473922,0.046649766,0.203473922,1.858034896,0.0,0.828441685,4.006998666,0.0,0.0
2021,0.020289884833833167,0.038906207593831454,0.0036903891012150954,0.01693494902246847,0.08076092365116508,0.0,4.060753783,0.0,0.317842711,0.048590473,0.205887566,0.048590473,0.205887566,1.900630165,0.0,0.840863702,4.060753783,0.0,0.0
2022,0.020170706719647793,0.041775072814280535,0.0038147524073765984,0.017483634585075392,0.08337754521709968,0.0,3.759920286,0.0,0.312103368,0.0485896,0.196205258,0.0485896,0.196205258,1.861781321,0.0,0.72512466,3.759920286,0.0,0.0
2023,0.02071718543686039,0.04290687193864009,0.003918104314230521,0.01795731328820973,0.08563646725626618,0.0,3.480210898,0.0,0.306435497,0.04851558,0.186923711,0.04851558,0.186923711,1.822415094,0.0,0.625057449,3.480210898,0.0,0.0
2024,0.02071718543686039,0.04290687193864009,0.003918104314230521,0.01795731328820973,0.08563646725626618,0.0,3.480210898,0.0,0.306435497,0.04851558,0.186923711,0.04851558,0.186923711,1.822415094,0.0,0.625057449,3.480210898,0.0,0.0
2025,0.02071718543686039,0.04290687193864009,0.003918104314230521,0.01795731328820973,0.08563646725626618,0.0,3.480210898,0.0,0.306435497,0.04851558,0.186923711,0.04851558,0.186923711,1.822415094,0.0,0.625057449,3.480210898,0.0,0.0
2026,0.02071718543686039,0.04290687193864009,0.003918104314230521,0.01795731328820973,0.08563646725626618,0.0,3.480210898,0.0,0.306435497,0.04851558,0.186923711,0.04851558,0.186923711,1.822415094,0.0,0.625057449,3.480210898,0.0,0.0
2027,0.02071718543686039,0.04290687193864009,0.003918104314230521,0.01795731328820973,0.08563646725626618,0.0,3.480210898,0.0,0.306435497,0.04851558,0.186923711,0.04851558,0.186923711,1.822415094,0.0,0.625057449,3.480210898,0.0,0.0
2028,0.02071718543686039,0.04290687193864009,0.003918104314230521,0.01795731328820973,0.08563646725626618,0.0,3.480210898,0.0,0.306435497,0.04851558,0.186923711,0.04851558,0.186923711,1.822415094,0.0,0.625057449,3.480210898,0.0,0.0
2029,0.02071718543686039,0.04290687193864009,0.003918104314230521,0.01795731328820973,0.08563646725626618,0.0,3.480210898,0.0,0.306435497,0.04851558,0.186923711,0.04851558,0.186923711,1.822415094,0.0,0.625057449,3.480210898,0.0,0.0
