year,gdp_mmm_usd
1979,11.488563070478488
1980,11.098871011127859
1981,11.52717644344728
1982,12.472981270632127
1983,13.084032623080395
1984,12.69151164438798
1985,12.310766295056341
1986,12.427226144207573
1987,12.924315189975879
1988,13.996257891832474
1989,14.892438284646508
1990,15.859999999999989
1991,16.739999999999988
1992,17.309999999999988
1993,18.74999999999999
1994,19.949999999999992
1995,22.249999999999993
1996,24.26999999999999
1997,25.509999999999994
1998,26.759999999999994
1999,28.90999999999999
2000,29.819999999999993
2001,31.369999999999997
2002,34.10999999999999
2003,36.31999999999999
2004,38.79
2005,41.24
2006,45.68999999999999
2007,49.539999999999985
2008,53.84999999999999
2009,57.509999999999984
2010,60.74999999999999
2011,66.46
2012,69.01
2013,71.49
2014,75.14
2015,79.03
2016,82.81000000000002
2017,85.41
2018,90.79000000000002
2019,96.64
2020,99.49
2021,103.01000000000002
2022,107.73000000000002
2023,113.4839020740705
2024,120.40642010058878
2025,130.46035617898792
2026,142.08763542344022
2027,155.55043887981117
2028,171.16381418237222
2029,189.30717848570367
2030,208.41584508205068
2031,228.39875630851773
2032,249.14193135645735
2033,270.5083433895872
2034,292.33836670112686
2035,316.0177744039181
2036,341.7100194629567
2037,369.59355705113404
2038,399.86326937362196
2039,432.73203011613367
2040,465.6320281772488
2041,498.1597512884879
2042,529.8854108776889
2043,560.3613917947399
2044,589.1319466820297
2045,615.7438783307236
2046,639.7578895856218
2047,664.3032672827235
2048,689.3696439015248
2049,714.9452576902713
2050,741.0169280873765
2051,767.5700346771742
2052,794.5884998978107
2053,822.054775710945
2054,849.9498344334029
2055,878.2531639200351
2056,906.9427672747562
2057,935.995167253124
2058,965.3854155048722
2059,995.087106788572
2060,1025.0723982731342
2061,1055.312034022192
2062,1085.7753747376325
2063,1116.430432817725
2064,1147.2439127634939
2065,1178.1812569443493
2066,1209.2066967105504
2067,1240.2833088160114
2068,1271.3730770903326
2069,1302.4369592739065
2070,1333.4349589046253
2071,1364.3262021192493
2072,1395.069019207003
2073,1425.6210307276363
2074,1455.9392379811109
2075,1485.9801175914545
2076,1515.6997199432838
2077,1546.0137143421493
2078,1576.9339886289924
2079,1608.4726684015723
2080,1640.6421217696038
2081,1673.454964204996
2082,1706.9240634890957
2083,1741.0625447588777
2084,1775.8837956540551
2085,1811.4014715671362
2086,1847.6295009984792
2087,1884.5820910184489
2088,1922.2737328388178
2089,1960.719207495594
2090,1999.9335916455059
2091,2039.9322634784157
2092,2080.730908747984
2093,2122.345526922944
2094,2164.792437461403
2095,2208.088286210631
2096,2252.2500519348437
2097,2297.2950529735404
2098,2343.2409540330113
2099,2390.1057731136716
2100,2437.9078885759454
