Country,Strategy_id,Strategy,Sector,Direct_Jobs,Indirect_Jobs,Total_Jobs
BGR,1004,AGRC: Expand conservation agriculture,Agriculture,0.50,0.00,0.50
BGR,1004,AGRC: Expand conservation agriculture,Construction,0.00,0.10,0.10
BGR,1004,AGRC: Expand conservation agriculture,"Education, Health and Other Services",0.00,0.05,0.05
BGR,1004,AGRC: Expand conservation agriculture,Electrical and Machinery,0.30,0.02,0.32
BGR,1004,AGRC: Expand conservation agriculture,"Electricity, Gas and Water",0.00,0.02,0.02
BGR,1004,AGRC: Expand conservation agriculture,Financial Intermediation and Business Activities,0.00,0.43,0.43
BGR,1004,AGRC: Expand conservation agriculture,Fishing,0.00,0.00,0.00
BGR,1004,AGRC: Expand conservation agriculture,Food & Beverages,0.00,0.03,0.03
BGR,1004,AGRC: Expand conservation agriculture,Hotels and Restaurants,0.00,0.04,0.04
BGR,1004,AGRC: Expand conservation agriculture,Maintenance and Repair,0.00,0.01,0.01
BGR,1004,AGRC: Expand conservation agriculture,Metal Products,0.00,0.02,0.02
BGR,1004,AGRC: Expand conservation agriculture,Mining and Quarrying,0.00,0.01,0.01
BGR,1004,AGRC: Expand conservation agriculture,Other Manufacturing,0.00,0.01,0.01
BGR,1004,AGRC: Expand conservation agriculture,Others,0.00,0.01,0.01
BGR,1004,AGRC: Expand conservation agriculture,"Petroleum, Chemical and Non-Metallic Mineral Products",0.37,0.03,0.40
BGR,1004,AGRC: Expand conservation agriculture,Post and Telecommunications,0.00,0.05,0.05
BGR,1004,AGRC: Expand conservation agriculture,Private Households,0.00,0.00,0.00
BGR,1004,AGRC: Expand conservation agriculture,Public Administration,0.00,0.00,0.00
BGR,1004,AGRC: Expand conservation agriculture,Re-export & Re-import,0.00,0.00,0.00
BGR,1004,AGRC: Expand conservation agriculture,Recycling,0.00,0.00,0.00
BGR,1004,AGRC: Expand conservation agriculture,Retail Trade,0.00,0.05,0.05
BGR,1004,AGRC: Expand conservation agriculture,Textiles and Wearing Apparel,0.00,0.00,0.00
BGR,1004,AGRC: Expand conservation agriculture,Transport,0.00,0.10,0.10
BGR,1004,AGRC: Expand conservation agriculture,Transport Equipment,0.00,0.01,0.01
BGR,1004,AGRC: Expand conservation agriculture,Wholesale Trade,0.00,0.28,0.28
