"Subsector","Gas","Vars","est_from_sisepuede","Subsector_Category","ids","UGA"
"IPPU","sf6","emission_co2e_sf6_ippu_production_chemicals:emission_co2e_sf6_ippu_production_metals:emission_co2e_sf6_ippu_production_electronics:emission_co2e_sf6_ippu_production_other_product_manufacturing",0,"IPPU:sf6","23:IPPU:sf6",0
"Industrial Combustion","ch4","emission_co2e_ch4_inen_metals:emission_co2e_ch4_inen_chemicals:emission_co2e_ch4_inen_plastic:emission_co2e_ch4_inen_paper:emission_co2e_ch4_inen_electronics:emission_co2e_ch4_inen_glass:emission_co2e_ch4_inen_other_product_manufacturing:emission_co2e_ch4_inen_recycled_glass:emission_co2e_ch4_inen_recycled_metals:emission_co2e_ch4_inen_recycled_paper:emission_co2e_ch4_inen_recycled_plastic:emission_co2e_ch4_inen_recycled_rubber_and_leather:emission_co2e_ch4_inen_recycled_textiles:emission_co2e_ch4_inen_recycled_wood:emission_co2e_ch4_inen_lime_and_carbonite:emission_co2e_ch4_inen_mining:emission_co2e_ch4_inen_wood:emission_co2e_ch4_inen_cement:emission_co2e_ch4_inen_rubber_and_leather:emission_co2e_ch4_inen_textiles:emission_co2e_ch4_inen_agriculture_and_livestock",0,"Industrial Combustion:ch4","24:Industrial Combustion:ch4",2.07103645479405
"Industrial Combustion","co2","emission_co2e_co2_inen_nbmass_metals:emission_co2e_co2_inen_nbmass_chemicals:emission_co2e_co2_inen_nbmass_plastic:emission_co2e_co2_inen_nbmass_paper:emission_co2e_co2_inen_nbmass_electronics:emission_co2e_co2_inen_nbmass_glass:emission_co2e_co2_inen_nbmass_other_product_manufacturing:emission_co2e_co2_inen_nbmass_recycled_glass:emission_co2e_co2_inen_nbmass_recycled_metals:emission_co2e_co2_inen_nbmass_recycled_paper:emission_co2e_co2_inen_nbmass_recycled_plastic:emission_co2e_co2_inen_nbmass_recycled_rubber_and_leather:emission_co2e_co2_inen_nbmass_recycled_textiles:emission_co2e_co2_inen_nbmass_recycled_wood:emission_co2e_co2_inen_nbmass_lime_and_carbonite:emission_co2e_co2_inen_nbmass_mining:emission_co2e_co2_inen_nbmass_wood:emission_co2e_co2_inen_nbmass_cement:emission_co2e_co2_inen_nbmass_rubber_and_leather:emission_co2e_co2_inen_nbmass_textiles:emission_co2e_co2_inen_nbmass_agriculture_and_livestock",0,"Industrial Combustion:co2","25:Industrial Combustion:co2",1.57069446229092
"Industrial Combustion","n2o","emission_co2e_n2o_inen_metals:emission_co2e_n2o_inen_chemicals:emission_co2e_n2o_inen_plastic:emission_co2e_n2o_inen_paper:emission_co2e_n2o_inen_electronics:emission_co2e_n2o_inen_glass:emission_co2e_n2o_inen_other_product_manufacturing:emission_co2e_n2o_inen_recycled_glass:emission_co2e_n2o_inen_recycled_metals:emission_co2e_n2o_inen_recycled_paper:emission_co2e_n2o_inen_recycled_plastic:emission_co2e_n2o_inen_recycled_rubber_and_leather:emission_co2e_n2o_inen_recycled_textiles:emission_co2e_n2o_inen_recycled_wood:emission_co2e_n2o_inen_lime_and_carbonite:emission_co2e_n2o_inen_mining:emission_co2e_n2o_inen_wood:emission_co2e_n2o_inen_cement:emission_co2e_n2o_inen_rubber_and_leather:emission_co2e_n2o_inen_textiles:emission_co2e_n2o_inen_agriculture_and_livestock",0,"Industrial Combustion:n2o","26:Industrial Combustion:n2o",0.553986623888267
"Livestock","ch4","emission_co2e_ch4_lvst_entferm_cattle_dairy:emission_co2e_ch4_lvst_entferm_cattle_nondairy:emission_co2e_ch4_lvst_entferm_buffalo:emission_co2e_ch4_lvst_entferm_sheep:emission_co2e_ch4_lvst_entferm_goats:emission_co2e_ch4_lvst_entferm_horses:emission_co2e_ch4_lvst_entferm_mules:emission_co2e_ch4_lvst_entferm_pigs:emission_co2e_ch4_lvst_entferm_chickens:emission_co2e_ch4_lsmm_anaerobic_digester:emission_co2e_ch4_lsmm_anaerobic_lagoon:emission_co2e_ch4_lsmm_composting:emission_co2e_ch4_lsmm_daily_spread:emission_co2e_ch4_lsmm_deep_bedding:emission_co2e_ch4_lsmm_dry_lot:emission_co2e_ch4_lsmm_incineration:emission_co2e_ch4_lsmm_liquid_slurry:emission_co2e_ch4_lsmm_paddock_pasture_range:emission_co2e_ch4_lsmm_poultry_manure:emission_co2e_ch4_lsmm_storage_solid",0,"Livestock:ch4","27:Livestock:ch4",25.3812333411159
"Livestock","n2o","emission_co2e_n2o_lsmm_direct_anaerobic_digester:emission_co2e_n2o_lsmm_direct_anaerobic_lagoon:emission_co2e_n2o_lsmm_direct_composting:emission_co2e_n2o_lsmm_direct_daily_spread:emission_co2e_n2o_lsmm_direct_deep_bedding:emission_co2e_n2o_lsmm_direct_dry_lot:emission_co2e_n2o_lsmm_direct_incineration:emission_co2e_n2o_lsmm_direct_liquid_slurry:emission_co2e_n2o_lsmm_direct_paddock_pasture_range:emission_co2e_n2o_lsmm_direct_poultry_manure:emission_co2e_n2o_lsmm_direct_storage_solid",0,"Livestock:n2o","28:Livestock:n2o",2.95936447886872
"Other  Combustion","ch4","emission_co2e_ch4_scoe_other_se",0,"Other  Combustion:ch4","29:Other  Combustion:ch4",0
"Other  Combustion","co2","emission_co2e_co2_scoe_nbmass_other_se",0,"Other  Combustion:co2","30:Other  Combustion:co2",0
"Other  Combustion","n2o","emission_co2e_n2o_scoe_other_se",0,"Other  Combustion:n2o","31:Other  Combustion:n2o",0
"Solid Waste","ch4","emission_co2e_ch4_waso_landfilled_chemical_industrial:emission_co2e_ch4_waso_landfilled_food:emission_co2e_ch4_waso_landfilled_glass:emission_co2e_ch4_waso_landfilled_metal:emission_co2e_ch4_waso_landfilled_nappies:emission_co2e_ch4_waso_landfilled_other:emission_co2e_ch4_waso_landfilled_paper:emission_co2e_ch4_waso_landfilled_plastic:emission_co2e_ch4_waso_landfilled_rubber_leather:emission_co2e_ch4_waso_landfilled_sludge:emission_co2e_ch4_waso_landfilled_textiles:emission_co2e_ch4_waso_landfilled_wood:emission_co2e_ch4_waso_landfilled_yard:emission_co2e_ch4_waso_open_dump_chemical_industrial:emission_co2e_ch4_waso_open_dump_food:emission_co2e_ch4_waso_open_dump_glass:emission_co2e_ch4_waso_open_dump_metal:emission_co2e_ch4_waso_open_dump_nappies:emission_co2e_ch4_waso_open_dump_other:emission_co2e_ch4_waso_open_dump_paper:emission_co2e_ch4_waso_open_dump_plastic:emission_co2e_ch4_waso_open_dump_rubber_leather:emission_co2e_ch4_waso_open_dump_sludge:emission_co2e_ch4_waso_open_dump_textiles:emission_co2e_ch4_waso_open_dump_wood:emission_co2e_ch4_waso_open_dump_yard:emission_co2e_ch4_waso_biogas_food:emission_co2e_ch4_waso_biogas_sludge:emission_co2e_ch4_waso_biogas_yard:emission_co2e_ch4_waso_compost_food:emission_co2e_ch4_waso_compost_sludge:emission_co2e_ch4_waso_compost_yard:emission_co2e_ch4_waso_incineration",0,"Solid Waste:ch4","32:Solid Waste:ch4",8.0379402305611
"Solid Waste","co2","emission_co2e_co2_waso_incineration",0,"Solid Waste:co2","33:Solid Waste:co2",0.00821755960269211
