"aggregation_category","Gas","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","Subsector_Category","Code","Country","Units","CSC.Subsector"
"Agriculture and Managed Soil","ch4",0.1970298,0.1995129,0.2019681,0.2044512,0.2069343,0.2094174,0.2118726,0.2130723,0.2141883,0.2152485,0.2163087,0.2109798,0.205623,0.2002383,0.1932354,0.1862046,0.1853118,0.1954116,0.1943793,0.2245113,0.2079666,0.2254878,0.2153322,0.2822643,0.2419209,"Agriculture and Managed Soil:ch4","UGA","uganda","MtCO2e","Agriculture and Managed Soil"
"Agriculture and Managed Soil","co2",7.307183,7.307183,7.307183,7.306486,7.305364,7.304554,7.304253,7.310865,7.310588,0.768573,0.765851,7.266458,0.681741,0.325374,0.283941,0.241775,0.248078,0.322272,0.324626,0.535145,0.438887,0.577545,0.216616,0.081902,0.025526,"Agriculture and Managed Soil:co2","UGA","uganda","MtCO2e","Agriculture and Managed Soil"
"Agriculture and Managed Soil","n2o",0.502866,0.433524,0.450996,0.465738,0.468741,0.477204,0.486486,0.495495,0.504504,0.51324,0.622986,0.530166,0.537537,0.570843,0.81081,0.708435,0.623805,0.645099,0.663117,0.689052,1.722903,0.730002,0.731367,0.727272,1.881789,"Agriculture and Managed Soil:n2o","UGA","uganda","MtCO2e","Agriculture and Managed Soil"
"Buildings","ch4",1.81422459588944,1.81422459588944,1.93682247322314,2.0009113482532,2.01633957720602,2.13318849795093,2.32105527124227,2.55204908660122,2.55867524563472,2.6020767195922,2.69360647166566,2.76088540045469,2.88291137770186,3.0339872019284,3.08191797010997,3.18466283992248,3.26141689061057,3.34041304597181,3.04879114113048,3.08871269993411,3.73180553680341,3.23649514255646,3.35399710921866,4.43801071127446,4.32796737264748,"Buildings:ch4","UGA","uganda","MtCO2e","Buildings"
"Buildings","co2",0.103885,0.103885,0.116331,0.142481,0.123791,0.143454,0.150354,0.151075,0.151298,0.116385,0.099437,0.103569,0.086173,0.152004,0.178443,0.146804,0.194152,0.192275,0.139549,0.144463,0.274068,0.292139,0.304743,0.314161,0.200194,"Buildings:co2","UGA","uganda","MtCO2e","Buildings"
"Buildings","n2o",0.234373920273349,0.234373920273349,0.249837246531483,0.258241113402062,0.261358016528926,0.276658518987342,0.299688381460213,0.329913269662921,0.330956856687898,0.336083868954758,0.347342210526316,0.356123793103448,0.371490190909091,0.386136610169492,0.397403782242385,0.410101388819095,0.420580213627993,0.43072918705036,0.386535882352941,0.396724431472081,0.473823917851501,0.40928312195122,0.423803409836066,0.632516959481361,0.58359718101395,"Buildings:n2o","UGA","uganda","MtCO2e","Buildings"
"Carbon Capture Industries","ch4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Carbon Capture Industries:ch4","UGA","uganda","MtCO2e","Carbon Capture Industries"
"Carbon Capture Industries","co2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Carbon Capture Industries:co2","UGA","uganda","MtCO2e","Carbon Capture Industries"
"Carbon Capture Industries","n2o",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Carbon Capture Industries:n2o","UGA","uganda","MtCO2e","Carbon Capture Industries"
"Deforestation","co2",13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0986634814146,13.099046311663,13.099046311663,13.099046311663,"Deforestation:co2","UGA","uganda","MtCO2e","Deforestation"
"Electricity and Heat Generation","ch4",0,0,0,0,0,0,0,0,0,0,0.0001116,0.0001395,0.0001953,0.0002232,0.0001674,0.0002232,0.0003069,0.0002511,8.37e-05,5.58e-05,5.58e-05,5.58e-05,0.0001395,0.0002511,8.37e-05,"Electricity and Heat Generation:ch4","UGA","uganda","MtCO2e","Electricity and Heat Generation"
"Electricity and Heat Generation","co2",0.000874,0.000874,0.000956,0.000903,0.000979,0.000986,0.001054,0.001052,0.001129,0.001129,0.105963,0.121288,0.17129,0.199064,0.147363,0.207176,0.277764,0.235387,0.084366,0.042957,0.052787,0.043421,0.122776,0.223337,0.074471,"Electricity and Heat Generation:co2","UGA","uganda","MtCO2e","Electricity and Heat Generation"
"Electricity and Heat Generation","n2o",0,0,0,0,0,0,0,0,0,0,0.000273,0.000273,0.000273,0.000546,0.000273,0.000546,0.000546,0.000546,0.000273,0,0,0,0.000273,0.000546,0.000273,"Electricity and Heat Generation:n2o","UGA","uganda","MtCO2e","Electricity and Heat Generation"
"Forest Land - Removals","co2",-19.303684,-17.208148,-19.231391,-14.431947,-11.311982,-8.070042,-4.699094,-7.473811,-4.719435,-1.810142,9.329443,11.658137,17.489936,19.936255,22.421004,24.944032,27.498154,30.082574,37.690435,40.401943,43.002758,45.4964342343335,46.882463468667,48.956185468667,50.176896468667,"Forest Land - Removals:co2","UGA","uganda","MtCO2e","Forest Land - Removals"
"Forest Land - Sequestration","co2",-7.65496090687151,-7.65496090687151,-7.65496090687151,-7.65496090687151,-7.65496090687151,-7.65496090687151,-7.65496090687151,-7.65496090687151,-7.65496090687151,-7.65496090687151,-7.65496090687151,-7.65496090687151,-7.65496090687151,-7.65496090687151,-7.65496090687151,-7.65496090687151,-7.65496090687151,-7.65496090687151,-7.65496090687151,-7.65496090687151,-7.65496090687151,-7.67269553475688,-7.80452717159076,-9.43364140919674,-10.9708670976526,"Forest Land - Sequestration:co2","UGA","uganda","MtCO2e","Forest Land - Sequestration"
"Forest Land Methane","ch4",0.0551675419235737,0.0551675419235737,0.0551675419235737,0.0551675419235737,0.0551675419235737,0.0551675419235737,0.0551675419235737,0.0551675419235737,0.0551675419235737,0.0551675419235737,0.0551675419235737,0.0551675419235737,0.0551675419235737,0.0551675419235737,0.0551675419235737,0.0551675419235737,0.0551675419235737,0.0551675419235737,0.0551675419235737,0.0551675419235737,0.0551675419235737,0.0552121706513051,0.056021457555673,0.0666066992550739,0.0766163758244624,"Forest Land Methane:ch4","UGA","uganda","MtCO2e","Forest Land Methane"
"Fuel Production","ch4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fuel Production:ch4","UGA","uganda","MtCO2e","Fuel Production"
"Fuel Production","co2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fuel Production:co2","UGA","uganda","MtCO2e","Fuel Production"
"Fuel Production","n2o",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fuel Production:n2o","UGA","uganda","MtCO2e","Fuel Production"
"Fugitive Emissions","ch4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fugitive Emissions:ch4","UGA","uganda","MtCO2e","Fugitive Emissions"
"Fugitive Emissions","co2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fugitive Emissions:co2","UGA","uganda","MtCO2e","Fugitive Emissions"
"Fugitive Emissions","n2o",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fugitive Emissions:n2o","UGA","uganda","MtCO2e","Fugitive Emissions"
"IPPU","ch4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"IPPU:ch4","UGA","uganda","MtCO2e","IPPU"
"IPPU","co2",0.122113,0.122113,0.126091,0.128347,0.139115,0.147726,0.119048,0.185399,0.158542,0.204311,0.206046,0.211729,0.18427,0.240082,0.2391,0.278693,0.413491,0.323721,0.371407,0.420648,0.362667,0.375454,0.356646,0.369456,0.369457,"IPPU:co2","UGA","uganda","MtCO2e","IPPU"
"IPPU","hfcs",0.013675,0.01716,0.020297,0.023153,0.025769,0.028184,0.030442,0.032405,0.034115,0.035615,0.036937,0.038112,0.039784,0.067273,0.062595,0.060064,0.05995,0.061297,0.064012,0.067908,0.072967,0.079915,0.086171,0.091904,0.096424,"IPPU:hfcs","UGA","uganda","MtCO2e","IPPU"
"IPPU","n2o",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"IPPU:n2o","UGA","uganda","MtCO2e","IPPU"
"IPPU","nf3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"IPPU:nf3","UGA","uganda","MtCO2e","IPPU"
"IPPU","pfcs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17402,0,0,0,0,0,0,0,0,0,"IPPU:pfcs","UGA","uganda","MtCO2e","IPPU"
"IPPU","sf6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"IPPU:sf6","UGA","uganda","MtCO2e","IPPU"
"Industrial Combustion","ch4",0.0121094041105599,0.0121094041105599,0.0134991267768595,0.0141661517468029,0.0136923227939811,0.0143303020490698,0.0383082287577281,0.0235673133987777,0.026036554365281,0.0285305804077955,0.0306890283343366,0.0311233995453069,0.0350659222981391,0.0464796980715991,0.0406500298900273,0.0422511600775229,0.0420826093894255,0.0422666540281939,0.084546258869518,0.0851634000658918,0.099896763196589,0.0911099574435437,0.0644503907813383,0.0824309887255372,1.99553972735252,"Industrial Combustion:ch4","UGA","uganda","MtCO2e","Industrial Combustion"
"Industrial Combustion","co2",0.184013,0.184013,0.219895,0.256784,0.217494,0.19959,0.198069,0.203806,0.244747,0.292604,0.292786,0.341834,0.3199,0.323492,0.963117,0.542961,0.416566,0.65069,0.731968,0.916691,1.196476,1.215312,1.212392,1.107652,1.513437,"Industrial Combustion:co2","UGA","uganda","MtCO2e","Industrial Combustion"
