region,heads_total,heads_indigenous,perc_ind_ankole,perc_ind_zebu,perc_ind_total,heads_exotic,perc_exotic_dairy,perc_exotic_beef,perc_exotic_total
Central,3005140,1631284,56.4,43.6,100,1373856,85.3,14.7,100
Eastern,3324604,2891564,9.4,90.6,100,433040,89.7,10.3,100
Northern,2449846,2421911,10.9,89.1,100,27935,62.1,37.9,100
Western,3283247,1805368,50.8,49.2,100,1477880,95.7,4.3,100
Karamoja,2414995,2403491,2.3,97.7,100,11504,79.1,20.9,100
