year,emission_category,gas,aggregation_category,value_kt,source
1995,            3.B.2.b.i - Forest Land converted to Cropland ,co2,Deforestation,12953.932,Inventory
1995,            3.B.3.b.i - Forest Land converted to Grassland ,co2,Deforestation,28.158,Inventory
1996,            3.B.2.b.i - Forest Land converted to Cropland ,co2,Deforestation,13194.952,Inventory
1996,            3.B.3.b.i - Forest Land converted to Grassland ,co2,Deforestation,90.897,Inventory
1997,            3.B.2.b.i - Forest Land converted to Cropland ,co2,Deforestation,19136.535,Inventory
1997,            3.B.3.b.i - Forest Land converted to Grassland ,co2,Deforestation,90.897,Inventory
1998,            3.B.2.b.i - Forest Land converted to Cropland ,co2,Deforestation,14014.99,Inventory
1998,            3.B.3.b.i - Forest Land converted to Grassland ,co2,Deforestation,90.897,Inventory
1999,            3.B.2.b.i - Forest Land converted to Cropland ,co2,Deforestation,19148.172,Inventory
1999,            3.B.3.b.i - Forest Land converted to Grassland ,co2,Deforestation,90.897,Inventory
2000,            3.B.2.b.i - Forest Land converted to Cropland ,co2,Deforestation,13299.499,Inventory
2000,            3.B.3.b.i - Forest Land converted to Grassland ,co2,Deforestation,90.897,Inventory
2001,            3.B.2.b.i - Forest Land converted to Cropland ,co2,Deforestation,15928.291,Inventory
2001,            3.B.3.b.i - Forest Land converted to Grassland ,co2,Deforestation,90.897,Inventory
2002,            3.B.2.b.i - Forest Land converted to Cropland ,co2,Deforestation,12321.385,Inventory
2002,            3.B.3.b.i - Forest Land converted to Grassland ,co2,Deforestation,90.897,Inventory
2003,            3.B.2.b.i - Forest Land converted to Cropland ,co2,Deforestation,11881.502,Inventory
2003,            3.B.3.b.i - Forest Land converted to Grassland ,co2,Deforestation,90.897,Inventory
2004,            3.B.2.b.i - Forest Land converted to Cropland ,co2,Deforestation,13500.647,Inventory
2004,            3.B.3.b.i - Forest Land converted to Grassland ,co2,Deforestation,90.897,Inventory
2005,            3.B.2.b.i - Forest Land converted to Cropland ,co2,Deforestation,2623.851,Inventory
2005,            3.B.3.b.i - Forest Land converted to Grassland ,co2,Deforestation,90.897,Inventory
2006,            3.B.2.b.i - Forest Land converted to Cropland ,co2,Deforestation,4537.731,Inventory
2006,            3.B.3.b.i - Forest Land converted to Grassland ,co2,Deforestation,90.897,Inventory
2007,            3.B.2.b.i - Forest Land converted to Cropland ,co2,Deforestation,2920.764,Inventory
2007,            3.B.3.b.i - Forest Land converted to Grassland ,co2,Deforestation,90.897,Inventory
2008,            3.B.2.b.i - Forest Land converted to Cropland ,co2,Deforestation,3220.571,Inventory
2008,            3.B.3.b.i - Forest Land converted to Grassland ,co2,Deforestation,90.897,Inventory
2009,            3.B.2.b.i - Forest Land converted to Cropland ,co2,Deforestation,2830.246,Inventory
2009,            3.B.3.b.i - Forest Land converted to Grassland ,co2,Deforestation,90.897,Inventory
2010,            3.B.2.b.i - Forest Land converted to Cropland ,co2,Deforestation,2906.971,Inventory
2010,            3.B.3.b.i - Forest Land converted to Grassland ,co2,Deforestation,90.897,Inventory
2011,            3.B.2.b.i - Forest Land converted to Cropland ,co2,Deforestation,2941.843,Inventory
2011,            3.B.3.b.i - Forest Land converted to Grassland ,co2,Deforestation,90.897,Inventory
2012,            3.B.2.b.i - Forest Land converted to Cropland ,co2,Deforestation,3097.037,Inventory
2012,            3.B.3.b.i - Forest Land converted to Grassland ,co2,Deforestation,90.897,Inventory
2013,            3.B.2.b.i - Forest Land converted to Cropland ,co2,Deforestation,2976.232,Inventory
2013,            3.B.3.b.i - Forest Land converted to Grassland ,co2,Deforestation,90.897,Inventory
2014,            3.B.2.b.i - Forest Land converted to Cropland ,co2,Deforestation,2799.462,Inventory
2014,            3.B.3.b.i - Forest Land converted to Grassland ,co2,Deforestation,90.897,Inventory
2016,            3.B.2.b.i - Forest Land converted to Cropland ,co2,Deforestation,2197.69,Inventory
2017,            3.B.2.b.i - Forest Land converted to Cropland ,co2,Deforestation,1826.1,Inventory
2018,            3.B.2.b.i - Forest Land converted to Cropland ,co2,Deforestation,1882.35,Inventory
2019,            3.B.2.b.i - Forest Land converted to Cropland ,co2,Deforestation,1491.104,Inventory
