"Subsector","Gas","Edgar_Sector","Edgar_Subsector","Edgar_Subsector_Synthetic","Vars","ignore","note","need_better_information_on_what_is_contained","Edgar_Class","ids","UGA"
"agrc","ch4","Agriculture","AG - Crops","AG - Crops","emission_co2e_ch4_agrc_anaerobicdom_rice:emission_co2e_ch4_agrc_biomass_burning",NA,"may include fertilizer application",1,"AG - Crops:ch4","1:agrc:ch4",0.581307342
"agrc","co2","Agriculture","AG - Crops","AG - Crops","emission_co2e_co2_agrc_biomass_bevs_and_spices:emission_co2e_co2_agrc_biomass_fruits:emission_co2e_co2_agrc_biomass_nuts:emission_co2e_co2_agrc_biomass_other_woody_perennial:emission_co2e_co2_lndu_drained_organic_soils_croplands",NA,"may include liming and urea",1,"AG - Crops:co2","2:agrc:co2",0
"agrc","n2o","Agriculture","AG - Crops","AG - Crops","emission_co2e_n2o_agrc_biomass_burning:emission_co2e_n2o_agrc_crop_residues",NA,"may include fertilizer application",1,"AG - Crops:n2o","3:agrc:n2o",7.500121749
"lvst","ch4","Agriculture","AG - Livestock","AG - Livestock","emission_co2e_ch4_lvst_entferm_buffalo:emission_co2e_ch4_lvst_entferm_cattle_dairy:emission_co2e_ch4_lvst_entferm_cattle_nondairy:emission_co2e_ch4_lvst_entferm_chickens:emission_co2e_ch4_lvst_entferm_goats:emission_co2e_ch4_lvst_entferm_horses:emission_co2e_ch4_lvst_entferm_mules:emission_co2e_ch4_lvst_entferm_pigs:emission_co2e_ch4_lvst_entferm_sheep",NA,"",NA,"AG - Livestock:ch4","4:lvst:ch4",9.161789268
"lsmm","ch4","Agriculture","AG - Livestock","AG - Livestock","emission_co2e_ch4_lsmm_anaerobic_digester:emission_co2e_ch4_lsmm_anaerobic_lagoon:emission_co2e_ch4_lsmm_composting:emission_co2e_ch4_lsmm_daily_spread:emission_co2e_ch4_lsmm_deep_bedding:emission_co2e_ch4_lsmm_dry_lot:emission_co2e_ch4_lsmm_incineration:emission_co2e_ch4_lsmm_liquid_slurry:emission_co2e_ch4_lsmm_paddock_pasture_range:emission_co2e_ch4_lsmm_poultry_manure:emission_co2e_ch4_lsmm_storage_solid",NA,"",NA,"AG - Livestock:ch4","5:lsmm:ch4",9.161789268
"lsmm","n2o","Agriculture","AG - Livestock","AG - Livestock","emission_co2e_n2o_lsmm_direct_anaerobic_digester:emission_co2e_n2o_lsmm_direct_anaerobic_lagoon:emission_co2e_n2o_lsmm_direct_composting:emission_co2e_n2o_lsmm_direct_daily_spread:emission_co2e_n2o_lsmm_direct_deep_bedding:emission_co2e_n2o_lsmm_direct_dry_lot:emission_co2e_n2o_lsmm_direct_incineration:emission_co2e_n2o_lsmm_direct_liquid_slurry:emission_co2e_n2o_lsmm_direct_paddock_pasture_range:emission_co2e_n2o_lsmm_direct_poultry_manure:emission_co2e_n2o_lsmm_direct_storage_solid:emission_co2e_n2o_lsmm_indirect_anaerobic_digester:emission_co2e_n2o_lsmm_indirect_anaerobic_lagoon:emission_co2e_n2o_lsmm_indirect_composting:emission_co2e_n2o_lsmm_indirect_daily_spread:emission_co2e_n2o_lsmm_indirect_deep_bedding:emission_co2e_n2o_lsmm_indirect_dry_lot:emission_co2e_n2o_lsmm_indirect_incineration:emission_co2e_n2o_lsmm_indirect_liquid_slurry:emission_co2e_n2o_lsmm_indirect_paddock_pasture_range:emission_co2e_n2o_lsmm_indirect_poultry_manure:emission_co2e_n2o_lsmm_indirect_storage_solid",NA,"",NA,"AG - Livestock:n2o","6:lsmm:n2o",0.278467838
"ccsq","ch4","CCSQ","CCSQ","CCSQ","emission_co2e_ch4_ccsq_direct_air_capture",NA,"",NA,"CCSQ:ch4","7:ccsq:ch4",0
"ccsq","co2","CCSQ","CCSQ","CCSQ","emission_co2e_co2_ccsq_direct_air_capture",NA,"",NA,"CCSQ:co2","8:ccsq:co2",0
"ccsq","n2o","CCSQ","CCSQ","CCSQ","emission_co2e_n2o_ccsq_direct_air_capture",NA,"",NA,"CCSQ:n2o","9:ccsq:n2o",0
"scoe","ch4","Energy","EN - Building","EN - Building","emission_co2e_ch4_scoe_commercial_municipal:emission_co2e_ch4_scoe_residential",NA,"",NA,"EN - Building:ch4","10:scoe:ch4",3.692920232
"scoe","co2","Energy","EN - Building","EN - Building","emission_co2e_co2_scoe_nbmass_commercial_municipal:emission_co2e_co2_scoe_nbmass_residential",NA,"",NA,"EN - Building:co2","11:scoe:co2",0.54898344
"scoe","n2o","Energy","EN - Building","EN - Building","emission_co2e_n2o_scoe_commercial_municipal:emission_co2e_n2o_scoe_residential",NA,"",NA,"EN - Building:n2o","12:scoe:n2o",0.464477598
"entc","ch4","Energy","EN - Electricity/Heat","EN - Electricity/Heat","emission_co2e_ch4_entc_generation_pp_biogas:emission_co2e_ch4_entc_generation_pp_biomass:emission_co2e_ch4_entc_generation_pp_coal:emission_co2e_ch4_entc_generation_pp_coal_ccs:emission_co2e_ch4_entc_generation_pp_gas:emission_co2e_ch4_entc_generation_pp_gas_ccs:emission_co2e_ch4_entc_generation_pp_geothermal:emission_co2e_ch4_entc_generation_pp_hydropower:emission_co2e_ch4_entc_generation_pp_nuclear:emission_co2e_ch4_entc_generation_pp_ocean:emission_co2e_ch4_entc_generation_pp_oil:emission_co2e_ch4_entc_generation_pp_solar:emission_co2e_ch4_entc_generation_pp_waste_incineration:emission_co2e_ch4_entc_generation_pp_wind",NA,"",NA,"EN - Electricity/Heat:ch4","13:entc:ch4",0.002669901
"entc","co2","Energy","EN - Electricity/Heat","EN - Electricity/Heat","emission_co2e_co2_entc_generation_pp_biogas:emission_co2e_co2_entc_generation_pp_coal:emission_co2e_co2_entc_generation_pp_coal_ccs:emission_co2e_co2_entc_generation_pp_gas:emission_co2e_co2_entc_generation_pp_gas_ccs:emission_co2e_co2_entc_generation_pp_geothermal:emission_co2e_co2_entc_generation_pp_hydropower:emission_co2e_co2_entc_generation_pp_nuclear:emission_co2e_co2_entc_generation_pp_ocean:emission_co2e_co2_entc_generation_pp_oil:emission_co2e_co2_entc_generation_pp_solar:emission_co2e_co2_entc_generation_pp_waste_incineration:emission_co2e_co2_entc_generation_pp_wind",NA,"",NA,"EN - Electricity/Heat:co2","14:entc:co2",0.050552262
"entc","n2o","Energy","EN - Electricity/Heat","EN - Electricity/Heat","emission_co2e_n2o_entc_generation_pp_biogas:emission_co2e_n2o_entc_generation_pp_biomass:emission_co2e_n2o_entc_generation_pp_coal:emission_co2e_n2o_entc_generation_pp_coal_ccs:emission_co2e_n2o_entc_generation_pp_gas:emission_co2e_n2o_entc_generation_pp_gas_ccs:emission_co2e_n2o_entc_generation_pp_geothermal:emission_co2e_n2o_entc_generation_pp_hydropower:emission_co2e_n2o_entc_generation_pp_nuclear:emission_co2e_n2o_entc_generation_pp_ocean:emission_co2e_n2o_entc_generation_pp_oil:emission_co2e_n2o_entc_generation_pp_solar:emission_co2e_n2o_entc_generation_pp_waste_incineration:emission_co2e_n2o_entc_generation_pp_wind",NA,"",NA,"EN - Electricity/Heat:n2o","15:entc:n2o",0.003403776
"fgtv","ch4","Energy","EN - Fugitive Emissions","EN - Fugitive Emissions","emission_co2e_ch4_fgtv_fuel_coal:emission_co2e_ch4_fgtv_fuel_natural_gas:emission_co2e_ch4_fgtv_fuel_oil:emission_co2e_ch4_entc_fuel_mining_and_extraction_me_coal:emission_co2e_ch4_entc_fuel_mining_and_extraction_me_crude:emission_co2e_ch4_entc_fuel_mining_and_extraction_me_natural_gas:emission_co2e_ch4_entc_processing_and_refinement_fp_ammonia_production:emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_electrolysis:emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_gasification:emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_reformation:emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_reformation_ccs:emission_co2e_ch4_entc_processing_and_refinement_fp_natural_gas:emission_co2e_ch4_entc_processing_and_refinement_fp_natural_gas_liquefaction:emission_co2e_ch4_entc_processing_and_refinement_fp_petroleum_refinement",NA,"",NA,"EN - Fugitive Emissions:ch4","16:fgtv:ch4",7.65506064
