sector,cat,fuel_gasoline,fuel_diesel,fuel_kerosene,fuel_oil,fuel_hydrocarbon_gas_liquids,
inen,all_except,124662821.00,324936450.99,37763776.42,30667513.00,,
inen,agriculture_and_livestock,62330471.28,,,,,
trns,powered_bikes|public|road_light|road_heavy_freight|road_heavy_freight,934970218.30,606547037.20,,,,
trns,rail_freight|rail_passenger,,43324357.86,,,,
trns,aviation,,,161044522.00,,,
trns,water_borne,62330471.28,,,,,
scoe,residential,,,9440463.58,,22216225.69,
scoe,commercial_municipal|other_se,,,,,13615553.69,
other,fisheries,62334228.16,108311648.00,,,,
