SITC_code,Description,2018,2019,2020,2021,2022
0,Live animals (excl. fish),6.90,5.90,7.30,11.60,8.60
1,Meat and meat preparations,3.00,3.10,3.30,5.00,5.50
2,Dairy products and bird eggs,6.80,4.90,5.90,9.80,9.10
3,"Fish, crustaceans, molluscs & prep.",11.80,15.80,14.60,9.20,7.90
