Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Uganda","Export quantity","Cattle","2022","An","23500"
"Crops and livestock products","Uganda","Export value","Cattle","2022","1000 USD","14270"
"Crops and livestock products","Uganda","Export quantity","Chickens","2022","1000 An","4000"
"Crops and livestock products","Uganda","Export value","Chickens","2022","1000 USD","7163"
"Crops and livestock products","Uganda","Export quantity","Goats","2022","An","63000"
"Crops and livestock products","Uganda","Export value","Goats","2022","1000 USD","1806"
"Crops and livestock products","Uganda","Export quantity","Sheep","2022","An","17200"
"Crops and livestock products","Uganda","Export value","Sheep","2022","1000 USD","652"
"Crops and livestock products","Uganda","Export quantity","Swine / pigs","2022","An","7800"
"Crops and livestock products","Uganda","Export value","Swine / pigs","2022","1000 USD","398"
