Domain,Area,Element,Item,Year,Unit,Value
Crops and livestock products,Uganda,Import quantity,Cattle,2018,An,1055
Crops and livestock products,Uganda,Import value,Cattle,2018,1000 USD,443
Crops and livestock products,Uganda,Import quantity,Cattle,2019,An,657
Crops and livestock products,Uganda,Import value,Cattle,2019,1000 USD,182
Crops and livestock products,Uganda,Import quantity,Cattle,2020,An,329
Crops and livestock products,Uganda,Import value,Cattle,2020,1000 USD,241
Crops and livestock products,Uganda,Import quantity,Cattle,2021,An,215
Crops and livestock products,Uganda,Import value,Cattle,2021,1000 USD,100
Crops and livestock products,Uganda,Import quantity,Cattle,2022,An,112
Crops and livestock products,Uganda,Import value,Cattle,2022,1000 USD,100
Crops and livestock products,Uganda,Import quantity,Cattle,2023,An,354
Crops and livestock products,Uganda,Import value,Cattle,2023,1000 USD,289
Crops and livestock products,Uganda,Import quantity,Chickens,2018,1000 An,4111
Crops and livestock products,Uganda,Import value,Chickens,2018,1000 USD,6054
Crops and livestock products,Uganda,Import quantity,Chickens,2019,1000 An,201
Crops and livestock products,Uganda,Import value,Chickens,2019,1000 USD,5329
Crops and livestock products,Uganda,Import quantity,Chickens,2020,1000 An,276
Crops and livestock products,Uganda,Import value,Chickens,2020,1000 USD,6395
Crops and livestock products,Uganda,Import quantity,Chickens,2021,1000 An,440
Crops and livestock products,Uganda,Import value,Chickens,2021,1000 USD,10426
Crops and livestock products,Uganda,Import quantity,Chickens,2022,1000 An,2245
Crops and livestock products,Uganda,Import value,Chickens,2022,1000 USD,6659
Crops and livestock products,Uganda,Import quantity,Chickens,2023,1000 An,5770
Crops and livestock products,Uganda,Import value,Chickens,2023,1000 USD,14710
Crops and livestock products,Uganda,Import quantity,Goats,2018,An,776
Crops and livestock products,Uganda,Import value,Goats,2018,1000 USD,21
Crops and livestock products,Uganda,Import quantity,Goats,2019,An,114
Crops and livestock products,Uganda,Import value,Goats,2019,1000 USD,0
Crops and livestock products,Uganda,Import quantity,Goats,2020,An,181
Crops and livestock products,Uganda,Import value,Goats,2020,1000 USD,17
Crops and livestock products,Uganda,Import quantity,Goats,2021,An,547
Crops and livestock products,Uganda,Import value,Goats,2021,1000 USD,83
Crops and livestock products,Uganda,Import quantity,Goats,2022,An,207
Crops and livestock products,Uganda,Import value,Goats,2022,1000 USD,160
Crops and livestock products,Uganda,Import quantity,Goats,2023,An,994
Crops and livestock products,Uganda,Import value,Goats,2023,1000 USD,211
Crops and livestock products,Uganda,Import quantity,Horses,2018,An,41
Crops and livestock products,Uganda,Import value,Horses,2018,1000 USD,5
Crops and livestock products,Uganda,Import quantity,Horses,2019,An,9
Crops and livestock products,Uganda,Import value,Horses,2019,1000 USD,6
Crops and livestock products,Uganda,Import quantity,Horses,2020,An,3
Crops and livestock products,Uganda,Import value,Horses,2020,1000 USD,4
Crops and livestock products,Uganda,Import quantity,Horses,2021,An,4
Crops and livestock products,Uganda,Import value,Horses,2021,1000 USD,11
Crops and livestock products,Uganda,Import quantity,Sheep,2018,An,17
Crops and livestock products,Uganda,Import value,Sheep,2018,1000 USD,1
Crops and livestock products,Uganda,Import quantity,Sheep,2020,An,5
Crops and livestock products,Uganda,Import value,Sheep,2020,1000 USD,0
Crops and livestock products,Uganda,Import quantity,Sheep,2021,An,55
Crops and livestock products,Uganda,Import value,Sheep,2021,1000 USD,4
Crops and livestock products,Uganda,Import quantity,Sheep,2022,An,130
Crops and livestock products,Uganda,Import value,Sheep,2022,1000 USD,19
Crops and livestock products,Uganda,Import quantity,Sheep,2023,An,199
Crops and livestock products,Uganda,Import value,Sheep,2023,1000 USD,82
Crops and livestock products,Uganda,Import quantity,Swine / pigs,2018,An,22
Crops and livestock products,Uganda,Import value,Swine / pigs,2018,1000 USD,49
Crops and livestock products,Uganda,Import quantity,Swine / pigs,2019,An,489
Crops and livestock products,Uganda,Import value,Swine / pigs,2019,1000 USD,120
Crops and livestock products,Uganda,Import quantity,Swine / pigs,2020,An,882
Crops and livestock products,Uganda,Import value,Swine / pigs,2020,1000 USD,104
Crops and livestock products,Uganda,Import quantity,Swine / pigs,2021,An,3040
Crops and livestock products,Uganda,Import value,Swine / pigs,2021,1000 USD,576
Crops and livestock products,Uganda,Import quantity,Swine / pigs,2022,An,613
Crops and livestock products,Uganda,Import value,Swine / pigs,2022,1000 USD,222
Crops and livestock products,Uganda,Import quantity,Swine / pigs,2023,An,4325
Crops and livestock products,Uganda,Import value,Swine / pigs,2023,1000 USD,278
