"Sector","display_subsector","Gas","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Edgar_Class","Code","Country","Units","CSC.Sector","CSC.Subsector","2018","2019","2020","2021","2022"
"AFOLU","Other Lands","n2o",0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.7644,0.7098,0.6552,0.6006,0.546,0.4914,0.4368,0.3822,0.3276,0.273,0.273,0.273,"Other Lands:n2o","UGA","uganda","MtCO2e","AFOLU","Other Lands",0.280338574425,0.287889110423968,0.291767369422125,0.296197767354217,0.298780743101157
"AFOLU","Other Lands - Unaccounted","ch4",1.78368155104372,1.78368155104372,1.78368155104372,1.78368155104372,1.78368155104372,1.78368155104372,1.78368155104372,1.78368155104372,1.78368155104372,1.78368155104372,1.78368155104372,1.78368155104372,1.78368155104372,1.78368155104372,1.78368155104372,1.78368155104372,1.78368155104372,1.78368155104372,1.78368155104372,1.78368155104372,1.78368155104372,1.92167543128478,2.10741112381573,"Other Lands - Unaccounted:ch4","UGA","uganda","MtCO2e","AFOLU","Other Lands - Unaccounted",2.16406091640253,2.22234693675049,2.25228498126974,2.28648523725884,2.30642440144069
"AFOLU","Other Lands - Unaccounted","co2",6.82938973666238,6.82938973666238,6.82938973666238,6.82938973666238,6.82938973666238,6.82938973666238,6.82938973666238,6.82938973666238,6.82938973666238,6.82938973666238,6.82938973666238,6.82938973666238,6.82938973666238,6.82938973666238,6.82938973666238,6.82938973666238,6.82938973666238,6.82938973666238,6.82938973666238,6.82938973666238,6.82938973666238,12.2857709396478,23.5458378978068,"Other Lands - Unaccounted:co2","UGA","uganda","MtCO2e","AFOLU","Other Lands - Unaccounted",24.1787788641513,24.8300011962877,25.1644951805233,25.5466103143396,25.769388073429
"AFOLU","Other Lands - Unaccounted","n2o",0.779865954126186,0.779865954126186,0.779865954126186,0.779865954126186,0.779865954126186,0.779865954126186,0.779865954126186,0.779865954126186,0.779865954126186,0.779865954126186,0.779865954126186,0.779865954126186,0.779865954126186,0.779865954126186,0.779865954126186,0.779865954126186,0.779865954126186,0.779865954126186,0.779865954126186,0.779865954126186,0.779865954126186,0.795558623765535,0.840150761808384,"Other Lands - Unaccounted:n2o","UGA","uganda","MtCO2e","AFOLU","Other Lands - Unaccounted",0.862735043470477,0.885971631644814,0.897906877988376,0.911541318273217,0.919490362381364
"Energy","Buildings (Stationary Combustion)","ch4",1.47275554850983,1.5387637285986,1.60477190868738,1.67078008877616,1.73678826886493,1.80279644895371,1.88170196575777,1.96060748256183,2.03951299936588,2.11841851616994,2.197324032974,2.29285986049461,2.38839568801522,2.48393151553583,2.57946734305644,2.67500317057705,2.73745529486367,2.79990741915029,2.86235954343691,2.92481166772353,2.98726379201015,2.9579572923272,2.92865079264426,"Buildings (Stationary Combustion):ch4","UGA","uganda","MtCO2e","Energy","Buildings (Stationary Combustion)",3.00737651354776,3.0883760858491,3.12998072427047,3.17750852066443,3.2052178026009
"Energy","Buildings (Stationary Combustion)","co2",0.333321,0.333321,0.333321,0.333321,0.333321,0.333321,0.333321,0.333321,0.333321,0.333321,0.333321,0.333321,0.333321,0.333321,0.333321,0.333321,0.333321,0.333321,0.333321,0.333321,0.333321,0.333321,0.333321,"Buildings (Stationary Combustion):co2","UGA","uganda","MtCO2e","Energy","Buildings (Stationary Combustion)",0.342281076798225,0.351499949361272,0.356235133125099,0.361644454257418,0.364798154107036
"Energy","Buildings (Stationary Combustion)","n2o",0.192144451490171,0.200756271401395,0.209368091312619,0.217979911223843,0.226591731135067,0.23520355104629,0.245498034242232,0.255792517438174,0.266087000634115,0.276381483830057,0.286675967025999,0.29914013950539,0.311604311984781,0.324068484464172,0.336532656943564,0.348996829422955,0.357144705136335,0.365292580849715,0.373440456563094,0.381588332276474,0.389736207989854,0.385912707672797,0.382089207355739,"Buildings (Stationary Combustion):n2o","UGA","uganda","MtCO2e","Energy","Buildings (Stationary Combustion)",0.39236023330874,0.402927919444112,0.408355908112706,0.414556667212134,0.418171784998827
"Energy","Energy Industries","ch4",0.0544305,0.05690965,0.0593888,0.0682251,0.0770614,0.0829338,0.0888062,0.0888062,0.0888062,0.108307,0.1278078,0.1341234,0.140439,0.14693465,0.1534303,0.1566158,0.1598013,0.1791359,0.1984705,0.32845275,0.458435,0.382814,0.307193,"Energy Industries:ch4","UGA","uganda","MtCO2e","Energy","Energy Industries",0.315450724151425,0.323946957869853,0.32831096525601,0.333296266471957,0.336202757565838
"Energy","Energy Industries","co2",0.000828,0.0008655,0.000903,0.000941,0.000979,0.0010165,0.001054,0.001054,0.001054,0.0009785,0.000903,0.0860965,0.17129,0.20364,0.23599,0.256895,0.2778,0.1392485,0.000697,0.0218285,0.04296,0.08288,0.1228,"Energy Industries:co2","UGA","uganda","MtCO2e","Energy","Energy Industries",0.12610101443,0.129497372747484,0.131241878992809,0.133234746634058,0.1343966126477
"Energy","Energy Industries","n2o",0.01092,0.011466,0.012012,0.0137865,0.015561,0.016653,0.017745,0.017745,0.017745,0.0217035,0.025662,0.0268905,0.028119,0.0293475,0.030576,0.0312585,0.031941,0.035763,0.039585,0.065247,0.090909,0.0760305,0.061152,"Energy Industries:n2o","UGA","uganda","MtCO2e","Energy","Energy Industries",0.0627958406712,0.0644871607349687,0.065355890750556,0.0663482998873447,0.0669268864546592
