Code,Country,Sector,Subsector,Gas,Units,Year,Value,Source
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2000,7.2654582,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2001,7.4970056,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2002,7.7492296,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2003,8.0337012,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2004,8.2176948,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2005,8.530704,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2006,8.78299884,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2007,9.047319005,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2008,13.94572318,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2009,14.36363887,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2010,14.79350352,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2011,15.22299469,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2012,15.63385667,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2013,15.89841725,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2014,16.45123648,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2015,16.90638683,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2016,17.47311958,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2017,17.36912629,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2018,17.80754358,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2019,17.93832769,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2020,17.73813831,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2021,17.89047648,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2022,17.94307593,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2023,18.05786586,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2000,0.26161968,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2001,0.27159804,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2002,0.281192688,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2003,0.29156568,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2004,0.29889048,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2005,0.30812264,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2006,0.31135188,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2007,0.322601787,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2008,0.463137963,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2009,0.478159551,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2010,0.493741214,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2011,0.508267865,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2012,0.523310022,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2013,0.52959088,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2014,0.5431188,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2015,0.556893155,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2016,0.575132173,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2017,0.573614115,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2018,0.585918791,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2019,0.589044179,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2020,0.585440226,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2021,0.591154397,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2022,0.5940912,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,CH4,MtCO2e,2023,0.598186617,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,N2O,MtCO2e,2000,0.152942495,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,N2O,MtCO2e,2001,0.159858002,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,N2O,MtCO2e,2002,0.168187039,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,N2O,MtCO2e,2003,0.181703474,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,N2O,MtCO2e,2004,0.195963719,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,N2O,MtCO2e,2005,0.202136966,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,N2O,MtCO2e,2006,0.206272963,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,N2O,MtCO2e,2007,0.213075156,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,N2O,MtCO2e,2008,0.234047819,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,N2O,MtCO2e,2009,0.239864131,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,N2O,MtCO2e,2010,0.247501113,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,N2O,MtCO2e,2011,0.25494789,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,N2O,MtCO2e,2012,0.26168871,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,N2O,MtCO2e,2013,0.2658931,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,N2O,MtCO2e,2014,0.26404131,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,N2O,MtCO2e,2015,0.268967134,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,N2O,MtCO2e,2016,0.270867144,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,N2O,MtCO2e,2017,0.272780659,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,N2O,MtCO2e,2018,0.276582664,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,N2O,MtCO2e,2019,0.27702017,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,N2O,MtCO2e,2020,0.278467838,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,N2O,MtCO2e,2021,0.282036587,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,N2O,MtCO2e,2022,0.285243026,WB CSC
UGA,Uganda,Agriculture,AG - Livestock,N2O,MtCO2e,2023,0.2877355,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2000,2.915067042,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2001,3.007811542,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2002,3.146640583,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2003,3.309292011,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2004,3.396061932,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2005,3.502051572,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2006,3.597947662,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2007,3.706565752,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2008,5.485303697,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2009,5.649245412,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2010,5.819850585,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2011,5.986341273,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2012,6.15627508,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2013,6.262114647,WB CSC
UGA,Uganda,Agriculture,AG - Crops,N2O,MtCO2e,2014,6.450434509,WB CSC
