"Subsector","Gas","Edgar_Class","Edgar_Subsector","Edgar_Sector","Vars","ids","BGR"
"entc","ch4","EN - Electricity/Heat:CH4","EN - Electricity/Heat","Energy","emission_co2e_ch4_entc_generation_pp_biogas:emission_co2e_ch4_entc_generation_pp_biomass:emission_co2e_ch4_entc_generation_pp_coal:emission_co2e_ch4_entc_generation_pp_coal_ccs:emission_co2e_ch4_entc_generation_pp_gas:emission_co2e_ch4_entc_generation_pp_gas_ccs:emission_co2e_ch4_entc_generation_pp_geothermal:emission_co2e_ch4_entc_generation_pp_hydropower:emission_co2e_ch4_entc_generation_pp_nuclear:emission_co2e_ch4_entc_generation_pp_ocean:emission_co2e_ch4_entc_generation_pp_oil:emission_co2e_ch4_entc_generation_pp_solar:emission_co2e_ch4_entc_generation_pp_waste_incineration:emission_co2e_ch4_entc_generation_pp_wind","11:entc:ch4",0.023683908
"entc","n2o","EN - Electricity/Heat:N2O","EN - Electricity/Heat","Energy","emission_co2e_n2o_entc_generation_pp_biogas:emission_co2e_n2o_entc_generation_pp_biomass:emission_co2e_n2o_entc_generation_pp_coal:emission_co2e_n2o_entc_generation_pp_coal_ccs:emission_co2e_n2o_entc_generation_pp_gas:emission_co2e_n2o_entc_generation_pp_gas_ccs:emission_co2e_n2o_entc_generation_pp_geothermal:emission_co2e_n2o_entc_generation_pp_hydropower:emission_co2e_n2o_entc_generation_pp_nuclear:emission_co2e_n2o_entc_generation_pp_ocean:emission_co2e_n2o_entc_generation_pp_oil:emission_co2e_n2o_entc_generation_pp_solar:emission_co2e_n2o_entc_generation_pp_waste_incineration:emission_co2e_n2o_entc_generation_pp_wind","12:entc:n2o",0.106404361
"fgtv","co2","EN - Fugitive Emissions:CO2","EN - Fugitive Emissions","Energy","emission_co2e_co2_fgtv_fuel_coal:emission_co2e_co2_fgtv_fuel_natural_gas:emission_co2e_co2_fgtv_fuel_oil:emission_co2e_co2_entc_fuel_mining_and_extraction_me_coal:emission_co2e_co2_entc_fuel_mining_and_extraction_me_crude:emission_co2e_co2_entc_fuel_mining_and_extraction_me_natural_gas:emission_co2e_co2_entc_processing_and_refinement_fp_ammonia_production:emission_co2e_co2_entc_processing_and_refinement_fp_hydrogen_electrolysis:emission_co2e_co2_entc_processing_and_refinement_fp_hydrogen_gasification:emission_co2e_co2_entc_processing_and_refinement_fp_hydrogen_reformation:emission_co2e_co2_entc_processing_and_refinement_fp_hydrogen_reformation_ccs:emission_co2e_co2_entc_processing_and_refinement_fp_natural_gas:emission_co2e_co2_entc_processing_and_refinement_fp_petroleum_refinement","13:fgtv:co2",2.463175335
"fgtv","ch4","EN - Fugitive Emissions:CH4","EN - Fugitive Emissions","Energy","emission_co2e_ch4_fgtv_fuel_coal:emission_co2e_ch4_fgtv_fuel_natural_gas:emission_co2e_ch4_fgtv_fuel_oil:emission_co2e_ch4_entc_fuel_mining_and_extraction_me_coal:emission_co2e_ch4_entc_fuel_mining_and_extraction_me_crude:emission_co2e_ch4_entc_fuel_mining_and_extraction_me_natural_gas:emission_co2e_ch4_entc_processing_and_refinement_fp_ammonia_production:emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_electrolysis:emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_gasification:emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_reformation:emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_reformation_ccs:emission_co2e_ch4_entc_processing_and_refinement_fp_natural_gas:emission_co2e_ch4_entc_processing_and_refinement_fp_petroleum_refinement","14:fgtv:ch4",1.125721545
"fgtv","n2o","EN - Fugitive Emissions:N2O","EN - Fugitive Emissions","Energy","emission_co2e_n2o_fgtv_fuel_coal:emission_co2e_n2o_fgtv_fuel_natural_gas:emission_co2e_n2o_fgtv_fuel_oil:emission_co2e_n2o_entc_fuel_mining_and_extraction_me_coal:emission_co2e_n2o_entc_fuel_mining_and_extraction_me_crude:emission_co2e_n2o_entc_fuel_mining_and_extraction_me_natural_gas:emission_co2e_n2o_entc_processing_and_refinement_fp_ammonia_production:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_electrolysis:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_gasification:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_reformation:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_reformation_ccs:emission_co2e_n2o_entc_processing_and_refinement_fp_natural_gas:emission_co2e_n2o_entc_processing_and_refinement_fp_petroleum_refinement","15:fgtv:n2o",0.000855997
"inen","co2","EN - Manufacturing/Construction:CO2","EN - Manufacturing/Construction","Energy","emission_co2e_co2_inen_agriculture_and_livestock:emission_co2e_co2_inen_cement:emission_co2e_co2_inen_chemicals:emission_co2e_co2_inen_electronics:emission_co2e_co2_inen_glass:emission_co2e_co2_inen_lime_and_carbonite:emission_co2e_co2_inen_metals:emission_co2e_co2_inen_mining:emission_co2e_co2_inen_other_product_manufacturing:emission_co2e_co2_inen_paper:emission_co2e_co2_inen_plastic:emission_co2e_co2_inen_recycled_glass:emission_co2e_co2_inen_recycled_metals:emission_co2e_co2_inen_recycled_paper:emission_co2e_co2_inen_recycled_plastic:emission_co2e_co2_inen_recycled_rubber_and_leather:emission_co2e_co2_inen_recycled_textiles:emission_co2e_co2_inen_recycled_wood:emission_co2e_co2_inen_rubber_and_leather:emission_co2e_co2_inen_textiles","16:inen:co2",4.932055857
"inen","ch4","EN - Manufacturing/Construction:CH4","EN - Manufacturing/Construction","Energy","emission_co2e_ch4_inen_agriculture_and_livestock:emission_co2e_ch4_inen_cement:emission_co2e_ch4_inen_chemicals:emission_co2e_ch4_inen_electronics:emission_co2e_ch4_inen_glass:emission_co2e_ch4_inen_lime_and_carbonite:emission_co2e_ch4_inen_metals:emission_co2e_ch4_inen_mining:emission_co2e_ch4_inen_other_product_manufacturing:emission_co2e_ch4_inen_paper:emission_co2e_ch4_inen_plastic:emission_co2e_ch4_inen_recycled_glass:emission_co2e_ch4_inen_recycled_metals:emission_co2e_ch4_inen_recycled_paper:emission_co2e_ch4_inen_recycled_plastic:emission_co2e_ch4_inen_recycled_rubber_and_leather:emission_co2e_ch4_inen_recycled_textiles:emission_co2e_ch4_inen_recycled_wood:emission_co2e_ch4_inen_rubber_and_leather:emission_co2e_ch4_inen_textiles","17:inen:ch4",0.018077663
"inen","n2o","EN - Manufacturing/Construction:N2O","EN - Manufacturing/Construction","Energy","emission_co2e_n2o_inen_agriculture_and_livestock:emission_co2e_n2o_inen_cement:emission_co2e_n2o_inen_chemicals:emission_co2e_n2o_inen_electronics:emission_co2e_n2o_inen_glass:emission_co2e_n2o_inen_lime_and_carbonite:emission_co2e_n2o_inen_metals:emission_co2e_n2o_inen_mining:emission_co2e_n2o_inen_other_product_manufacturing:emission_co2e_n2o_inen_paper:emission_co2e_n2o_inen_plastic:emission_co2e_n2o_inen_recycled_glass:emission_co2e_n2o_inen_recycled_metals:emission_co2e_n2o_inen_recycled_paper:emission_co2e_n2o_inen_recycled_plastic:emission_co2e_n2o_inen_recycled_rubber_and_leather:emission_co2e_n2o_inen_recycled_textiles:emission_co2e_n2o_inen_recycled_wood:emission_co2e_n2o_inen_rubber_and_leather:emission_co2e_n2o_inen_textiles","18:inen:n2o",0.023924889
"trns","co2","EN - Transportation:CO2","EN - Transportation","Energy","emission_co2e_co2_trns_aviation:emission_co2e_co2_trns_human_powered:emission_co2e_co2_trns_powered_bikes:emission_co2e_co2_trns_public:emission_co2e_co2_trns_rail_freight:emission_co2e_co2_trns_rail_passenger:emission_co2e_co2_trns_road_heavy_freight:emission_co2e_co2_trns_road_heavy_regional:emission_co2e_co2_trns_road_light:emission_co2e_co2_trns_water_borne","19:trns:co2",10.31481115
"trns","ch4","EN - Transportation:CH4","EN - Transportation","Energy","emission_co2e_ch4_trns_aviation:emission_co2e_ch4_trns_human_powered:emission_co2e_ch4_trns_powered_bikes:emission_co2e_ch4_trns_public:emission_co2e_ch4_trns_rail_freight:emission_co2e_ch4_trns_rail_passenger:emission_co2e_ch4_trns_road_heavy_freight:emission_co2e_ch4_trns_road_heavy_regional:emission_co2e_ch4_trns_road_light:emission_co2e_ch4_trns_water_borne","20:trns:ch4",0.050659814
"trns","n2o","EN - Transportation:N2O","EN - Transportation","Energy","emission_co2e_n2o_trns_aviation:emission_co2e_n2o_trns_human_powered:emission_co2e_n2o_trns_powered_bikes:emission_co2e_n2o_trns_public:emission_co2e_n2o_trns_rail_freight:emission_co2e_n2o_trns_rail_passenger:emission_co2e_n2o_trns_road_heavy_freight:emission_co2e_n2o_trns_road_heavy_regional:emission_co2e_n2o_trns_road_light:emission_co2e_n2o_trns_water_borne","21:trns:n2o",0.089264459
"ippu","co2","IN - Industrial Processes:CO2","IN - Industrial Processes","Industrial Processes","emission_co2e_co2_ippu_product_use_product_use_lubricants:emission_co2e_co2_ippu_product_use_product_use_other:emission_co2e_co2_ippu_product_use_product_use_paraffin_wax:emission_co2e_co2_ippu_production_cement:emission_co2e_co2_ippu_production_chemicals:emission_co2e_co2_ippu_production_glass:emission_co2e_co2_ippu_production_lime_and_carbonite:emission_co2e_co2_ippu_production_metals:emission_co2e_co2_ippu_production_paper:emission_co2e_co2_ippu_production_plastic:emission_co2e_co2_ippu_production_product_use_lubricants:emission_co2e_co2_ippu_production_product_use_paraffin_wax","22:ippu:co2",4.528596383
"ippu","ch4","IN - Industrial Processes:CH4","IN - Industrial Processes","Industrial Processes","emission_co2e_ch4_ippu_production_chemicals:emission_co2e_ch4_ippu_production_metals:emission_co2e_ch4_ippu_production_paper:emission_co2e_ch4_ippu_production_plastic","23:ippu:ch4",0.008740533
"ippu","n2o","IN - Industrial Processes:N2O","IN - Industrial Processes","Industrial Processes","emission_co2e_n2o_ippu_production_chemicals:emission_co2e_n2o_ippu_production_other_product_manufacturing:emission_co2e_n2o_ippu_production_paper:emission_co2e_n2o_ippu_production_plastic","24:ippu:n2o",0.260753369
"ippu","c2f6","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_c2f6_ippu_product_use_product_use_ods_other:emission_co2e_c2f6_ippu_production_chemicals:emission_co2e_c2f6_ippu_production_electronics:emission_co2e_c2f6_ippu_production_metals","25:ippu:c2f6",0.149256941037037
"ippu","c2h3f3","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_c2h3f3_ippu_product_use_product_use_ods_refrigeration:emission_co2e_c2h3f3_ippu_production_chemicals","26:ippu:c2h3f3",0.149256941037037
"ippu","c2hf5","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_c2hf5_ippu_product_use_product_use_ods_other:emission_co2e_c2hf5_ippu_product_use_product_use_ods_refrigeration:emission_co2e_c2hf5_ippu_production_chemicals","27:ippu:c2hf5",0.149256941037037
"ippu","c3f8","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_c3f8_ippu_production_chemicals:emission_co2e_c3f8_ippu_production_electronics","28:ippu:c3f8",0.149256941037037
"ippu","c3h2f6","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_c3h2f6_ippu_product_use_product_use_ods_other:emission_co2e_c3h2f6_ippu_product_use_product_use_ods_refrigeration","29:ippu:c3h2f6",0.149256941037037
"ippu","c3h3f5","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_c3h3f5_ippu_product_use_product_use_ods_other:emission_co2e_c3h3f5_ippu_product_use_product_use_ods_refrigeration","30:ippu:c3h3f5",0.149256941037037
"ippu","c3hf7","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_c3hf7_ippu_product_use_product_use_ods_other:emission_co2e_c3hf7_ippu_product_use_product_use_ods_refrigeration:emission_co2e_c3hf7_ippu_production_chemicals","31:ippu:c3hf7",0.149256941037037
"ippu","c4f10","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_c4f10_ippu_product_use_product_use_ods_other:emission_co2e_c4f10_ippu_production_chemicals","32:ippu:c4f10",0.149256941037037
"ippu","c4f6","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_c4f6_ippu_production_electronics","33:ippu:c4f6",0.149256941037037
"ippu","c4h5f5","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_c4h5f5_ippu_product_use_product_use_ods_other:emission_co2e_c4h5f5_ippu_production_chemicals","34:ippu:c4h5f5",0.149256941037037
"ippu","c5f12","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_c5f12_ippu_production_chemicals","35:ippu:c5f12",0.149256941037037
"ippu","c5f8","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_c5f8_ippu_production_electronics","36:ippu:c5f8",0.149256941037037
"ippu","c5h2f10","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_c5h2f10_ippu_product_use_product_use_ods_other","37:ippu:c5h2f10",0.149256941037037
"ippu","c6f14","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_c6f14_ippu_product_use_product_use_ods_other:emission_co2e_c6f14_ippu_production_chemicals","38:ippu:c6f14",0.149256941037037
"ippu","cc4f8","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_cc4f8_ippu_production_chemicals:emission_co2e_cc4f8_ippu_production_electronics","39:ippu:cc4f8",0.149256941037037
"ippu","cf4","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_cf4_ippu_product_use_product_use_ods_other:emission_co2e_cf4_ippu_production_chemicals:emission_co2e_cf4_ippu_production_electronics:emission_co2e_cf4_ippu_production_metals","40:ippu:cf4",0.149256941037037
"ippu","ch2f2","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_ch2f2_ippu_product_use_product_use_ods_refrigeration:emission_co2e_ch2f2_ippu_production_chemicals:emission_co2e_ch2f2_ippu_production_electronics","41:ippu:ch2f2",0.149256941037037
"ippu","ch2fchf2","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_ch2fchf2_ippu_product_use_product_use_ods_other","42:ippu:ch2fchf2",0.149256941037037
"ippu","ch3cci2f","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_ch3cci2f_ippu_product_use_product_use_ods_other","43:ippu:ch3cci2f",0.149256941037037
"ippu","ch3ccif2","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_ch3ccif2_ippu_product_use_product_use_ods_other","44:ippu:ch3ccif2",0.149256941037037
"ippu","ch3chf2","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_ch3chf2_ippu_product_use_product_use_ods_other:emission_co2e_ch3chf2_ippu_product_use_product_use_ods_refrigeration:emission_co2e_ch3chf2_ippu_production_chemicals","45:ippu:ch3chf2",0.149256941037037
"ippu","ch3f","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_ch3f_ippu_production_electronics","46:ippu:ch3f",0.149256941037037
"ippu","chf2cf3","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_chf2cf3_ippu_product_use_product_use_ods_other:emission_co2e_chf2cf3_ippu_product_use_product_use_ods_refrigeration:emission_co2e_chf2cf3_ippu_production_chemicals","47:ippu:chf2cf3",0.149256941037037
"ippu","chf2chf2","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_chf2chf2_ippu_product_use_product_use_ods_other","48:ippu:chf2chf2",0.149256941037037
"ippu","chf3","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_chf3_ippu_product_use_product_use_ods_other:emission_co2e_chf3_ippu_product_use_product_use_ods_refrigeration:emission_co2e_chf3_ippu_production_chemicals:emission_co2e_chf3_ippu_production_electronics","49:ippu:chf3",0.149256941037037
"ippu","hfcs","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_hfcs_ippu_product_use_product_use_ods_other:emission_co2e_hfcs_ippu_product_use_product_use_ods_refrigeration:emission_co2e_hfcs_ippu_production_chemicals:emission_co2e_hfcs_ippu_production_electronics:emission_co2e_hfcs_ippu_production_metals","50:ippu:hfcs",0.149256941037037
"ippu","other_fcs","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_other_fcs_ippu_product_use_product_use_ods_other:emission_co2e_other_fcs_ippu_production_chemicals:emission_co2e_other_fcs_ippu_production_electronics","51:ippu:other_fcs",0.149256941037037
"ippu","pfcs","IN - Industrial Processes:PFC","IN - Industrial Processes","Industrial Processes","emission_co2e_pfcs_ippu_product_use_product_use_ods_other:emission_co2e_pfcs_ippu_production_chemicals:emission_co2e_pfcs_ippu_production_electronics:emission_co2e_pfcs_ippu_production_other_product_manufacturing","52:ippu:pfcs",0
"ippu","sf6","IN - Industrial Processes:SF6","IN - Industrial Processes","Industrial Processes","emission_co2e_sf6_ippu_production_chemicals:emission_co2e_sf6_ippu_production_electronics:emission_co2e_sf6_ippu_production_metals:emission_co2e_sf6_ippu_production_other_product_manufacturing","53:ippu:sf6",0.019636092
"waso","co2","Waste - Solid Waste:CO2","Waste - Solid Waste","Waste","emission_co2e_co2_waso_incineration","54:waso:co2",0.006775263
"waso","ch4","Waste - Solid Waste:CH4","Waste - Solid Waste","Waste","emission_co2e_ch4_waso_biogas_food:emission_co2e_ch4_waso_biogas_sludge:emission_co2e_ch4_waso_biogas_yard:emission_co2e_ch4_waso_compost_food:emission_co2e_ch4_waso_compost_sludge:emission_co2e_ch4_waso_compost_yard:emission_co2e_ch4_waso_incineration:emission_co2e_ch4_waso_landfilled_chemical_industrial:emission_co2e_ch4_waso_landfilled_food:emission_co2e_ch4_waso_landfilled_glass:emission_co2e_ch4_waso_landfilled_metal:emission_co2e_ch4_waso_landfilled_nappies:emission_co2e_ch4_waso_landfilled_other:emission_co2e_ch4_waso_landfilled_paper:emission_co2e_ch4_waso_landfilled_plastic:emission_co2e_ch4_waso_landfilled_rubber_leather:emission_co2e_ch4_waso_landfilled_sludge:emission_co2e_ch4_waso_landfilled_textiles:emission_co2e_ch4_waso_landfilled_wood:emission_co2e_ch4_waso_landfilled_yard:emission_co2e_ch4_waso_open_dump_chemical_industrial:emission_co2e_ch4_waso_open_dump_food:emission_co2e_ch4_waso_open_dump_glass:emission_co2e_ch4_waso_open_dump_metal:emission_co2e_ch4_waso_open_dump_nappies:emission_co2e_ch4_waso_open_dump_other:emission_co2e_ch4_waso_open_dump_paper:emission_co2e_ch4_waso_open_dump_plastic:emission_co2e_ch4_waso_open_dump_rubber_leather:emission_co2e_ch4_waso_open_dump_sludge:emission_co2e_ch4_waso_open_dump_textiles:emission_co2e_ch4_waso_open_dump_wood:emission_co2e_ch4_waso_open_dump_yard","55:waso:ch4",5.148575925
"waso","n2o","Waste - Solid Waste:N2O","Waste - Solid Waste","Waste","emission_co2e_n2o_waso_compost_food:emission_co2e_n2o_waso_compost_sludge:emission_co2e_n2o_waso_compost_yard:emission_co2e_n2o_waso_incineration","56:waso:n2o",0.009934963
"trww","ch4","Waste - Wastewater Treatment:CH4","Waste - Wastewater Treatment","Waste","emission_co2e_ch4_trww_treated_advanced_aerobic_treatment:emission_co2e_ch4_trww_treated_advanced_anaerobic_treatment:emission_co2e_ch4_trww_treated_latrine_improved_treatment:emission_co2e_ch4_trww_treated_latrine_unimproved_treatment:emission_co2e_ch4_trww_treated_primary_treatment:emission_co2e_ch4_trww_treated_secondary_aerobic_treatment:emission_co2e_ch4_trww_treated_secondary_anaerobic_treatment:emission_co2e_ch4_trww_treated_septic_treatment:emission_co2e_ch4_trww_untreated_no_sewerage_treatment:emission_co2e_ch4_trww_untreated_with_sewerage_treatment","57:trww:ch4",1.130879539
"trww","n2o","Waste - Wastewater Treatment:N2O","Waste - Wastewater Treatment","Waste","emission_co2e_n2o_trww_treated_advanced_aerobic_effluent:emission_co2e_n2o_trww_treated_advanced_aerobic_treatment:emission_co2e_n2o_trww_treated_advanced_anaerobic_effluent:emission_co2e_n2o_trww_treated_advanced_anaerobic_treatment:emission_co2e_n2o_trww_treated_latrine_improved_effluent:emission_co2e_n2o_trww_treated_latrine_improved_treatment:emission_co2e_n2o_trww_treated_latrine_unimproved_effluent:emission_co2e_n2o_trww_treated_latrine_unimproved_treatment:emission_co2e_n2o_trww_treated_primary_effluent:emission_co2e_n2o_trww_treated_primary_treatment:emission_co2e_n2o_trww_treated_secondary_aerobic_effluent:emission_co2e_n2o_trww_treated_secondary_aerobic_treatment:emission_co2e_n2o_trww_treated_secondary_anaerobic_effluent:emission_co2e_n2o_trww_treated_secondary_anaerobic_treatment:emission_co2e_n2o_trww_treated_septic_effluent:emission_co2e_n2o_trww_treated_septic_treatment:emission_co2e_n2o_trww_untreated_no_sewerage_effluent:emission_co2e_n2o_trww_untreated_no_sewerage_treatment:emission_co2e_n2o_trww_untreated_with_sewerage_effluent:emission_co2e_n2o_trww_untreated_with_sewerage_treatment","58:trww:n2o",0.097626182
"frst","co2","LULUCF - Forest Land:CO2","LULUCF - Forest Land","Land Use, Land Use Change, and Forestry","emission_co2e_co2_frst_forest_fires:emission_co2e_co2_frst_harvested_wood_products:emission_co2e_co2_frst_sequestration_mangroves:emission_co2e_co2_frst_sequestration_primary:emission_co2e_co2_frst_sequestration_secondary","59:frst:co2",-9.761994234
"frst","ch4","LULUCF - Forest Land:CH4","LULUCF - Forest Land","Land Use, Land Use Change, and Forestry","emission_co2e_ch4_frst_methane_mangroves:emission_co2e_ch4_frst_methane_primary:emission_co2e_ch4_frst_methane_secondary","60:frst:ch4",0
