"aggregation_category","Gas","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","Subsector_Category","Code","Country","Units","CSC.Subsector","2020","2021","2022"
"Agriculture and Managed Soil","ch4",0.1970298,0.1995129,0.2019681,0.2044512,0.2069343,0.2094174,0.2118726,0.2130723,0.2141883,0.2152485,0.2163087,0.2109798,0.205623,0.2002383,0.1932354,0.1862046,0.1853118,0.1954116,0.1943793,0.2245113,0.2079666,0.2254878,0.2153322,0.2822643,0.2419209,"Agriculture and Managed Soil:ch4","UGA","uganda","MtCO2e","Agriculture and Managed Soil",0.245179904503108,0.248902886082757,0.251073429513377
"Agriculture and Managed Soil","co2",7.307183,7.307183,7.307183,7.306486,7.305364,7.304554,7.304253,7.310865,7.310588,0.768573,0.765851,7.266458,0.681741,0.325374,0.283941,0.241775,0.248078,0.322272,0.324626,0.535145,0.438887,0.577545,0.216616,0.081902,0.025526,"Agriculture and Managed Soil:co2","UGA","uganda","MtCO2e","Agriculture and Managed Soil",0.025869870037464,0.0262626960719328,0.0264917184160544
"Agriculture and Managed Soil","n2o",0.502866,0.433524,0.450996,0.465738,0.468741,0.477204,0.486486,0.495495,0.504504,0.51324,0.622986,0.530166,0.537537,0.570843,0.81081,0.708435,0.623805,0.645099,0.663117,0.689052,1.722903,0.730002,0.731367,0.727272,1.881789,"Agriculture and Managed Soil:n2o","UGA","uganda","MtCO2e","Agriculture and Managed Soil",1.9071392645902,1.93609858883124,1.95298222621753
"Buildings","ch4",1.7597646,1.7597646,1.8774189,1.9388547,1.9392453,2.0558115,2.2330602,2.4471927,2.4456861,2.4809517,2.5663536,2.6333415,2.7433512,2.8884033,2.9296395,3.0261456,3.1028427,3.1817997,2.8542816,2.9668302,3.2820444,2.9356101,3.0504744,3.4263153,3.4462917,"Buildings:ch4","UGA","uganda","MtCO2e","Buildings",3.49271794994088,3.54575379974632,3.57667434364904
"Buildings","co2",0.103885,0.103885,0.116331,0.142481,0.123791,0.143454,0.150354,0.151075,0.151298,0.116385,0.099437,0.103569,0.086173,0.152004,0.178443,0.146804,0.194152,0.192275,0.139549,0.144463,0.274068,0.292139,0.304743,0.314161,0.200194,"Buildings:co2","UGA","uganda","MtCO2e","Buildings",0.202890886244616,0.205971722064738,0.207767886726616
"Buildings","n2o",0.224406,0.224406,0.238875,0.246792,0.247065,0.262353,0.284739,0.310947,0.310674,0.314496,0.32487,0.333606,0.346983,0.361179,0.370734,0.382473,0.392847,0.402948,0.356265,0.377559,0.403494,0.362544,0.373464,0.422058,0.419055,"Buildings:n2o","UGA","uganda","MtCO2e","Buildings",0.42470024244102,0.431149185239512,0.43490899713389
"Carbon Capture Industries","ch4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Carbon Capture Industries:ch4","UGA","uganda","MtCO2e","Carbon Capture Industries",0,0,0
"Carbon Capture Industries","co2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Carbon Capture Industries:co2","UGA","uganda","MtCO2e","Carbon Capture Industries",0,0,0
"Carbon Capture Industries","n2o",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Carbon Capture Industries:n2o","UGA","uganda","MtCO2e","Carbon Capture Industries",0,0,0
"Deforestation","co2",13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0982806511662,13.0986634814146,13.099046311663,13.099046311663,13.099046311663,"Deforestation:co2","UGA","uganda","MtCO2e","Deforestation",13.2755083325803,13.4770928510294,13.5946190710426
