Sector,Subsector,Gas,Year,Source,Value
AFOLU,AG - Crops,CH4,1995,National Communication -- Mapped to WB CSC Categories,0.8587
AFOLU,AG - Crops,CH4,1996,National Communication -- Mapped to WB CSC Categories,0.8587
AFOLU,AG - Crops,CH4,1997,National Communication -- Mapped to WB CSC Categories,0.8587
AFOLU,AG - Crops,CH4,1998,National Communication -- Mapped to WB CSC Categories,0.8587
AFOLU,AG - Crops,CH4,1999,National Communication -- Mapped to WB CSC Categories,0.8587
AFOLU,AG - Crops,CH4,2000,National Communication -- Mapped to WB CSC Categories,0.8587
AFOLU,AG - Crops,CH4,2001,National Communication -- Mapped to WB CSC Categories,0.86978
AFOLU,AG - Crops,CH4,2002,National Communication -- Mapped to WB CSC Categories,0.88086
AFOLU,AG - Crops,CH4,2003,National Communication -- Mapped to WB CSC Categories,0.89194
AFOLU,AG - Crops,CH4,2004,National Communication -- Mapped to WB CSC Categories,0.90302
AFOLU,AG - Crops,CH4,2005,National Communication -- Mapped to WB CSC Categories,0.9141
AFOLU,AG - Crops,CH4,2006,National Communication -- Mapped to WB CSC Categories,0.82546
AFOLU,AG - Crops,CH4,2007,National Communication -- Mapped to WB CSC Categories,0.73682
AFOLU,AG - Crops,CH4,2008,National Communication -- Mapped to WB CSC Categories,0.64818
AFOLU,AG - Crops,CH4,2009,National Communication -- Mapped to WB CSC Categories,0.55954
AFOLU,AG - Crops,CH4,2010,National Communication -- Mapped to WB CSC Categories,0.4709
AFOLU,AG - Crops,CH4,2011,National Communication -- Mapped to WB CSC Categories,0.4432
AFOLU,AG - Crops,CH4,2012,National Communication -- Mapped to WB CSC Categories,0.4155
AFOLU,AG - Crops,CH4,2013,National Communication -- Mapped to WB CSC Categories,0.3878
AFOLU,AG - Crops,CH4,2014,National Communication -- Mapped to WB CSC Categories,0.3601
AFOLU,AG - Crops,CH4,2015,National Communication -- Mapped to WB CSC Categories,0.3324
AFOLU,AG - Crops,CH4,2016,National Communication -- Mapped to WB CSC Categories,0.3601
AFOLU,AG - Crops,CH4,2017,National Communication -- Mapped to WB CSC Categories,0.3878
AFOLU,AG - Crops,CO,1995,National Communication -- Mapped to WB CSC Categories,1.434
AFOLU,AG - Crops,CO,1996,National Communication -- Mapped to WB CSC Categories,1.1472
AFOLU,AG - Crops,CO,1997,National Communication -- Mapped to WB CSC Categories,0.8604
AFOLU,AG - Crops,CO,1998,National Communication -- Mapped to WB CSC Categories,0.5736
