ssp_subsector,Subsector,Gas,Vars,est_from_sisepuede,Subsector_Category,ids,UGA
entc,Fuel Production,ch4,emission_co2e_ch4_entc_processing_and_refinement_fp_petroleum_refinement:emission_co2e_ch4_entc_fuel_mining_and_extraction_me_coal:emission_co2e_ch4_entc_fuel_mining_and_extraction_me_crude:emission_co2e_ch4_entc_fuel_mining_and_extraction_me_natural_gas:emission_co2e_ch4_entc_processing_and_refinement_fp_ammonia_production:emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_electrolysis:emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_gasification:emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_reformation:emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_reformation_ccs:emission_co2e_ch4_entc_processing_and_refinement_fp_natural_gas:emission_co2e_ch4_entc_processing_and_refinement_fp_natural_gas_liquefaction,0,Fuel Production:ch4,11:entc:ch4,0
entc,Fuel Production,co2,emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_petroleum_refinement:emission_co2e_co2_entc_mining_and_extraction_me_coal:emission_co2e_co2_entc_mining_and_extraction_me_crude:emission_co2e_co2_entc_mining_and_extraction_me_natural_gas:emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_ammonia_production:emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_hydrogen_electrolysis:emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_hydrogen_gasification:emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_hydrogen_reformation:emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_hydrogen_reformation_ccs:emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_natural_gas:emission_co2e_co2_entc_nbmass_processing_and_refinement_fp_natural_gas_liquefaction,0,Fuel Production:co2,12:entc:co2,0
entc,Fuel Production,n2o,emission_co2e_n2o_entc_processing_and_refinement_fp_petroleum_refinement:emission_co2e_n2o_entc_fuel_mining_and_extraction_me_coal:emission_co2e_n2o_entc_fuel_mining_and_extraction_me_crude:emission_co2e_n2o_entc_fuel_mining_and_extraction_me_natural_gas:emission_co2e_n2o_entc_processing_and_refinement_fp_ammonia_production:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_electrolysis:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_gasification:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_reformation:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_reformation_ccs:emission_co2e_n2o_entc_processing_and_refinement_fp_natural_gas:emission_co2e_n2o_entc_processing_and_refinement_fp_natural_gas_liquefaction,0,Fuel Production:n2o,13:entc:n2o,0
fgtv,Fugitive Emissions,ch4,emission_co2e_ch4_fgtv_dtp_fuel_coal:emission_co2e_ch4_fgtv_flaring_fuel_coal:emission_co2e_ch4_fgtv_venting_fuel_coal:emission_co2e_ch4_fgtv_dtp_fuel_crude:emission_co2e_ch4_fgtv_dtp_fuel_oil:emission_co2e_ch4_fgtv_flaring_fuel_crude:emission_co2e_ch4_fgtv_flaring_fuel_oil:emission_co2e_ch4_fgtv_venting_fuel_crude:emission_co2e_ch4_fgtv_venting_fuel_oil:emission_co2e_ch4_fgtv_dtp_fuel_natural_gas:emission_co2e_ch4_fgtv_flaring_fuel_natural_gas:emission_co2e_ch4_fgtv_venting_fuel_natural_gas,0,Fugitive Emissions:ch4,14:fgtv:ch4,0
fgtv,Fugitive Emissions,co2,emission_co2e_co2_fgtv_dtp_fuel_coal:emission_co2e_co2_fgtv_flaring_fuel_coal:emission_co2e_co2_fgtv_venting_fuel_coal:emission_co2e_co2_fgtv_dtp_fuel_crude:emission_co2e_co2_fgtv_dtp_fuel_oil:emission_co2e_co2_fgtv_flaring_fuel_crude:emission_co2e_co2_fgtv_flaring_fuel_oil:emission_co2e_co2_fgtv_venting_fuel_crude:emission_co2e_co2_fgtv_venting_fuel_oil:emission_co2e_co2_fgtv_dtp_fuel_natural_gas:emission_co2e_co2_fgtv_flaring_fuel_natural_gas:emission_co2e_co2_fgtv_venting_fuel_natural_gas,0,Fugitive Emissions:co2,15:fgtv:co2,0
fgtv,Fugitive Emissions,n2o,emission_co2e_n2o_fgtv_dtp_fuel_coal:emission_co2e_n2o_fgtv_flaring_fuel_coal:emission_co2e_n2o_fgtv_venting_fuel_coal:emission_co2e_n2o_fgtv_dtp_fuel_crude:emission_co2e_n2o_fgtv_dtp_fuel_oil:emission_co2e_n2o_fgtv_flaring_fuel_crude:emission_co2e_n2o_fgtv_flaring_fuel_oil:emission_co2e_n2o_fgtv_venting_fuel_crude:emission_co2e_n2o_fgtv_venting_fuel_oil:emission_co2e_n2o_fgtv_dtp_fuel_natural_gas:emission_co2e_n2o_fgtv_flaring_fuel_natural_gas:emission_co2e_n2o_fgtv_venting_fuel_natural_gas,0,Fugitive Emissions:n2o,16:fgtv:n2o,0
ippu,IPPU,ch4,emission_co2e_ch4_ippu_production_chemicals:emission_co2e_ch4_ippu_production_plastic:emission_co2e_ch4_ippu_production_metals:emission_co2e_ch4_ippu_production_paper,0,IPPU:ch4,17:ippu:ch4,0
ippu,IPPU,co2,emission_co2e_co2_ippu_production_cement:emission_co2e_co2_ippu_production_lime_and_carbonite:emission_co2e_co2_ippu_production_glass:emission_co2e_co2_ippu_production_chemicals:emission_co2e_co2_ippu_production_plastic:emission_co2e_co2_ippu_production_metals:emission_co2e_co2_ippu_production_product_use_lubricants:emission_co2e_co2_ippu_product_use_product_use_lubricants:emission_co2e_co2_ippu_production_product_use_paraffin_wax:emission_co2e_co2_ippu_product_use_product_use_paraffin_wax:emission_co2e_co2_ippu_product_use_product_use_other:emission_co2e_co2_ippu_production_paper,0,IPPU:co2,18:ippu:co2,0.369457
ippu,IPPU,hfcs,emission_co2e_hfcs_ippu_production_chemicals:emission_co2e_hfcs_ippu_production_metals:emission_co2e_hfcs_ippu_production_electronics:emission_co2e_hfcs_ippu_product_use_product_use_ods_refrigeration:emission_co2e_hfcs_ippu_product_use_product_use_ods_other,0,IPPU:hfcs,19:ippu:hfcs,0.096424
ippu,IPPU,n2o,emission_co2e_n2o_ippu_production_chemicals:emission_co2e_n2o_ippu_production_plastic:emission_co2e_n2o_ippu_production_other_product_manufacturing:emission_co2e_n2o_ippu_production_paper,0,IPPU:n2o,20:ippu:n2o,0
