ssp_subsector,Subsector,Gas,Vars,est_from_sisepuede,Subsector_Category,sector,UGA
agrc,Agriculture and Managed Soil,ch4,emission_co2e_ch4_agrc_biomass_burning:emission_co2e_ch4_agrc_anaerobicdom_rice,0,Agriculture and Managed Soil:ch4,Non-LULUCF,0.2419209
agrc,Agriculture and Managed Soil,co2,emission_co2e_co2_agrc_biomass_bevs_and_spices:emission_co2e_co2_agrc_biomass_fruits:emission_co2e_co2_agrc_biomass_nuts:emission_co2e_co2_agrc_biomass_other_woody_perennial:emission_co2e_co2_lndu_conversion_croplands_to_croplands:emission_co2e_co2_lndu_drained_organic_soils_croplands:emission_co2e_co2_lndu_drained_organic_soils_pastures:emission_co2e_co2_lndu_conversion_grasslands_to_grasslands:emission_co2e_co2_lndu_conversion_grasslands_to_pastures:emission_co2e_co2_lndu_conversion_pastures_to_grasslands:emission_co2e_co2_lndu_conversion_pastures_to_pastures:emission_co2e_co2_lndu_biomass_sequestration_grasslands:emission_co2e_co2_lndu_biomass_sequestration_pastures:emission_co2e_co2_soil_lime_use:emission_co2e_co2_soil_urea_use,0,Agriculture and Managed Soil:co2,Non-LULUCF,0.025526
agrc,Agriculture and Managed Soil,n2o,emission_co2e_n2o_agrc_biomass_burning:emission_co2e_n2o_agrc_crop_residues:emission_co2e_n2o_soil_fertilizer:emission_co2e_n2o_soil_mineral_soils:emission_co2e_n2o_soil_organic_soils:emission_co2e_n2o_lsmm_indirect_anaerobic_digester:emission_co2e_n2o_lsmm_indirect_anaerobic_lagoon:emission_co2e_n2o_lsmm_indirect_composting:emission_co2e_n2o_lsmm_indirect_daily_spread:emission_co2e_n2o_lsmm_indirect_deep_bedding:emission_co2e_n2o_lsmm_indirect_dry_lot:emission_co2e_n2o_lsmm_indirect_incineration:emission_co2e_n2o_lsmm_indirect_liquid_slurry:emission_co2e_n2o_lsmm_indirect_paddock_pasture_range:emission_co2e_n2o_lsmm_indirect_poultry_manure:emission_co2e_n2o_lsmm_indirect_storage_solid,0,Agriculture and Managed Soil:n2o,Non-LULUCF,1.881789
scoe,Commercial,ch4,emission_co2e_ch4_scoe_commercial_municipal,0,Commercial:ch4,Non-LULUCF,0.455806025
scoe,Commercial,co2,emission_co2e_co2_scoe_nbmass_commercial_municipal,0,Commercial:co2,Non-LULUCF,0.066047
scoe,Commercial,n2o,emission_co2e_n2o_scoe_commercial_municipal,0,Commercial:n2o,Non-LULUCF,0.058549815
scoe,Residential,ch4,emission_co2e_ch4_scoe_residential,0,Residential:ch4,Non-LULUCF,3.872161347
scoe,Residential,co2,emission_co2e_co2_scoe_nbmass_residential,0,Residential:co2,Non-LULUCF,0.134147
scoe,Residential,n2o,emission_co2e_n2o_scoe_residential,0,Residential:n2o,Non-LULUCF,0.525047366
entc,Electricity and Heat Generation,ch4,emission_co2e_ch4_entc_generation_pp_biogas:emission_co2e_ch4_entc_generation_pp_biomass:emission_co2e_ch4_entc_generation_pp_coal:emission_co2e_ch4_entc_generation_pp_coal_ccs:emission_co2e_ch4_entc_generation_pp_gas:emission_co2e_ch4_entc_generation_pp_gas_ccs:emission_co2e_ch4_entc_generation_pp_geothermal:emission_co2e_ch4_entc_generation_pp_hydropower:emission_co2e_ch4_entc_generation_pp_nuclear:emission_co2e_ch4_entc_generation_pp_ocean:emission_co2e_ch4_entc_generation_pp_oil:emission_co2e_ch4_entc_generation_pp_solar:emission_co2e_ch4_entc_generation_pp_waste_incineration:emission_co2e_ch4_entc_generation_pp_wind,0,Electricity and Heat Generation:ch4,Non-LULUCF,8.37e-05
entc,Electricity and Heat Generation,co2,emission_co2e_co2_entc_generation_pp_biogas:emission_co2e_co2_entc_generation_pp_coal:emission_co2e_co2_entc_generation_pp_coal_ccs:emission_co2e_co2_entc_generation_pp_gas:emission_co2e_co2_entc_generation_pp_gas_ccs:emission_co2e_co2_entc_generation_pp_geothermal:emission_co2e_co2_entc_generation_pp_hydropower:emission_co2e_co2_entc_generation_pp_nuclear:emission_co2e_co2_entc_generation_pp_ocean:emission_co2e_co2_entc_generation_pp_oil:emission_co2e_co2_entc_generation_pp_solar:emission_co2e_co2_entc_generation_pp_waste_incineration:emission_co2e_co2_entc_generation_pp_wind,0,Electricity and Heat Generation:co2,Non-LULUCF,0.074471
entc,Electricity and Heat Generation,n2o,emission_co2e_n2o_entc_generation_pp_biogas:emission_co2e_n2o_entc_generation_pp_biomass:emission_co2e_n2o_entc_generation_pp_coal:emission_co2e_n2o_entc_generation_pp_coal_ccs:emission_co2e_n2o_entc_generation_pp_gas:emission_co2e_n2o_entc_generation_pp_gas_ccs:emission_co2e_n2o_entc_generation_pp_geothermal:emission_co2e_n2o_entc_generation_pp_hydropower:emission_co2e_n2o_entc_generation_pp_nuclear:emission_co2e_n2o_entc_generation_pp_ocean:emission_co2e_n2o_entc_generation_pp_oil:emission_co2e_n2o_entc_generation_pp_solar:emission_co2e_n2o_entc_generation_pp_waste_incineration:emission_co2e_n2o_entc_generation_pp_wind,0,Electricity and Heat Generation:n2o,Non-LULUCF,0.000273
