strategy_id,primary_id,Subsector_Category,CSC.Subsector,CSC.Sector,value,Year,Gas,design_id,future_id,strategy,Code,Contry,source
0,0,Agriculture and Managed Soil:ch4,Agriculture and Managed Soil,Non-LULUCF,0.286847003075621,2053,ch4,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:ch4,Agriculture and Managed Soil,Non-LULUCF,0.289988075668558,2054,ch4,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:ch4,Agriculture and Managed Soil,Non-LULUCF,0.293485756779486,2055,ch4,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:ch4,Agriculture and Managed Soil,Non-LULUCF,0.29730373591375,2056,ch4,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:ch4,Agriculture and Managed Soil,Non-LULUCF,0.301417124874772,2057,ch4,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:ch4,Agriculture and Managed Soil,Non-LULUCF,0.305799584491718,2058,ch4,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:ch4,Agriculture and Managed Soil,Non-LULUCF,0.310421801783579,2059,ch4,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:ch4,Agriculture and Managed Soil,Non-LULUCF,0.315251917076353,2060,ch4,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:ch4,Agriculture and Managed Soil,Non-LULUCF,0.320264901208468,2061,ch4,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:ch4,Agriculture and Managed Soil,Non-LULUCF,0.325438327890529,2062,ch4,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:ch4,Agriculture and Managed Soil,Non-LULUCF,0.33074435829704,2063,ch4,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:ch4,Agriculture and Managed Soil,Non-LULUCF,0.336160214707215,2064,ch4,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:ch4,Agriculture and Managed Soil,Non-LULUCF,0.341664020205464,2065,ch4,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:ch4,Agriculture and Managed Soil,Non-LULUCF,0.347236879412647,2066,ch4,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:ch4,Agriculture and Managed Soil,Non-LULUCF,0.35286393626977,2067,ch4,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:ch4,Agriculture and Managed Soil,Non-LULUCF,0.358532675182931,2068,ch4,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:ch4,Agriculture and Managed Soil,Non-LULUCF,0.364232704819417,2069,ch4,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:ch4,Agriculture and Managed Soil,Non-LULUCF,0.36996047106458,2070,ch4,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.025526,2019,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0270206509409444,2020,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0278964564887492,2021,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0288341217227837,2022,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0298309901201345,2023,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0309155636392944,2024,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0321058969483174,2025,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.033399693769693,2026,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0348208795357331,2027,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0364293137835197,2028,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0380432295127438,2029,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0396199837762913,2030,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0411271776313632,2031,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0425407646598633,2032,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0438425079286242,2033,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0450241060594577,2034,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0460889903692614,2035,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0470535508204631,2036,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0479477955041055,2037,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
0,0,Agriculture and Managed Soil:co2,Agriculture and Managed Soil,Non-LULUCF,0.0488152944425313,2038,co2,0,0,Strategy TX:BASE,UGA,uganda,SISEPUEDE
