Code,Country,EDGAR.Country.Code,Income.group,Lending.category,Region,CSC.Sector,CSC.Subsector,Gas,Units,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
UGA,Uganda,UGA,Low income,IDA,Africa Eastern and Southern,Energy,EN - Transportation,CH4,MtCO2e,0.005208,0.005208,0.005544,0.006076,0.006608,0.006272,0.006496,0.006692,0.006552,0.006384,0.006048,0.007028,0.006944,0.008988,0.010332,0.010948,0.012768,0.016352,0.016688,0.018228,0.019152,0.022036,0.023324,0.0196,0.021168,0.021453161833152,0.0217789215094677,0.0219688433530925
UGA,Uganda,UGA,Low income,IDA,Africa Eastern and Southern,Energy,EN - Transportation,CO2,MtCO2e,0.588759,0.588759,0.621813,0.699754,0.831057,0.816509,0.841154,0.85849,0.915142,0.964354,0.959196,1.187316,1.255936,1.501181,1.674289,1.812856,1.999607,2.227062,2.179406,2.384698,2.561885,2.942939,3.103529,2.623693,2.730391,2.76717309102332,2.80919176488837,2.83368916155015
UGA,Uganda,UGA,Low income,IDA,Africa Eastern and Southern,Energy,EN - Transportation,N2O,MtCO2e,0.007685,0.007685,0.00795,0.00901,0.010865,0.0106,0.010865,0.01113,0.011925,0.01272,0.01272,0.0159,0.016695,0.019875,0.02226,0.024115,0.0265,0.02915,0.028355,0.031005,0.03339,0.038425,0.040545,0.019345,0.02067,0.02094845309388,0.0212665489229355,0.0214520026506246
UGA,Uganda,UGA,Low income,IDA,Africa Eastern and Southern,Industrial Processes,IN - Industrial Processes,CO2,MtCO2e,0.122113,0.122113,0.126091,0.128347,0.139115,0.147726,0.119048,0.185399,0.158542,0.204311,0.206046,0.211729,0.18427,0.240082,0.2391,0.278693,0.413491,0.323721,0.371407,0.420648,0.362667,0.375454,0.356646,0.369456,0.369457,0.374434089729348,0.380119756430623,0.38343456909975
UGA,Uganda,UGA,Low income,IDA,Africa Eastern and Southern,Industrial Processes,IN - Industrial Processes,N2O,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,UGA,Low income,IDA,Africa Eastern and Southern,Waste,Waste - Solid Waste,CH4,MtCO2e,3.249008,3.66436,4.042472,4.39152,4.716376,5.02166,5.310732,5.583256,5.822936,6.04198,6.24274,6.426784,6.599628,6.785128,6.980288,7.182868,7.391132,7.324856,7.305984,7.322056,7.365988,7.442596,7.543872,7.674716,7.772688,7.87739670930643,7.99701255997646,8.06675005217602
UGA,Uganda,UGA,Low income,IDA,Africa Eastern and Southern,Waste,Waste - Wastewater Treatment,CH4,MtCO2e,3.153752,3.218488,3.35146,3.452092,3.553984,4.131652,3.682756,3.953824,4.07218,4.192048,4.37556,4.535216,4.710888,5.084212,5.6154,5.590256,5.68218,6.003956,6.17526,6.715436,6.807444,7.083216,7.36666,7.65814,5.273968,5.34501554265235,5.42617796274776,5.47349663837975
UGA,Uganda,UGA,Low income,IDA,Africa Eastern and Southern,Waste,Waste - Wastewater Treatment,N2O,MtCO2e,0.19822,0.20458,0.21094,0.2173,0.22366,0.23002,0.237705,0.245125,0.25281,0.26023,0.26765,0.27613,0.28461,0.29309,0.301305,0.309785,0.31959,0.329395,0.339465,0.34927,0.359075,0.372325,0.398825,0.398825,0.412075,0.4176262123203,0.423967738143137,0.427664924637453
UGA,Uganda,UGA,Low income,IDA,Africa Eastern and Southern,"Land Use, Land Use Change, and Forestry",LULUCF - Forest Land,CO2,MtCO2e,-5.899684,-3.804148,-5.827391,-1.027947,2.092018,5.333958,8.704906,5.930189,8.684565,11.593858,22.733443,24.621128,29.990577,32.054527,34.281236,36.327923,38.424774,40.539486,47.663905,49.898984,53.243349,52.582537,51.332642,55.182936,54.187805,54.917788645516,55.7516984063371,56.2378779144427
UGA,Uganda,UGA,Low income,IDA,Africa Eastern and Southern,"Land Use, Land Use Change, and Forestry",LULUCF - Deforestation,CO2,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,UGA,Low income,IDA,Africa Eastern and Southern,"Land Use, Land Use Change, and Forestry",LULUCF - Organic Soil,CO2,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,UGA,Low income,IDA,Africa Eastern and Southern,"Land Use, Land Use Change, and Forestry",LULUCF - Other Land,CO2,MtCO2e,20.288819,20.592578,26.534161,21.411919,26.543979,20.694494,23.322986,19.720611,19.280715,14.357756,3.478062,11.892337,3.690866,3.634306,3.202547,3.237106,3.271258,3.500971,3.380601,3.418794,-0.328033,2.765923,2.030478,1.947751,1.500817,1.52103505210439,1.54413150241283,1.55759701316413
