year,frac_trns_pkm_dem_private_and_public_human_powered,frac_trns_pkm_dem_private_and_public_powered_bikes,frac_trns_pkm_dem_private_and_public_public,frac_trns_pkm_dem_private_and_public_road_light,frac_trns_pkm_dem_private_and_public_water_borne,frac_trns_pkm_dem_regional_aviation,frac_trns_pkm_dem_regional_rail_passenger,frac_trns_pkm_dem_regional_road_heavy_regional,frac_trns_pkm_dem_regional_road_light,frac_trns_pkm_dem_regional_water_borne
2015,0.0,1245.3520704750447,282.9324934725129,716.9868663950266,0.0,43.037353939579155,0.008678635599834474,0.0,0.0,0.34714542399337894
2016,0.0,1304.917182791832,296.46513709298745,751.280303760245,0.0,45.09582791011705,0.009093734202483777,0.0,0.0,0.3637493680993511
2017,0.0,1345.8878949673992,305.77330466262583,774.8683823712415,0.0,46.51170947715368,0.009379251759861602,0.0,0.0,0.3751700703944641
2018,0.0,1430.6657532383822,325.03405140287805,823.6775604201504,0.0,49.44149518125259,0.009970053474743416,0.0,0.0,0.3988021389897366
2019,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2019,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2020,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2021,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2022,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2023,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2024,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2025,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2026,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2027,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2028,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2029,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2030,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2031,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2032,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2033,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2034,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2035,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2036,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2037,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2038,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2039,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2040,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2041,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2042,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2043,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2044,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2045,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2046,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2047,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
2048,0.0,1522.849855633409,345.9774284345647,876.7507372948927,0.0,52.62722870708503,0.010612467978843524,0.0,0.0,0.42449871915374093
