year,nemomod_entc_residual_capacity_pp_biogas_gw,nemomod_entc_residual_capacity_pp_biomass_gw,nemomod_entc_residual_capacity_pp_coal_gw,nemomod_entc_residual_capacity_pp_coal_ccs_gw,nemomod_entc_residual_capacity_pp_gas_gw,nemomod_entc_residual_capacity_pp_gas_ccs_gw,nemomod_entc_residual_capacity_pp_geothermal_gw,nemomod_entc_residual_capacity_pp_hydropower_gw,nemomod_entc_residual_capacity_pp_nuclear_gw,nemomod_entc_residual_capacity_pp_ocean_gw,nemomod_entc_residual_capacity_pp_oil_gw,nemomod_entc_residual_capacity_pp_solar_gw,nemomod_entc_residual_capacity_pp_waste_incineration_gw,nemomod_entc_residual_capacity_pp_wind_gw
2024,0.0,0.14929,0.0,0.0,0.0,0.0,0.0,1.7109285,0.0,0.0,0.1,0.088283,0.0,0.0
2025,0.0,0.14929,0.0,0.0,0.0,0.0,0.0,1.7109285,0.0,0.0,0.1,0.088283,0.0,0.0
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7109285,0.0,0.0,0.1,0.088283,0.0,0.0
2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7109285,0.0,0.0,0.1,0.088283,0.0,0.0
2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7109285,0.0,0.0,0.1,0.088283,0.0,0.0
2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7109285,0.0,0.0,0.1,0.088283,0.0,0.0
2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7109285,0.0,0.0,0.1,0.088283,0.0,0.0
2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7109285,0.0,0.0,0.1,0.0,0.0,0.0
2032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7109285,0.0,0.0,0.1,0.0,0.0,0.0
2033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7109285,0.0,0.0,0.1,0.0,0.0,0.0
2034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7109285,0.0,0.0,0.1,0.0,0.0,0.0
