year,occrate_trns_passenger_per_vehicle_public,occrate_trns_passenger_per_vehicle_road_light,occrate_trns_passenger_per_vehicle_powered_bikes
2015,16.790123456790123,2.1461463414634148,1.58
2016,16.790123456790123,2.1461463414634148,1.58
2017,16.790123456790123,2.1461463414634148,1.58
2018,16.790123456790123,2.1461463414634148,1.58
2019,16.790123456790123,2.1461463414634148,1.58
2020,16.790123456790123,2.1461463414634148,1.58
2021,16.790123456790123,2.1461463414634148,1.58
2022,16.790123456790123,2.1461463414634148,1.58
2023,16.790123456790123,2.1461463414634148,1.58
2024,16.790123456790123,2.1461463414634148,1.58
2025,16.790123456790123,2.1461463414634148,1.58
2026,16.790123456790123,2.1461463414634148,1.58
2027,16.790123456790123,2.1461463414634148,1.58
2028,16.790123456790123,2.1461463414634148,1.58
2029,16.790123456790123,2.1461463414634148,1.58
2030,16.790123456790123,2.1461463414634148,1.58
2031,16.790123456790123,2.1461463414634148,1.58
2032,16.790123456790123,2.1461463414634148,1.58
2033,16.790123456790123,2.1461463414634148,1.58
2034,16.790123456790123,2.1461463414634148,1.58
2035,16.790123456790123,2.1461463414634148,1.58
2036,16.790123456790123,2.1461463414634148,1.58
2037,16.790123456790123,2.1461463414634148,1.58
2038,16.790123456790123,2.1461463414634148,1.58
2039,16.790123456790123,2.1461463414634148,1.58
2040,16.790123456790123,2.1461463414634148,1.58
2041,16.790123456790123,2.1461463414634148,1.58
2042,16.790123456790123,2.1461463414634148,1.58
2043,16.790123456790123,2.1461463414634148,1.58
2044,16.790123456790123,2.1461463414634148,1.58
2045,16.790123456790123,2.1461463414634148,1.58
2046,16.790123456790123,2.1461463414634148,1.58
2047,16.790123456790123,2.1461463414634148,1.58
2048,16.790123456790123,2.1461463414634148,1.58
2049,16.790123456790123,2.1461463414634148,1.58
2050,16.790123456790123,2.1461463414634148,1.58
2051,16.790123456790123,2.1461463414634148,1.58
2052,16.790123456790123,2.1461463414634148,1.58
2053,16.790123456790123,2.1461463414634148,1.58
2054,16.790123456790123,2.1461463414634148,1.58
2055,16.790123456790123,2.1461463414634148,1.58
2056,16.790123456790123,2.1461463414634148,1.58
2057,16.790123456790123,2.1461463414634148,1.58
2058,16.790123456790123,2.1461463414634148,1.58
2059,16.790123456790123,2.1461463414634148,1.58
2060,16.790123456790123,2.1461463414634148,1.58
2061,16.790123456790123,2.1461463414634148,1.58
2062,16.790123456790123,2.1461463414634148,1.58
2063,16.790123456790123,2.1461463414634148,1.58
2064,16.790123456790123,2.1461463414634148,1.58
2065,16.790123456790123,2.1461463414634148,1.58
2066,16.790123456790123,2.1461463414634148,1.58
2067,16.790123456790123,2.1461463414634148,1.58
2068,16.790123456790123,2.1461463414634148,1.58
2069,16.790123456790123,2.1461463414634148,1.58
2070,16.790123456790123,2.1461463414634148,1.58
2071,16.790123456790123,2.1461463414634148,1.58
2072,16.790123456790123,2.1461463414634148,1.58
2073,16.790123456790123,2.1461463414634148,1.58
2074,16.790123456790123,2.1461463414634148,1.58
2075,16.790123456790123,2.1461463414634148,1.58
2076,16.790123456790123,2.1461463414634148,1.58
2077,16.790123456790123,2.1461463414634148,1.58
2078,16.790123456790123,2.1461463414634148,1.58
2079,16.790123456790123,2.1461463414634148,1.58
2080,16.790123456790123,2.1461463414634148,1.58
2081,16.790123456790123,2.1461463414634148,1.58
2082,16.790123456790123,2.1461463414634148,1.58
2083,16.790123456790123,2.1461463414634148,1.58
2084,16.790123456790123,2.1461463414634148,1.58
2085,16.790123456790123,2.1461463414634148,1.58
2086,16.790123456790123,2.1461463414634148,1.58
2087,16.790123456790123,2.1461463414634148,1.58
2088,16.790123456790123,2.1461463414634148,1.58
2089,16.790123456790123,2.1461463414634148,1.58
2090,16.790123456790123,2.1461463414634148,1.58
2091,16.790123456790123,2.1461463414634148,1.58
2092,16.790123456790123,2.1461463414634148,1.58
2093,16.790123456790123,2.1461463414634148,1.58
2094,16.790123456790123,2.1461463414634148,1.58
2095,16.790123456790123,2.1461463414634148,1.58
2096,16.790123456790123,2.1461463414634148,1.58
2097,16.790123456790123,2.1461463414634148,1.58
2098,16.790123456790123,2.1461463414634148,1.58
2099,16.790123456790123,2.1461463414634148,1.58
2100,16.790123456790123,2.1461463414634148,1.58
