year,consumpinit_scoe_gj_per_hh_residential_elec_appliances,consumpinit_scoe_gj_per_hh_residential_heat_energy
2015,0.21778696741009365,25.966792288848556
2016,0.22544966525911816,26.88041758876448
2017,0.2333652007072331,27.824188776179856
2018,0.24209514703472249,28.865062367811525
2019,0.2511730946060291,29.947428231097113
2020,0.2595762454238185,30.94933791583288
2021,0.2681341281916504,31.969696328033752
2022,0.2767315678096625,32.994771112956315
2023,0.2854238797848449,34.0311575517482
2024,0.2854238797848449,34.0311575517482
2025,0.2854238797848449,34.0311575517482
2026,0.2854238797848449,34.0311575517482
2027,0.2854238797848449,34.0311575517482
2028,0.2854238797848449,34.0311575517482
2029,0.2854238797848449,34.0311575517482
2030,0.2854238797848449,34.0311575517482
2031,0.2854238797848449,34.0311575517482
2032,0.2854238797848449,34.0311575517482
2033,0.2854238797848449,34.0311575517482
2034,0.2854238797848449,34.0311575517482
2035,0.2854238797848449,34.0311575517482
2036,0.2854238797848449,34.0311575517482
2037,0.2854238797848449,34.0311575517482
2038,0.2854238797848449,34.0311575517482
2039,0.2854238797848449,34.0311575517482
2040,0.2854238797848449,34.0311575517482
2041,0.2854238797848449,34.0311575517482
2042,0.2854238797848449,34.0311575517482
2043,0.2854238797848449,34.0311575517482
2044,0.2854238797848449,34.0311575517482
2045,0.2854238797848449,34.0311575517482
2046,0.2854238797848449,34.0311575517482
2047,0.2854238797848449,34.0311575517482
2048,0.2854238797848449,34.0311575517482
2049,0.2854238797848449,34.0311575517482
2050,0.2854238797848449,34.0311575517482
2051,0.2854238797848449,34.0311575517482
2052,0.2854238797848449,34.0311575517482
2053,0.2854238797848449,34.0311575517482
2054,0.2854238797848449,34.0311575517482
2055,0.2854238797848449,34.0311575517482
2056,0.2854238797848449,34.0311575517482
2057,0.2854238797848449,34.0311575517482
2058,0.2854238797848449,34.0311575517482
2059,0.2854238797848449,34.0311575517482
2060,0.2854238797848449,34.0311575517482
2061,0.2854238797848449,34.0311575517482
2062,0.2854238797848449,34.0311575517482
2063,0.2854238797848449,34.0311575517482
2064,0.2854238797848449,34.0311575517482
2065,0.2854238797848449,34.0311575517482
2066,0.2854238797848449,34.0311575517482
2067,0.2854238797848449,34.0311575517482
2068,0.2854238797848449,34.0311575517482
2069,0.2854238797848449,34.0311575517482
2070,0.2854238797848449,34.0311575517482
2071,0.2854238797848449,34.0311575517482
2072,0.2854238797848449,34.0311575517482
2073,0.2854238797848449,34.0311575517482
2074,0.2854238797848449,34.0311575517482
2075,0.2854238797848449,34.0311575517482
2076,0.2854238797848449,34.0311575517482
2077,0.2854238797848449,34.0311575517482
2078,0.2854238797848449,34.0311575517482
2079,0.2854238797848449,34.0311575517482
2080,0.2854238797848449,34.0311575517482
2081,0.2854238797848449,34.0311575517482
2082,0.2854238797848449,34.0311575517482
2083,0.2854238797848449,34.0311575517482
2084,0.2854238797848449,34.0311575517482
2085,0.2854238797848449,34.0311575517482
2086,0.2854238797848449,34.0311575517482
2087,0.2854238797848449,34.0311575517482
2088,0.2854238797848449,34.0311575517482
2089,0.2854238797848449,34.0311575517482
2090,0.2854238797848449,34.0311575517482
2091,0.2854238797848449,34.0311575517482
2092,0.2854238797848449,34.0311575517482
2093,0.2854238797848449,34.0311575517482
2094,0.2854238797848449,34.0311575517482
2095,0.2854238797848449,34.0311575517482
2096,0.2854238797848449,34.0311575517482
2097,0.2854238797848449,34.0311575517482
2098,0.2854238797848449,34.0311575517482
2099,0.2854238797848449,34.0311575517482
2100,0.2854238797848449,34.0311575517482
