year,consumpinit_inen_energy_total_pj_agriculture_and_livestock
2015,5.868641284435618
2016,6.149338033204018
2017,6.342409870981224
2018,6.741920058381751
2019,7.176331693380465
2020,7.387968130943941
2021,7.649357695934621
2022,7.999857339899395
2023,8.216595
2023,8.216595
2024,8.216595
2025,8.216595
2026,8.216595
2027,8.216595
2028,8.216595
2029,8.216595
2030,8.216595
2031,8.216595
2032,8.216595
2033,8.216595
2034,8.216595
2035,8.216595
2036,8.216595
2037,8.216595
2038,8.216595
2039,8.216595
2040,8.216595
2041,8.216595
2042,8.216595
2043,8.216595
2044,8.216595
2045,8.216595
2046,8.216595
2047,8.216595
2048,8.216595
2049,8.216595
2050,8.216595
2051,8.216595
2052,8.216595
2053,8.216595
2054,8.216595
2055,8.216595
2056,8.216595
2057,8.216595
2058,8.216595
2059,8.216595
2060,8.216595
2061,8.216595
2062,8.216595
2063,8.216595
2064,8.216595
2065,8.216595
2066,8.216595
2067,8.216595
2068,8.216595
2069,8.216595
2070,8.216595
2071,8.216595
2072,8.216595
2073,8.216595
2074,8.216595
2075,8.216595
2076,8.216595
2077,8.216595
2078,8.216595
2079,8.216595
2080,8.216595
2081,8.216595
2082,8.216595
2083,8.216595
2084,8.216595
2085,8.216595
2086,8.216595
2087,8.216595
2088,8.216595
2089,8.216595
2090,8.216595
2091,8.216595
2092,8.216595
2093,8.216595
2094,8.216595
2095,8.216595
2096,8.216595
2097,8.216595
2098,8.216595
2099,8.216595
2100,8.216595
