year,occrate_trns_passenger_per_vehicle_public,occrate_trns_passenger_per_vehicle_road_light
2021,30.0,1.4
2022,30.0,1.4
2023,30.0,1.4
2024,30.0,1.4
2025,30.0,1.4
2026,30.0,1.4
2027,30.0,1.4
2028,30.0,1.4
2029,30.0,1.4
2030,30.0,1.4
2031,30.0,1.4
2032,30.0,1.4
2033,30.0,1.4
2034,30.0,1.4
2035,30.0,1.4
2036,30.0,1.4
2037,30.0,1.4
2038,30.0,1.4
2039,30.0,1.4
2040,30.0,1.4
2041,30.0,1.4
2042,30.0,1.4
2043,30.0,1.4
2044,30.0,1.4
2045,30.0,1.4
2046,30.0,1.4
2047,30.0,1.4
2048,30.0,1.4
2049,30.0,1.4
2050,30.0,1.4
2051,30.0,1.4
2052,30.0,1.4
2053,30.0,1.4
2054,30.0,1.4
2055,30.0,1.4
2056,30.0,1.4
2057,30.0,1.4
2058,30.0,1.4
2059,30.0,1.4
2060,30.0,1.4
2061,30.0,1.4
2062,30.0,1.4
2063,30.0,1.4
2064,30.0,1.4
2065,30.0,1.4
2066,30.0,1.4
2067,30.0,1.4
2068,30.0,1.4
2069,30.0,1.4
2070,30.0,1.4
2071,30.0,1.4
2072,30.0,1.4
2073,30.0,1.4
2074,30.0,1.4
2075,30.0,1.4
2076,30.0,1.4
2077,30.0,1.4
2078,30.0,1.4
2079,30.0,1.4
2080,30.0,1.4
2081,30.0,1.4
2082,30.0,1.4
2083,30.0,1.4
2084,30.0,1.4
2085,30.0,1.4
2086,30.0,1.4
2087,30.0,1.4
2088,30.0,1.4
2089,30.0,1.4
2090,30.0,1.4
2091,30.0,1.4
2092,30.0,1.4
2093,30.0,1.4
2094,30.0,1.4
2095,30.0,1.4
2096,30.0,1.4
2097,30.0,1.4
2098,30.0,1.4
2099,30.0,1.4
2100,30.0,1.4
