year,consumpinit_inen_energy_tj_per_mmm_gdp_other_product_manufacturing
2015,434.0095990797758
2016,454.7682512943975
2017,469.0466893256187
2018,498.5920726363766
2019,530.7185582066244
2020,546.3699229716169
2021,565.7007313831166
2022,591.6215881167183
2023,607.6502087814755
2024,607.6502087814755
2025,607.6502087814755
2026,607.6502087814755
2027,607.6502087814755
2028,607.6502087814755
2029,607.6502087814755
2030,607.6502087814755
2031,607.6502087814755
2032,607.6502087814755
2033,607.6502087814755
2034,607.6502087814755
2035,607.6502087814755
2036,607.6502087814755
2037,607.6502087814755
2038,607.6502087814755
2039,607.6502087814755
2040,607.6502087814755
2041,607.6502087814755
2042,607.6502087814755
2043,607.6502087814755
2044,607.6502087814755
2045,607.6502087814755
2046,607.6502087814755
2047,607.6502087814755
2048,607.6502087814755
2049,607.6502087814755
2050,607.6502087814755
2051,607.6502087814755
2052,607.6502087814755
2053,607.6502087814755
2054,607.6502087814755
2055,607.6502087814755
2056,607.6502087814755
2057,607.6502087814755
2058,607.6502087814755
2059,607.6502087814755
2060,607.6502087814755
2061,607.6502087814755
2062,607.6502087814755
2063,607.6502087814755
2064,607.6502087814755
2065,607.6502087814755
2066,607.6502087814755
2067,607.6502087814755
2068,607.6502087814755
2069,607.6502087814755
2070,607.6502087814755
2071,607.6502087814755
2072,607.6502087814755
2073,607.6502087814755
2074,607.6502087814755
2075,607.6502087814755
2076,607.6502087814755
2077,607.6502087814755
2078,607.6502087814755
2079,607.6502087814755
2080,607.6502087814755
2081,607.6502087814755
2082,607.6502087814755
2083,607.6502087814755
2084,607.6502087814755
2085,607.6502087814755
2086,607.6502087814755
2087,607.6502087814755
2088,607.6502087814755
2089,607.6502087814755
2090,607.6502087814755
2091,607.6502087814755
2092,607.6502087814755
2093,607.6502087814755
2094,607.6502087814755
2095,607.6502087814755
2096,607.6502087814755
2097,607.6502087814755
2098,607.6502087814755
2099,607.6502087814755
2100,607.6502087814755
