Report generated on: 04-29-2026 09:46:00
"API","","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"","electricity exports (billion kWh)","","","","","","","","","",""
"INTL.2-4-WORL-BKWH.A","    World","731.279589","720.352817","738.902103","726.267192","734.777232","750.283735","772.38019","825.634940569","815.513056382","842.228933888"
"INTL.2-4-AFG-BKWH.A","        Afghanistan","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-ALB-BKWH.A","        Albania","0.956","0.042","0","1.764","0.7705","0.963","2.8","2.123","2.841554","2.334878"
"INTL.2-4-DZA-BKWH.A","        Algeria","0.641","0.507","0.88","0.597","0.673","0.574","1.529","2.753","2.521","2.6"
"INTL.2-4-ASM-BKWH.A","        American Samoa","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-AGO-BKWH.A","        Angola","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-ATA-BKWH.A","        Antarctica","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-ATG-BKWH.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-ARG-BKWH.A","        Argentina","0.055","0.329","0.069","0.28","0.261","3.089","3.851","0.031","0.097487","0.970075"
"INTL.2-4-ARM-BKWH.A","        Armenia","1.424","1.229","1.44","1.627","1.251","1.333","0.995","1.571","1.240288","1.537835"
"INTL.2-4-ABW-BKWH.A","        Aruba","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-AUS-BKWH.A","        Australia","0","0","0","0","0","0","0","0","0","0"
"INTL.2-4-AUT-BKWH.A","        Austria","19.3276","19.2069","22.8165","19.1293","22.9183","22.3267","18.893","19.8819483","21.62198","25.702784"
"INTL.2-4-AZE-BKWH.A","        Azerbaijan","0.265","1.096","1.283","1.445","1.491","1.151","1.673","2.997","3.2457","1.3962"
"INTL.2-4-BHR-BKWH.A","        Bahrain","0.213","0.293","0.513","0.447","0.547","0.422","0.444","0.475","0.020533","0.02"
"INTL.2-4-BGD-BKWH.A","        Bangladesh","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-BRB-BKWH.A","        Barbados","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-BLR-BKWH.A","        Belarus","3.482","3.298","3.407","4.248","5.398","4.777","4.6","4.7","4.486","4.6"
"INTL.2-4-BEL-BKWH.A","        Belgium","2.715","8.465","8.1678","4.3084","14.5889","14.0548","23.0701","23.8772467","18.5856","17.4120226"
"INTL.2-4-BLZ-BKWH.A","        Belize","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-BEN-BKWH.A","        Benin","0","0","0","0","0.002","0.002","0.002","0.002","0.002313","0.002"
"INTL.2-4-BMU-BKWH.A","        Bermuda","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-BTN-BKWH.A","        Bhutan","5.721","5.763","5.701","4.581","6.1466","6","0","0","","0"
"INTL.2-4-BOL-BKWH.A","        Bolivia","0","0","0","0","0","0","0","0","","0"
"INTL.2-4-BIH-BKWH.A","        Bosnia and Herzegovina","6.007","6.841","5.187","7.698","6.565","7.317","8.014","6.856","7.886","7.175"
