region,year,Safely managed service ,At least basic service ,Basic service ,Limited service ,Unimproved ,Open defecation
Saint Vincent and the Grenadines,2018,,89.7,90,1.82,5.94,2.53
Samoa,2022-2024,44.12,,97,1.08,0.87,0.16
San Marino,2022-2024,90.19,,100,0,0,0
Sao Tome and Principe,2022-2024,34.69,,49,5.67,4.3,33.35
Saudi Arabia,2022-2024,83.89,,98,4.35,0.3,0.13
Senegal,2022-2024,30.08,,63,17.21,14.9,6.14
Serbia,2022-2024,24.07,,98,0,2.03,0.06
Seychelles,2022-2024,,100,100,0,0,0
Sierra Leone,2022-2024,16.85,,25,34.28,26.37,15.35
Singapore,2022-2024,100,,100,0,0,0
Sint Maarten (Dutch part),2017,,98.78,99,0,1.09,0.13
Slovakia,2022-2024,83.43,,98,2.42,0.05,0
Slovenia,2022-2024,84.54,,98,0.88,0.81,0
Solomon Islands,2021-2024,,35.02,35,5.93,14.51,45.34
Somalia,2022-2024,16.38,,44,16.99,21.11,14.44
South Africa,2022-2024,73.78,,77,13.78,8.44,0.28
South Sudan,2022-2024,,16.06,14,8.81,15.43,62.8
Spain,2022-2024,88.28,,100,0.08,0,0
Sri Lanka,2022-2024,,95.09,95,3.9,1.01,0
State of Palestine,2022-2024,73.51,,99,0.32,0.13,0.13
Sub-Saharan Africa,2022-2024,25.99,,35,17.92,30.86,15.46
Sudan,2020-2024,,36.89,66,8.37,37.44,16.39
Suriname,2022-2024,25.13,,90,6.08,2.73,1.21
Sweden,2022-2024,95.35,,99,0.7,0.44,0
Switzerland,2022-2024,99.69,,100,0.1,0,0
Syrian Arab Republic,2016-2024,,94.98,96,4.59,0.43,0.68
Tajikistan,2022-2023,,96.75,96,2.62,0.32,0.46
Thailand,2022-2024,26.72,,99,0.95,0,0
Timor-Leste,2022-2024,,58.38,73,15.3,15.96,7.88
Togo,2022-2024,13.02,,25,27.55,13.78,32.19
Tokelau,2022-2024,,96.8,97,3.2,0,0
Tonga,2022-2024,31.25,,94,4.34,0.28,0.08
Trinidad and Tobago,2022-2024,38.02,93.92,94,5.94,0.15,0.19
Tunisia,2022-2024,79.79,,99,1.53,0.89,0.25
Turkmenistan,2022-2024,,99.82,100,0.06,0.12,0
Turks and Caicos Islands,2022-2024,33.91,,93,5.56,1.28,0.01
Tuvalu,2022-2024,39.71,,90,12.21,1.62,1.83
Türkiye,2022-2024,78.86,,99,0.34,0.27,0.14
Uganda,2022-2024,20.36,,24,17.14,58.03,3.53
Ukraine,2022-2024,92.39,,98,2.25,0,0
United Arab Emirates,2022-2024,98.45,,99,0.7,0.21,0
United Kingdom of Great Britain and Northern Ireland,2022-2024,97.84,,99,0.72,0.17,0
United Republic of Tanzania,2022-2024,28.46,,37,19.49,43.58,6.76
United States Virgin Islands,2022-2024,,99.11,99,0,0.89,0
United States of America,2022-2024,97.01,,100,0,0.37,0
Uruguay,2022-2024,,98.32,99,1.01,0.51,0
Uzbekistan,2022-2024,74.6,,97,2.06,1.58,0.05
Vanuatu,2022-2024,,46.71,48,27.22,26.01,4.96
Venezuela (Bolivarian Republic of),2021-2024,26.02,,98,0,1.6,3
Viet Nam,2022-2024,45.37,,95,2.23,5.6,0
Wallis and Futuna Islands,2022-2024,,94.16,93,0,0,6.92
World,2022-2024,58.5,,82,7.15,6.83,4.34
Yemen,2022-2024,43.12,,63,5.01,31.57,4.9
Zambia,2022-2024,,36.3,37,21.62,35.67,2.05
Zimbabwe,2022-2024,23.56,,35,30.98,17.09,12.6
