strategy_code,future_id,region,time_period,difference_variable,value,variable
PFLO:NZ,0,uganda,4,frac_scoe_heat_energy_residential_solid_biomass,0.0,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,5,frac_scoe_heat_energy_residential_solid_biomass,0.0,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,6,frac_scoe_heat_energy_residential_solid_biomass,0.0,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,7,frac_scoe_heat_energy_residential_solid_biomass,0.0,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,8,frac_scoe_heat_energy_residential_solid_biomass,0.0,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,9,frac_scoe_heat_energy_residential_solid_biomass,0.0,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,10,frac_scoe_heat_energy_residential_solid_biomass,0.0,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,11,frac_scoe_heat_energy_residential_solid_biomass,0.0,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,12,frac_scoe_heat_energy_residential_solid_biomass,0.0,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,13,frac_scoe_heat_energy_residential_solid_biomass,336044772.66311026,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,14,frac_scoe_heat_energy_residential_solid_biomass,676048864.5648588,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,15,frac_scoe_heat_energy_residential_solid_biomass,1009295970.9047233,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,16,frac_scoe_heat_energy_residential_solid_biomass,1319417968.4941413,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,17,frac_scoe_heat_energy_residential_solid_biomass,1583813402.728313,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,18,frac_scoe_heat_energy_residential_solid_biomass,1775538083.8362017,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,19,frac_scoe_heat_energy_residential_solid_biomass,1869103857.8497434,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,20,frac_scoe_heat_energy_residential_solid_biomass,1849901940.629478,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,21,frac_scoe_heat_energy_residential_solid_biomass,1722904442.903922,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,22,frac_scoe_heat_energy_residential_solid_biomass,1514012946.8021312,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,23,frac_scoe_heat_energy_residential_solid_biomass,1261494554.8156703,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,24,frac_scoe_heat_energy_residential_solid_biomass,1002809650.4266901,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,25,frac_scoe_heat_energy_residential_solid_biomass,764965734.4533694,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,26,frac_scoe_heat_energy_residential_solid_biomass,561955181.3370652,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,27,frac_scoe_heat_energy_residential_solid_biomass,396568866.55594,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,28,frac_scoe_heat_energy_residential_solid_biomass,267323532.2798565,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,29,frac_scoe_heat_energy_residential_solid_biomass,168494052.34180108,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,30,frac_scoe_heat_energy_residential_solid_biomass,93834798.8537361,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,31,frac_scoe_heat_energy_residential_solid_biomass,101075705.13505164,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,32,frac_scoe_heat_energy_residential_solid_biomass,108548668.18046078,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,33,frac_scoe_heat_energy_residential_solid_biomass,116252723.64426753,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,34,frac_scoe_heat_energy_residential_solid_biomass,124177677.57037759,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,35,frac_scoe_heat_energy_residential_solid_biomass,132323143.67068571,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,36,frac_scoe_heat_energy_residential_solid_biomass,140695327.43130538,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,37,frac_scoe_heat_energy_residential_solid_biomass,149299282.58157438,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,38,frac_scoe_heat_energy_residential_solid_biomass,158138669.638835,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,39,frac_scoe_heat_energy_residential_solid_biomass,167203670.9443075,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,40,frac_scoe_heat_energy_residential_solid_biomass,176486079.1664559,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,41,frac_scoe_heat_energy_residential_solid_biomass,185987543.4557777,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,42,frac_scoe_heat_energy_residential_solid_biomass,195714428.2122668,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,43,frac_scoe_heat_energy_residential_solid_biomass,205666700.0438882,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,44,frac_scoe_heat_energy_residential_solid_biomass,215834234.19248992,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,45,frac_scoe_heat_energy_residential_solid_biomass,226203382.16920468,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,46,frac_scoe_heat_energy_residential_solid_biomass,236793750.3249948,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,47,frac_scoe_heat_energy_residential_solid_biomass,247610348.67112076,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,48,frac_scoe_heat_energy_residential_solid_biomass,258625478.31855547,cb:scoe:indoor_air_pollution
PFLO:NZ,0,uganda,49,frac_scoe_heat_energy_residential_solid_biomass,269845219.76799625,cb:scoe:indoor_air_pollution
